threshold,precision,recall,f1,precision_aware
0.0,0.519774011299435,1.0,0.6840148698884758,0.6119616712198408
0.01,0.519774011299435,1.0,0.6840148698884758,0.6119616712198408
0.02,0.519774011299435,1.0,0.6840148698884758,0.6119616712198408
0.03,0.519774011299435,1.0,0.6840148698884758,0.6119616712198408
0.04,0.519774011299435,1.0,0.6840148698884758,0.6119616712198408
0.05,0.5213675213675214,0.9945652173913043,0.6841121495327103,0.6127876101471543
0.06,0.5213675213675214,0.9945652173913043,0.6841121495327103,0.6127876101471543
0.07,0.5243553008595988,0.9945652173913043,0.6866791744840526,0.6150516073785958
0.08,0.5258620689655172,0.9945652173913043,0.6879699248120301,0.6161922165299483
0.09,0.5273775216138329,0.9945652173913043,0.6892655367231638,0.6173386264274462
0.1,0.5304347826086957,0.9945652173913043,0.6918714555765595,0.6196490325808962
0.11,0.5290697674418605,0.9891304347826086,0.6893939393939394,0.6182232701426926
0.12,0.5292397660818714,0.9836956521739131,0.688212927756654,0.6179539659715124
0.13,0.530791788856305,0.9836956521739131,0.6895238095238095,0.6191232418888759
0.14,0.5355029585798816,0.9836956521739131,0.6934865900383141,0.6226676609050156
0.15,0.5341246290801187,0.9782608695652174,0.690978886756238,0.6212261851705113
0.16,0.5389221556886228,0.9782608695652174,0.694980694980695,0.6248254909421005
0.17,0.5424242424242425,0.9728260869565217,0.6964980544747081,0.6270317421581142
0.18,0.5440729483282675,0.9728260869565217,0.6978557504873294,0.6282634039139131
0.19,0.5440729483282675,0.9728260869565217,0.6978557504873294,0.6282634039139131
0.2,0.5457317073170732,0.9728260869565217,0.69921875,0.6295016832621172
0.21,0.5443425076452599,0.967391304347826,0.6966731898238747,0.6280434153733729
0.22,0.555205047318612,0.9565217391304348,0.7025948103792415,0.635251171376659
0.23,0.5608974358974359,0.9510869565217391,0.7056451612903226,0.6390124709393953
0.24,0.5612903225806452,0.9456521739130435,0.7044534412955465,0.6388513982825671
0.25,0.5602605863192183,0.9347826086956522,0.7006109979633401,0.6371837971521918
0.26,0.5602605863192183,0.9347826086956522,0.7006109979633401,0.6371837971521918
0.27,0.5639344262295082,0.9347826086956522,0.7034764826175869,0.6398803625036107
0.28,0.5681063122923588,0.9293478260869565,0.7051546391752578,0.6424697525023373
0.29,0.5704697986577181,0.9239130434782609,0.7053941908713693,0.6437233611938504
0.3,0.5728813559322034,0.9184782608695652,0.7056367432150313,0.6450019055341917
0.31,0.5748299319727891,0.9184782608695652,0.7071129707112971,0.6464190618033643
0.32,0.5767918088737202,0.9184782608695652,0.7085953878406709,0.6478447253926419
0.33,0.5853658536585366,0.9130434782608695,0.7133757961783439,0.653565870286352
0.34,0.5865724381625441,0.9021739130434783,0.7109207708779444,0.6534326549482359
0.35000000000000003,0.5949820788530465,0.9021739130434783,0.7170626349892009,0.6594800345268641
0.36,0.5956678700361011,0.8967391304347826,0.7158351409978309,0.6594546819209803
0.37,0.6,0.8967391304347826,0.7189542483660131,0.6625564791133844
0.38,0.5977859778597786,0.8804347826086957,0.7120879120879121,0.6593895671598435
