frame,short_prob,long_prob,fused_prob,pred
0,0.000000,0.000000,0.009364,0
1,0.000000,0.000000,0.016855,0
2,0.000000,0.000000,0.022847,0
3,0.000000,0.000000,0.027641,0
4,0.000000,0.000000,0.031477,0
5,0.000000,0.000000,0.034545,0
6,0.000000,0.000000,0.037000,0
7,0.000000,0.000000,0.038963,0
8,0.000000,0.000000,0.040534,0
9,0.000000,0.000000,0.041791,0
10,0.000000,0.000000,0.042797,0
11,0.000000,0.000000,0.043601,0
12,0.000000,0.000000,0.044244,0
13,0.000000,0.000000,0.044759,0
14,0.000000,0.000000,0.045171,0
15,0.000000,0.000000,0.045500,0
16,0.000000,0.000000,0.045764,0
17,0.000000,0.000000,0.045975,0
18,0.000000,0.000000,0.046144,0
19,0.000000,0.000000,0.046278,0
20,0.000000,0.000000,0.046386,0
21,0.000000,0.000000,0.046473,0
22,0.000000,0.000000,0.046542,0
23,0.000000,0.000000,0.046597,0
24,0.000000,0.000000,0.046641,0
25,0.000000,0.000000,0.046677,0
26,0.000000,0.000000,0.046705,0
27,0.000000,0.000000,0.046728,0
28,0.000000,0.000000,0.046746,0
29,0.606402,0.000000,0.047867,0
30,0.606402,0.000000,0.048763,0
31,0.606402,0.000000,0.049481,0
32,0.606402,0.000000,0.050055,0
33,0.606402,0.000000,0.050514,0
34,0.606402,0.000000,0.050881,0
35,0.606402,0.000000,0.051175,0
36,0.606402,0.000000,0.051410,0
37,0.606402,0.000000,0.051598,0
38,0.606402,0.000000,0.051749,0
39,0.606402,0.000000,0.051869,0
40,0.606402,0.000000,0.051965,0
41,0.606402,0.000000,0.052042,0
42,0.606402,0.000000,0.052104,0
43,0.606402,0.000000,0.052153,0
44,0.606402,0.000000,0.052193,0
45,0.606402,0.000000,0.052224,0
46,0.606402,0.000000,0.052249,0
47,0.606402,0.000000,0.052270,0
48,0.606402,0.000000,0.052286,0
49,0.606402,0.000000,0.052299,0
50,0.606402,0.000000,0.052309,0
51,0.606402,0.000000,0.052317,0
52,0.606402,0.000000,0.052324,0
53,0.606402,0.000000,0.052329,0
54,0.606402,0.000000,0.052333,0
55,0.606402,0.000000,0.052337,0
56,0.606402,0.000000,0.052340,0
57,0.606402,0.000000,0.052342,0
58,0.606402,0.000000,0.052343,0
59,0.606402,0.000000,0.052345,0
60,0.606402,0.000000,0.052346,0
61,0.606402,0.000000,0.052347,0
62,0.606402,0.000000,0.052348,0
63,0.606402,0.000000,0.052348,0
64,0.606402,0.000000,0.052349,0
65,0.606402,0.000000,0.052349,0
66,0.606402,0.000000,0.052349,0
67,0.606402,0.000000,0.052349,0
68,0.606402,0.000000,0.052350,0
69,0.606402,0.000000,0.052350,0
70,0.606402,0.000000,0.052350,0
71,0.606402,0.000000,0.052350,0
72,0.606402,0.000000,0.052350,0
73,0.606402,0.000000,0.052350,0
