composite_auc,composite_composite,composite_f1,composite_precision,composite_precision_aware,composite_recall,composite_threshold,f1_auc,f1_composite,f1_f1,f1_precision,f1_precision_aware,f1_recall,f1_threshold,precision_aware_auc,precision_aware_composite,precision_aware_f1,precision_aware_precision,precision_aware_precision_aware,precision_aware_recall,precision_aware_threshold,run,seed
0.6519687807621994,0.833739481059503,0.677819083023544,0.5126522961574508,0.5900656291382285,1.0,0.05,0.6519687807621994,0.7900128464845101,0.6874566874566874,0.5535714285714286,0.6134164766751604,0.906764168190128,0.45,0.6519687807621994,0.13640871377251634,0.01090909090909091,1.0,0.6336664834251672,0.005484460694698354,0.7,01,42
0.6042891295176487,0.6935226719866256,0.6444099378881988,0.5600539811066126,0.5942077978232957,0.7586837294332724,0.05,0.6042891295176487,0.6935226719866256,0.6444099378881988,0.5600539811066126,0.5942077978232957,0.7586837294332724,0.05,0.6042891295176487,0.640720341293598,0.6207482993197279,0.5802861685214626,0.5972253999601794,0.6672760511882998,0.18,02,42
0.6088313879904373,0.6828045983964888,0.6452648475120385,0.575107296137339,0.6028993799203685,0.7349177330895795,0.05,0.6088313879904373,0.6828045983964888,0.6452648475120385,0.575107296137339,0.6028993799203685,0.7349177330895795,0.05,0.6088313879904373,0.6755095334949974,0.6422764227642277,0.5783308931185944,0.603614650986653,0.7221206581352834,0.06,03,42
0.6084376318379975,0.6900073942687612,0.6451612903225806,0.5662983425414365,0.598385084735092,0.7495429616087751,0.05,0.6084376318379975,0.6900073942687612,0.6451612903225806,0.5662983425414365,0.598385084735092,0.7495429616087751,0.05,0.6084376318379975,0.6779155491186096,0.6414182111200645,0.5734870317002881,0.6008565055537629,0.7276051188299817,0.08,04,42
0.6348491773308957,0.7462009434339929,0.6686131386861314,0.5565006075334143,0.6058040808387257,0.8372943327239488,0.05,0.6348491773308957,0.7349397308605271,0.6706857573474001,0.5705128205128205,0.6134319729268094,0.8135283363802559,0.12,0.6348491773308957,0.6402968804698743,0.6294326241134752,0.6110154905335629,0.6213073679670031,0.6489945155393053,0.7,05,42
0.6059133736464632,0.6857837716214316,0.648,0.5761024182076814,0.6036338838331333,0.7404021937842779,0.05,0.6059133736464632,0.6857837716214316,0.648,0.5761024182076814,0.6036338838331333,0.7404021937842779,0.05,0.6059133736464632,0.6857837716214316,0.648,0.5761024182076814,0.6036338838331333,0.7404021937842779,0.05,06,42
0.6325973843341304,0.8191036133471813,0.6815571155073389,0.5235294117647059,0.5927513174013807,0.9762340036563071,0.05,0.6325973843341304,0.8075084874585476,0.6855636123928807,0.5360824742268041,0.6002297976980924,0.9506398537477148,0.08,0.6325973843341304,0.7514408824061717,0.6784400294334069,0.5677339901477833,0.6139184807707397,0.8427787934186471,0.21,07,42
0.6264906482913796,0.7648689426535092,0.6785206258890469,0.5552968568102444,0.6065027458301122,0.8720292504570384,0.05,0.6264906482913796,0.7648689426535092,0.6785206258890469,0.5552968568102444,0.6065027458301122,0.8720292504570384,0.05,0.6264906482913796,0.46283550429307235,0.4883177570093458,0.6763754045307443,0.6099811590264518,0.3820840950639854,0.91,08,42
0.6343903810997047,0.7168645490155443,0.6625386996904025,0.574496644295302,0.6128880082747127,0.7824497257769653,0.05,0.6343903810997047,0.7168645490155443,0.6625386996904025,0.574496644295302,0.6128880082747127,0.7824497257769653,0.05,0.6343903810997047,0.513567093602287,0.5363735070575462,0.660427807486631,0.6180040320805202,0.4515539305301645,0.94,09,42
0.6273238644353818,0.7489293494267452,0.6705370101596516,0.555956678700361,0.6046042152851523,0.8446069469835467,0.05,0.6273238644353818,0.7489293494267452,0.6705370101596516,0.555956678700361,0.6046042152851523,0.8446069469835467,0.05,0.6273238644353818,0.44484364172532775,0.4704463208685163,0.6914893617021277,0.6123433499986951,0.35648994515539306,0.81,10,42
0.6553930530164535,0.8345504022957891,0.6782393056416615,0.5131332082551595,0.591117006423369,1.0,0.39,0.6553930530164535,0.8164895130245439,0.6881155613919895,0.5368852459016393,0.6059559019717072,0.9579524680073126,0.45,0.6553930530164535,0.6586286075862665,0.6494201605709188,0.6341463414634146,0.6429778295062737,0.6654478976234004,0.49,11,42
0.6554703979749684,0.795457971856484,0.691085003455425,0.5555555555555556,0.6161973584093989,0.9140767824497258,0.05,0.6554703979749684,0.795457971856484,0.691085003455425,0.5555555555555556,0.6161973584093989,0.9140767824497258,0.05,0.6554703979749684,0.7066818869299936,0.6693877551020408,0.6047197640117994,0.6342702881315057,0.7495429616087751,0.21,12,42
