frame,time_sec,video_width,video_height,fps,l0_x,l0_y,l0_z,l0_v,l0_vx,l0_vy,l0_vz,l1_x,l1_y,l1_z,l1_v,l1_vx,l1_vy,l1_vz,l2_x,l2_y,l2_z,l2_v,l2_vx,l2_vy,l2_vz,l3_x,l3_y,l3_z,l3_v,l3_vx,l3_vy,l3_vz,l4_x,l4_y,l4_z,l4_v,l4_vx,l4_vy,l4_vz,l5_x,l5_y,l5_z,l5_v,l5_vx,l5_vy,l5_vz,l6_x,l6_y,l6_z,l6_v,l6_vx,l6_vy,l6_vz,l9_x,l9_y,l9_z,l9_v,l9_vx,l9_vy,l9_vz,l10_x,l10_y,l10_z,l10_v,l10_vx,l10_vy,l10_vz,l11_x,l11_y,l11_z,l11_v,l11_vx,l11_vy,l11_vz,l12_x,l12_y,l12_z,l12_v,l12_vx,l12_vy,l12_vz,l13_x,l13_y,l13_z,l13_v,l13_vx,l13_vy,l13_vz,l14_x,l14_y,l14_z,l14_v,l14_vx,l14_vy,l14_vz,l15_x,l15_y,l15_z,l15_v,l15_vx,l15_vy,l15_vz,l16_x,l16_y,l16_z,l16_v,l16_vx,l16_vy,l16_vz,l17_x,l17_y,l17_z,l17_v,l17_vx,l17_vy,l17_vz,l18_x,l18_y,l18_z,l18_v,l18_vx,l18_vy,l18_vz,l19_x,l19_y,l19_z,l19_v,l19_vx,l19_vy,l19_vz,l20_x,l20_y,l20_z,l20_v,l20_vx,l20_vy,l20_vz,l21_x,l21_y,l21_z,l21_v,l21_vx,l21_vy,l21_vz,l22_x,l22_y,l22_z,l22_v,l22_vx,l22_vy,l22_vz
0,0.000000,852,480,30.000000,0.379204,0.248531,-0.906988,0.998616,0.000000,0.000000,0.000000,0.395741,0.168027,-0.877408,0.998689,0.000000,0.000000,0.000000,0.408385,0.159467,-0.877524,0.998589,0.000000,0.000000,0.000000,0.417345,0.154084,-0.877701,0.998692,0.000000,0.000000,0.000000,0.346829,0.189224,-0.912289,0.998344,0.000000,0.000000,0.000000,0.330812,0.193770,-0.912395,0.998122,0.000000,0.000000,0.000000,0.315236,0.200161,-0.912189,0.997649,0.000000,0.000000,0.000000,0.404778,0.302659,-0.823826,0.992560,0.000000,0.000000,0.000000,0.359957,0.321620,-0.868728,0.993232,0.000000,0.000000,0.000000,0.382794,0.412144,-0.438494,0.994331,0.000000,0.000000,0.000000,0.267275,0.555194,-0.738693,0.954502,0.000000,0.000000,0.000000,,,,0.188090,0.000000,0.000000,0.000000,0.404805,0.869447,-0.539915,0.611870,0.000000,0.000000,0.000000,,,,0.470409,0.000000,0.000000,0.000000,,,,0.406360,0.000000,0.000000,0.000000,,,,0.455179,0.000000,0.000000,0.000000,,,,0.392993,0.000000,0.000000,0.000000,,,,0.465399,0.000000,0.000000,0.000000,,,,0.384996,0.000000,0.000000,0.000000,,,,0.488586,0.000000,0.000000,0.000000,,,,0.357698,0.000000,0.000000,0.000000
1,0.033333,852,480,30.000000,0.385459,0.240192,-0.971041,0.998716,0.187650,-0.250162,-1.921594,0.400067,0.160770,-0.937115,0.998766,0.129801,-0.217686,-1.791204,0.410921,0.155226,-0.937173,0.998678,0.076071,-0.127222,-1.789459,0.419981,0.150754,-0.937265,0.998752,0.079097,-0.099914,-1.786907,0.354840,0.171501,-0.978159,0.998454,0.240315,-0.531696,-1.976105,0.338445,0.175226,-0.978261,0.998258,0.228986,-0.556319,-1.975989,0.325685,0.179217,-0.978106,0.997797,0.313467,-0.628295,-1.977534,0.405524,0.291102,-0.880043,0.993038,0.022392,-0.346688,-1.686494,0.361859,0.303458,-0.932770,0.993695,0.057076,-0.544856,-1.921284,0.388512,0.414091,-0.441779,0.994416,0.171534,0.058400,-0.098560,0.259265,0.550557,-0.802583,0.956572,-0.240287,-0.139101,-1.916710,,,,0.189537,,,,0.377024,0.881479,-0.620807,0.609349,-0.833432,0.360956,-2.426752,,,,0.489608,,,,,,,0.406907,,,,,,,0.476050,,,,,,,0.396522,,,,,,,0.486668,,,,,,,0.389129,,,,0.547604,0.734733,-0.122996,0.508152,,,,,,,0.361400,,,
2,0.066667,852,480,30.000000,0.388104,0.237203,-0.971390,0.998819,0.079337,-0.089677,-0.010461,0.401822,0.158573,-0.936064,0.998854,0.052629,-0.065915,0.031521,0.412091,0.153960,-0.936131,0.998776,0.035104,-0.037967,0.031260,0.421222,0.149735,-0.936191,0.998828,0.037223,-0.030580,0.032201,0.357225,0.167709,-0.978813,0.998572,0.071557,-0.113767,-0.019625,0.340797,0.171388,-0.978938,0.998398,0.070538,-0.115128,-0.020311,0.328512,0.174840,-0.978799,0.997959,0.084810,-0.131316,-0.020784,0.406527,0.286559,-0.879100,0.993586,0.030093,-0.136307,0.028303,0.363084,0.297727,-0.933962,0.994201,0.036749,-0.171928,-0.035752,0.388681,0.419126,-0.437223,0.994745,0.005072,0.151038,0.136690,0.256620,0.546229,-0.810867,0.959575,-0.079349,-0.129867,-0.248526,,,,0.199230,,,,0.372988,0.891332,-0.631905,0.611400,-0.121081,0.295603,-0.332950,0.524811,0.753201,-0.138408,0.514492,,,,,,,0.412983,,,,0.561363,0.770908,-0.152163,0.501819,,,,,,,0.404687,,,,0.572064,0.739168,-0.194990,0.512475,,,,,,,0.397717,,,,0.549496,0.740307,-0.158072,0.531520,0.056748,0.167227,-1.052295,,,,0.369239,,,
3,0.100000,852,480,30.000000,0.393723,0.237362,-0.979533,0.998923,0.168570,0.004767,-0.244310,0.405276,0.158830,-0.941171,0.998949,0.103644,0.007705,-0.153188,0.414748,0.154227,-0.941235,0.998878,0.079710,0.007986,-0.153145,0.423847,0.150048,-0.941277,0.998914,0.078741,0.009407,-0.152559,0.363265,0.168842,-0.982462,0.998694,0.181191,0.033979,-0.109473,0.346282,0.172600,-0.982597,0.998539,0.164554,0.036362,-0.109758,0.334143,0.176222,-0.982518,0.998131,0.168926,0.041463,-0.111575,0.409445,0.286990,-0.881332,0.994142,0.087525,0.012950,-0.066982,0.366397,0.298966,-0.933869,0.994729,0.099394,0.037156,0.002797,0.398891,0.424848,-0.420294,0.995019,0.306296,0.171668,0.507873,0.254647,0.538156,-0.799304,0.962903,-0.059202,-0.242177,0.346910,,,,0.202205,,,,0.362498,0.895629,-0.679774,0.630003,-0.314692,0.128894,-1.436071,0.523585,0.752897,-0.273802,0.529539,-0.036784,-0.009109,-4.061831,,,,0.437612,,,,0.559036,0.769067,-0.312351,0.517526,-0.069798,-0.055243,-4.805634,,,,0.426716,,,,0.567920,0.732261,-0.352816,0.528325,-0.124317,-0.207204,-4.734803,,,,0.421305,,,,0.545981,0.733750,-0.296046,0.545614,-0.105448,-0.196704,-4.139228,,,,0.392002,,,
4,0.133333,852,480,30.000000,0.396411,0.237462,-0.965200,0.999025,0.080654,0.003008,0.430006,0.407611,0.159638,-0.937951,0.999046,0.070044,0.024234,0.096590,0.416560,0.156150,-0.937911,0.998983,0.054367,0.057712,0.099723,0.425397,0.152571,-0.937676,0.999011,0.046519,0.075698,0.108034,0.366982,0.169695,-0.969645,0.998817,0.111533,0.025585,0.384496,0.350061,0.173293,-0.969727,0.998678,0.113377,0.020771,0.386086,0.337785,0.176735,-0.969539,0.998307,0.109257,0.015394,0.389382,0.410952,0.287519,-0.867742,0.994704,0.045228,0.015866,0.407714,0.368385,0.300180,-0.924690,0.995241,0.059644,0.036412,0.275363,0.397950,0.437861,-0.368041,0.995419,-0.028241,0.390389,1.567579,0.250214,0.538076,-0.789895,0.966245,-0.132979,-0.002389,0.282247,,,,0.215951,,,,0.361421,0.901392,-0.685238,0.654440,-0.032321,0.172881,-0.163931,0.518198,0.755498,-0.341298,0.559083,-0.161592,0.078020,-2.024868,,,,0.473997,,,,0.551309,0.772172,-0.389901,0.546890,-0.231809,0.093157,-2.326499,,,,0.461059,,,,0.560476,0.732491,-0.431183,0.557031,-0.223308,0.006900,-2.351002,,,,0.456933,,,,0.539178,0.734360,-0.365630,0.572699,-0.204100,0.018278,-2.087508,,,,0.426814,,,
5,0.166667,852,480,30.000000,0.401152,0.239180,-0.920835,0.999116,0.142230,0.051541,1.330939,0.409937,0.162011,-0.884793,0.999133,0.069769,0.071177,1.594731,0.418121,0.158360,-0.884811,0.999076,0.046825,0.066295,1.593016,0.426445,0.154271,-0.884687,0.999095,0.031421,0.050986,1.589656,0.372747,0.173530,-0.928489,0.998927,0.172931,0.115062,1.234682,0.356048,0.177762,-0.928593,0.998802,0.179615,0.134087,1.234040,0.343250,0.180222,-0.928507,0.998463,0.163964,0.104600,1.230973,0.414292,0.287650,-0.822966,0.995193,0.100188,0.003925,1.343290,0.374104,0.300684,-0.882821,0.995693,0.171544,0.015143,1.256071,0.397661,0.445573,-0.341254,0.995720,-0.008657,0.231348,0.803629,0.253496,0.538427,-0.776827,0.969271,0.098454,0.010532,0.392055,,,,0.209399,,,,0.367043,0.899848,-0.647902,0.665309,0.168683,-0.046300,1.120094,0.508072,0.753360,-0.141402,0.565498,-0.303787,-0.064123,5.996881,,,,0.492423,,,,0.546101,0.760695,-0.166754,0.557589,-0.156255,-0.344317,6.694401,,,,0.480893,,,,0.560201,0.718967,-0.211060,0.568020,-0.008254,-0.405704,6.603694,,,,0.478373,,,,0.538642,0.723399,-0.164347,0.582080,-0.016081,-0.328830,6.038479,,,,0.447838,,,
6,0.200000,852,480,30.000000,0.402040,0.243600,-0.903679,0.999199,0.026636,0.132592,0.514682,0.410542,0.168445,-0.864936,0.999213,0.018142,0.193022,0.595717,0.418596,0.164876,-0.864914,0.999162,0.014246,0.195475,0.596902,0.426681,0.160807,-0.864815,0.999174,0.007076,0.196073,0.596153,0.373637,0.178395,-0.911186,0.999027,0.026701,0.145954,0.519091,0.357381,0.181084,-0.911279,0.998916,0.040000,0.099661,0.519394,0.344614,0.181718,-0.911165,0.998604,0.040918,0.044864,0.520243,0.414942,0.291648,-0.807929,0.995628,0.019513,0.119944,0.451090,0.375201,0.301463,-0.868896,0.996094,0.032934,0.023365,0.417747,0.399292,0.470414,-0.344646,0.996015,0.048917,0.745233,-0.101775,0.245464,0.539350,-0.758636,0.971789,-0.240953,0.027680,0.545720,,,,0.216165,,,,0.320222,0.898461,-0.616667,0.661088,-1.404642,-0.041624,0.937053,0.513891,0.752343,0.031733,0.596429,0.174558,-0.030513,5.194039,,,,0.490227,,,,0.569735,0.734311,0.031078,0.589578,0.709015,-0.791525,5.934974,,,,0.482039,,,,0.576424,0.681103,-0.013807,0.599583,0.486699,-1.135932,5.917585,,,,0.480714,,,,0.553092,0.703555,0.012521,0.612113,0.433497,-0.595300,5.306065,,,,0.452398,,,
7,0.233333,852,480,30.000000,0.403617,0.245267,-0.900026,0.999277,0.047328,0.050017,0.109590,0.411543,0.170279,-0.858505,0.999289,0.030044,0.055020,0.192928,0.419453,0.166794,-0.858441,0.999243,0.025724,0.057540,0.194199,0.427324,0.162822,-0.858277,0.999252,0.019295,0.060467,0.196154,0.374550,0.178865,-0.905294,0.999120,0.027393,0.014084,0.176774,0.357941,0.181227,-0.905409,0.999021,0.016776,0.004279,0.176123,0.344670,0.181959,-0.905374,0.998736,0.001657,0.007258,0.173725,0.416274,0.293054,-0.798234,0.996049,0.039945,0.042169,0.290866,0.377063,0.302094,-0.860089,0.996473,0.055837,0.018910,0.264221,0.408684,0.474912,-0.321348,0.996350,0.281770,0.134964,0.698930,0.237475,0.529571,-0.696948,0.974145,-0.239678,-0.293364,1.850633,,,,0.243650,,,,0.284299,0.888276,-0.554456,0.655468,-1.077681,-0.305547,1.866338,0.519493,0.733837,-0.210050,0.630402,0.168073,-0.555167,-7.253486,,,,0.479170,,,,0.565496,0.714524,-0.230765,0.623102,-0.127162,-0.593587,-7.855293,,,,0.471930,,,,0.573786,0.661363,-0.256393,0.632279,-0.079145,-0.592212,-7.277585,,,,0.472304,,,,0.552025,0.665886,-0.225755,0.643449,-0.032004,-1.130083,-7.148294,,,,0.446436,,,
8,0.266667,852,480,30.000000,0.404868,0.245099,-0.846802,0.999346,0.037512,-0.005051,1.596717,0.411152,0.170146,-0.815737,0.999356,-0.011726,-0.003975,1.283062,0.419268,0.166618,-0.815692,0.999316,-0.005558,-0.005287,1.282455,0.427249,0.162539,-0.815630,0.999322,-0.002258,-0.008492,1.279398,0.374703,0.178936,-0.856009,0.999204,0.004594,0.002159,1.478553,0.358635,0.181358,-0.856043,0.999115,0.020835,0.003935,1.480969,0.345233,0.182291,-0.855925,0.998856,0.016902,0.009941,1.483476,0.418118,0.292681,-0.759885,0.996427,0.055315,-0.011189,1.150464,0.381714,0.302395,-0.812866,0.996811,0.139527,0.009048,1.416696,0.410355,0.471043,-0.327719,0.996636,0.050122,-0.116081,-0.191104,0.238735,0.530697,-0.671728,0.976342,0.037810,0.033767,0.756601,,,,0.262313,,,,0.296403,0.890324,-0.459404,0.646814,0.363109,0.061444,2.851556,0.521521,0.727435,0.163000,0.660952,0.060840,-0.192068,11.191504,,,,0.469773,,,,0.563721,0.715255,0.183919,0.654081,-0.053238,0.021912,12.440505,,,,0.468515,,,,0.573035,0.656317,0.140273,0.662681,-0.022522,-0.151364,11.899986,,,,0.469790,,,,0.552057,0.655336,0.147826,0.672431,0.000964,-0.316504,11.207427,,,,0.446771,,,
9,0.300000,852,480,30.000000,0.407050,0.237734,-0.926419,0.999408,0.065471,-0.220940,-2.388498,0.411078,0.167934,-0.884599,0.999416,-0.002240,-0.066362,-2.065880,0.419131,0.164775,-0.884470,0.999380,-0.004114,-0.055280,-2.063323,0.427219,0.160987,-0.884367,0.999381,-0.000877,-0.046572,-2.062102,0.377525,0.174604,-0.937472,0.999280,0.084653,-0.129979,-2.443905,0.362424,0.176288,-0.937589,0.999201,0.113662,-0.152109,-2.446366,0.348665,0.176781,-0.937687,0.998964,0.102963,-0.165297,-2.452846,0.419526,0.287673,-0.826685,0.996770,0.042248,-0.150246,-2.003993,0.384976,0.296102,-0.897218,0.997122,0.097886,-0.188789,-2.530568,0.414028,0.475999,-0.342706,0.996863,0.110196,0.148677,-0.449632,0.229238,0.525941,-0.739262,0.978413,-0.284921,-0.142663,-2.026008,,,,0.283937,,,,0.237056,0.891912,-0.696904,0.644260,-1.780415,0.047654,-7.125008,0.521842,0.723130,0.146770,0.690296,0.009645,-0.129163,-0.486886,,,,0.463757,,,,0.564004,0.702471,0.166282,0.683309,0.008474,-0.383529,-0.529083,,,,0.468302,,,,0.572447,0.645878,0.132166,0.691184,-0.017667,-0.313171,-0.243199,,,,0.471825,,,,0.552568,0.663674,0.135712,0.699810,0.015326,0.250136,-0.363427,,,,0.451106,,,
