frame,time_sec,video_width,video_height,fps,l0_x,l0_y,l0_z,l0_v,l0_vx,l0_vy,l0_vz,l1_x,l1_y,l1_z,l1_v,l1_vx,l1_vy,l1_vz,l2_x,l2_y,l2_z,l2_v,l2_vx,l2_vy,l2_vz,l3_x,l3_y,l3_z,l3_v,l3_vx,l3_vy,l3_vz,l4_x,l4_y,l4_z,l4_v,l4_vx,l4_vy,l4_vz,l5_x,l5_y,l5_z,l5_v,l5_vx,l5_vy,l5_vz,l6_x,l6_y,l6_z,l6_v,l6_vx,l6_vy,l6_vz,l9_x,l9_y,l9_z,l9_v,l9_vx,l9_vy,l9_vz,l10_x,l10_y,l10_z,l10_v,l10_vx,l10_vy,l10_vz,l11_x,l11_y,l11_z,l11_v,l11_vx,l11_vy,l11_vz,l12_x,l12_y,l12_z,l12_v,l12_vx,l12_vy,l12_vz,l13_x,l13_y,l13_z,l13_v,l13_vx,l13_vy,l13_vz,l14_x,l14_y,l14_z,l14_v,l14_vx,l14_vy,l14_vz,l15_x,l15_y,l15_z,l15_v,l15_vx,l15_vy,l15_vz,l16_x,l16_y,l16_z,l16_v,l16_vx,l16_vy,l16_vz,l17_x,l17_y,l17_z,l17_v,l17_vx,l17_vy,l17_vz,l18_x,l18_y,l18_z,l18_v,l18_vx,l18_vy,l18_vz,l19_x,l19_y,l19_z,l19_v,l19_vx,l19_vy,l19_vz,l20_x,l20_y,l20_z,l20_v,l20_vx,l20_vy,l20_vz,l21_x,l21_y,l21_z,l21_v,l21_vx,l21_vy,l21_vz,l22_x,l22_y,l22_z,l22_v,l22_vx,l22_vy,l22_vz
0,0.000000,852,480,30.000000,0.412641,0.494012,-0.774812,0.998434,0.000000,0.000000,0.000000,0.406166,0.423512,-0.715491,0.998347,0.000000,0.000000,0.000000,0.411330,0.418907,-0.715568,0.998274,0.000000,0.000000,0.000000,0.416148,0.414842,-0.715570,0.997718,0.000000,0.000000,0.000000,0.377888,0.438132,-0.799098,0.998697,0.000000,0.000000,0.000000,0.361667,0.444825,-0.799209,0.998687,0.000000,0.000000,0.000000,0.345196,0.451369,-0.799650,0.998437,0.000000,0.000000,0.000000,0.422190,0.562927,-0.618368,0.996889,0.000000,0.000000,0.000000,0.385805,0.576373,-0.724092,0.998666,0.000000,0.000000,0.000000,0.417429,0.758339,-0.001412,0.990515,0.000000,0.000000,0.000000,0.110106,0.796425,-0.685502,0.990423,0.000000,0.000000,0.000000,0.528873,1.116550,-0.182689,0.055079,0.000000,0.000000,0.000000,0.134810,1.267702,-0.882445,0.547266,0.000000,0.000000,0.000000,0.486005,1.008330,-0.665202,0.140929,0.000000,0.000000,0.000000,0.361717,0.988170,-0.785827,0.352356,0.000000,0.000000,0.000000,0.493818,0.987778,-0.732742,0.163449,0.000000,0.000000,0.000000,0.430923,0.931481,-0.818935,0.299898,0.000000,0.000000,0.000000,0.479967,0.951921,-0.686541,0.180872,0.000000,0.000000,0.000000,0.409827,0.855368,-0.769453,0.323525,0.000000,0.000000,0.000000,0.436176,0.919843,-0.669559,0.193871,0.000000,0.000000,0.000000,0.396117,0.901875,-0.757365,0.306786,0.000000,0.000000,0.000000
1,0.033333,852,480,30.000000,0.413064,0.496096,-0.617613,0.998445,0.012684,0.062516,4.715953,0.406339,0.424961,-0.553164,0.998374,0.005203,0.043469,4.869815,0.411352,0.420871,-0.553293,0.998297,0.000637,0.058933,4.868245,0.416101,0.417256,-0.553391,0.997770,-0.001415,0.072428,4.865363,0.379409,0.438220,-0.640597,0.998718,0.045647,0.002649,4.755015,0.363677,0.444782,-0.640659,0.998702,0.060308,-0.001287,4.756477,0.347537,0.451110,-0.641198,0.998467,0.070233,-0.007761,4.753581,0.422072,0.564717,-0.463471,0.996951,-0.003534,0.053680,4.646903,0.386186,0.577186,-0.574761,0.998696,0.011426,0.024392,4.479926,0.414760,0.769274,0.133213,0.990545,-0.080079,0.328054,4.038754,0.110100,0.796721,-0.591332,0.990492,-0.000167,0.008898,2.825099,0.525540,1.139474,-0.070334,0.059775,-0.099989,0.687718,3.370652,0.119538,1.267772,-0.894983,0.551582,-0.458168,0.002110,-0.376142,0.479709,0.977252,-0.497975,0.154840,-0.188873,-0.932345,5.016819,0.365299,0.970277,-0.882845,0.357246,0.107472,-0.536792,-2.910535,0.486740,0.932075,-0.561598,0.174861,-0.212338,-1.671095,5.134317,0.417789,0.880064,-0.929248,0.303110,-0.394027,-1.542508,-3.309372,0.474156,0.895280,-0.502090,0.192055,-0.174311,-1.699251,5.533555,0.407840,0.839922,-0.870355,0.325811,-0.059593,-0.463371,-3.027057,0.431759,0.855589,-0.496743,0.204522,-0.132515,-1.927627,5.184484,0.395857,0.888766,-0.853702,0.309223,-0.007797,-0.393280,-2.890107
2,0.066667,852,480,30.000000,0.413357,0.498983,-0.676574,0.998465,0.008809,0.086602,-1.768817,0.406406,0.427256,-0.614322,0.998409,0.002022,0.068868,-1.834747,0.411360,0.423793,-0.614419,0.998342,0.000240,0.087670,-1.833773,0.416067,0.420710,-0.614453,0.997829,-0.001018,0.103599,-1.831840,0.379874,0.438603,-0.700355,0.998740,0.013933,0.011466,-1.792729,0.364156,0.444820,-0.700443,0.998726,0.014381,0.001158,-1.793502,0.347985,0.451101,-0.700929,0.998490,0.013457,-0.000279,-1.791936,0.421960,0.567582,-0.520607,0.997021,-0.003345,0.085961,-1.714077,0.386247,0.578940,-0.629580,0.998721,0.001841,0.052621,-1.644566,0.411072,0.779315,0.091494,0.990791,-0.110638,0.301226,-1.251566,0.108500,0.798921,-0.597427,0.990603,-0.048017,0.066006,-0.182850,0.523202,1.166474,-0.109937,0.064219,-0.070149,0.810002,-1.188092,0.113486,1.274184,-0.916500,0.559129,-0.181547,0.192361,-0.645513,0.472204,0.975175,-0.633001,0.170539,-0.225155,-0.062324,-4.050789,0.368384,0.971144,-0.855376,0.369331,0.092537,0.026014,0.824082,0.476945,0.924875,-0.709649,0.188436,-0.293847,-0.216002,-4.441527,0.414131,0.881242,-0.896873,0.310870,-0.109752,0.035323,0.971253,0.438886,0.827147,-0.634320,0.205799,-1.058094,-2.043967,-3.966914,0.406299,0.840584,-0.844137,0.333277,-0.046249,0.019866,0.786538,0.427771,0.843224,-0.628885,0.218500,-0.119635,-0.370942,-3.964283,0.394225,0.884891,-0.827382,0.316432,-0.048980,-0.116247,0.789619
3,0.100000,852,480,30.000000,0.413637,0.500418,-0.782900,0.998535,0.008388,0.043049,-3.189788,0.406523,0.428341,-0.711996,0.998496,0.003512,0.032537,-2.930197,0.411363,0.425423,-0.711937,0.998436,0.000096,0.048873,-2.925550,0.415944,0.422985,-0.711898,0.997947,-0.003691,0.068272,-2.923349,0.380924,0.438615,-0.804986,0.998804,0.031512,0.000377,-3.138930,0.365322,0.444725,-0.805063,0.998788,0.034971,-0.002858,-3.138607,0.349063,0.450852,-0.805587,0.998557,0.032318,-0.007462,-3.139733,0.421585,0.568341,-0.617101,0.997179,-0.011265,0.022767,-2.894813,0.386587,0.579889,-0.736015,0.998784,0.010185,0.028471,-3.193054,0.405605,0.806918,0.027753,0.991136,-0.164018,0.828077,-1.912234,0.104440,0.802218,-0.683660,0.990941,-0.121788,0.098904,-2.586992,0.521040,1.216177,-0.275509,0.080307,-0.064863,1.491090,-4.967176,0.114071,1.293332,-0.918681,0.575906,0.017552,0.574450,-0.065437,0.465651,0.963787,-0.860353,0.213003,-0.196585,-0.341640,-6.820570,0.373762,0.968401,-0.783816,0.400483,0.161356,-0.082304,2.146803,0.445073,0.857987,-0.951496,0.221806,-0.956162,-2.006637,-7.255406,0.415087,0.866761,-0.814239,0.334061,0.028708,-0.434411,2.478994,0.426285,0.782946,-0.872205,0.238009,-0.378050,-1.326025,-7.136564,0.404683,0.824185,-0.759942,0.355235,-0.048456,-0.491965,2.525856,0.414880,0.832027,-0.855193,0.252154,-0.386753,-0.335895,-6.789227,0.393201,0.875683,-0.751958,0.337929,-0.030712,-0.276248,2.262703
4,0.133333,852,480,30.000000,0.414048,0.502164,-0.728809,0.998581,0.012334,0.052389,1.622728,0.406523,0.429144,-0.658801,0.998556,0.000000,0.024097,1.595825,0.411250,0.426507,-0.658849,0.998501,-0.003385,0.032530,1.592640,0.415503,0.424295,-0.658882,0.998036,-0.013210,0.039296,1.590455,0.381280,0.438726,-0.751291,0.998847,0.010673,0.003334,1.610835,0.365813,0.444736,-0.751290,0.998829,0.014728,0.000333,1.613186,0.349677,0.450849,-0.751800,0.998599,0.018417,-0.000114,1.613615,0.421576,0.572331,-0.567516,0.997287,-0.000278,0.119711,1.487533,0.387291,0.582931,-0.686301,0.998821,0.021133,0.091265,1.491424,0.404906,0.806195,0.054511,0.991338,-0.020959,-0.021692,0.802746,0.104484,0.808589,-0.671829,0.990638,0.001324,0.191134,0.354955,0.521150,1.201844,-0.204125,0.084900,0.003301,-0.429994,2.141513,0.113241,1.297989,-0.938233,0.568612,-0.024889,0.139707,-0.586567,0.465242,0.963497,-0.672824,0.228974,-0.012265,-0.008706,5.625892,0.373821,0.968138,-0.874837,0.393519,0.001754,-0.007905,-2.730632,0.452487,0.882351,-0.747491,0.234931,0.222409,0.730898,6.120147,0.410113,0.872589,-0.918429,0.328382,-0.149235,0.174842,-3.125680,0.421684,0.783843,-0.674965,0.251129,-0.138026,0.026910,5.917218,0.402453,0.827370,-0.864290,0.348888,-0.066916,0.095547,-3.130445,0.415677,0.836254,-0.667553,0.264727,0.023936,0.126806,5.629193,0.391188,0.879947,-0.846915,0.332345,-0.060385,0.127911,-2.848708
5,0.166667,852,480,30.000000,0.414016,0.504096,-0.771677,0.998628,-0.000971,0.057950,-1.286028,0.406348,0.430790,-0.700092,0.998620,-0.005266,0.049376,-1.238728,0.410983,0.428277,-0.700107,0.998571,-0.008004,0.053099,-1.237745,0.415101,0.426043,-0.700058,0.998127,-0.012073,0.052433,-1.235254,0.381142,0.439369,-0.791360,0.998892,-0.004139,0.019290,-1.202064,0.365596,0.444980,-0.791288,0.998870,-0.006516,0.007303,-1.199943,0.349334,0.450910,-0.791829,0.998642,-0.010283,0.001850,-1.200891,0.421380,0.573567,-0.600349,0.997395,-0.005880,0.037079,-0.984991,0.387175,0.583705,-0.718124,0.998861,-0.003470,0.023224,-0.954700,0.403445,0.803574,0.048882,0.991669,-0.043841,-0.078616,-0.168874,0.104238,0.810427,-0.669728,0.990560,-0.007399,0.055128,0.063018,0.512764,1.216081,-0.249238,0.089135,-0.251566,0.427115,-1.353381,0.091508,1.301224,-0.951603,0.563301,-0.652000,0.097049,-0.401103,0.441481,0.963947,-0.785625,0.245484,-0.712849,0.013515,-3.384054,0.362428,0.972373,-0.918997,0.387261,-0.341798,0.127072,-1.324802,0.434907,0.867196,-0.866590,0.250221,-0.527382,-0.454645,-3.572953,0.406952,0.876403,-0.958795,0.323391,-0.094815,0.114425,-1.210983,0.413375,0.804711,-0.794283,0.267175,-0.249274,0.626033,-3.579531,0.393169,0.828467,-0.899071,0.343749,-0.278508,0.032900,-1.043429,0.410268,0.841541,-0.781561,0.279685,-0.162286,0.158606,-3.420233,0.388355,0.887873,-0.888637,0.327402,-0.084983,0.237805,-1.251673
6,0.200000,852,480,30.000000,0.413794,0.507238,-0.772008,0.998617,-0.006657,0.094264,-0.009935,0.406032,0.433028,-0.701663,0.998627,-0.009469,0.067137,-0.047105,0.410555,0.430576,-0.701676,0.998581,-0.012829,0.068990,-0.047066,0.414518,0.428320,-0.701636,0.998141,-0.017488,0.068295,-0.047354,0.380809,0.440616,-0.792618,0.998890,-0.010003,0.037411,-0.037742,0.365114,0.445632,-0.792555,0.998867,-0.014461,0.019573,-0.037994,0.348639,0.451188,-0.793083,0.998634,-0.020833,0.008339,-0.037601,0.420663,0.576331,-0.601281,0.997413,-0.021492,0.082923,-0.027945,0.386212,0.586835,-0.718278,0.998857,-0.028898,0.093895,-0.004608,0.401476,0.803683,0.048364,0.991829,-0.059052,0.003245,-0.015540,0.102578,0.810914,-0.671204,0.990592,-0.049805,0.014618,-0.044292,0.507711,1.209801,-0.256031,0.092509,-0.151582,-0.188395,-0.203800,0.095612,1.300562,-0.949542,0.572061,0.123112,-0.019870,0.061825,0.438031,0.972723,-0.798350,0.253883,-0.103498,0.263277,-0.381745,0.366640,0.972488,-0.917339,0.395530,0.126385,0.003453,0.049725,0.435573,0.897164,-0.881369,0.257825,0.019974,0.899060,-0.443380,0.407740,0.876638,-0.943829,0.328546,0.023625,0.007051,0.448971,0.407946,0.812791,-0.811028,0.275381,-0.162868,0.242398,-0.502369,0.393837,0.829537,-0.876305,0.348802,0.020024,0.032088,0.682998,0.405549,0.844482,-0.795592,0.287494,-0.141552,0.088221,-0.420946,0.388179,0.887934,-0.877366,0.332264,-0.005301,0.001813,0.338150
7,0.233333,852,480,30.000000,0.413647,0.507678,-0.794592,0.998655,-0.004400,0.013193,-0.677528,0.405893,0.433284,-0.722846,0.998679,-0.004167,0.007691,-0.635517,0.410354,0.430814,-0.722845,0.998638,-0.006056,0.007125,-0.635077,0.414217,0.428521,-0.722776,0.998211,-0.009020,0.006039,-0.634198,0.380711,0.440786,-0.815928,0.998930,-0.002921,0.005102,-0.699289,0.364993,0.445697,-0.815852,0.998907,-0.003618,0.001941,-0.698932,0.348490,0.451199,-0.816383,0.998675,-0.004493,0.000309,-0.699014,0.420111,0.577223,-0.622302,0.997498,-0.016556,0.026754,-0.630625,0.385990,0.588163,-0.741757,0.998889,-0.006650,0.039840,-0.704375,0.401230,0.803136,0.040572,0.991995,-0.007388,-0.016397,-0.233768,0.101381,0.811599,-0.704684,0.990558,-0.035907,0.020558,-1.004400,0.507540,1.204012,-0.250044,0.093640,-0.005153,-0.173693,0.179628,0.098213,1.300634,-0.984394,0.574163,0.078023,0.002178,-1.045552,0.432633,0.960996,-0.794397,0.262016,-0.161924,-0.351804,0.118586,0.366680,0.973433,-0.913765,0.396586,0.001190,0.028344,0.107213,0.441139,0.899053,-0.876628,0.265809,0.166967,0.056652,0.142230,0.407914,0.879542,-0.951086,0.329684,0.005207,0.087115,-0.217720,0.412436,0.816746,-0.811270,0.284003,0.134700,0.118648,-0.007254,0.394149,0.836243,-0.898429,0.350302,0.009373,0.201200,-0.663718,0.402956,0.845214,-0.794152,0.296335,-0.077796,0.021958,0.043212,0.387037,0.893653,-0.883400,0.333543,-0.034236,0.171577,-0.181029
8,0.266667,852,480,30.000000,0.413484,0.507249,-0.826958,0.998715,-0.004895,-0.012862,-0.970976,0.405530,0.432761,-0.755901,0.998751,-0.010894,-0.015712,-0.991647,0.409980,0.430214,-0.755895,0.998713,-0.011210,-0.018007,-0.991475,0.413823,0.427845,-0.755835,0.998308,-0.011824,-0.020288,-0.991761,0.380201,0.440521,-0.847521,0.998986,-0.015301,-0.007957,-0.947785,0.364457,0.445493,-0.847445,0.998964,-0.016082,-0.006122,-0.947773,0.347937,0.451059,-0.847958,0.998739,-0.016582,-0.004185,-0.947253,0.419881,0.577190,-0.655407,0.997620,-0.006907,-0.001007,-0.993161,0.385947,0.588147,-0.772732,0.998939,-0.001308,-0.000481,-0.929260,0.401355,0.802971,0.007682,0.992196,0.003760,-0.004935,-0.986705,0.101442,0.811916,-0.728848,0.990554,0.001832,0.009493,-0.724897,0.508293,1.200599,-0.255409,0.093457,0.022606,-0.102367,-0.160950,0.098435,1.302850,-1.020736,0.571842,0.006680,0.066458,-1.090243,0.445661,0.964808,-0.787100,0.268225,0.390824,0.114364,0.218920,0.366340,0.973543,-0.989182,0.394861,-0.010210,0.003296,-2.262502,0.454173,0.903140,-0.865808,0.272588,0.391012,0.122632,0.324597,0.403490,0.880920,-1.033819,0.329260,-0.132709,0.041345,-2.481986,0.441595,0.858941,-0.805483,0.291555,0.874777,1.265844,0.173621,0.393306,0.838868,-0.983476,0.350350,-0.025304,0.078750,-2.551425,0.403796,0.846566,-0.788347,0.303989,0.025193,0.040571,0.174152,0.386610,0.929674,-0.962068,0.333346,-0.012827,1.080628,-2.360036
9,0.300000,852,480,30.000000,0.413404,0.507012,-0.823042,0.998779,-0.002385,-0.007119,0.117468,0.405271,0.432412,-0.753488,0.998823,-0.007776,-0.010451,0.072391,0.409703,0.429770,-0.753494,0.998786,-0.008317,-0.013324,0.072014,0.413522,0.427284,-0.753446,0.998405,-0.009051,-0.016812,0.071649,0.379914,0.440438,-0.842484,0.999043,-0.008604,-0.002506,0.151092,0.364193,0.445467,-0.842432,0.999020,-0.007938,-0.000781,0.150388,0.347700,0.451060,-0.842925,0.998806,-0.007096,0.000020,0.150998,0.419831,0.577146,-0.654399,0.997735,-0.001498,-0.001318,0.030236,0.385963,0.588196,-0.768440,0.998988,0.000469,0.001459,0.128762,0.401420,0.802118,-0.001802,0.992334,0.001930,-0.025601,-0.284517,0.102641,0.812021,-0.718834,0.990437,0.035985,0.003158,0.300409,0.508651,1.199338,-0.248211,0.093200,0.010731,-0.037830,0.215938,0.085574,1.302399,-1.030638,0.563131,-0.385835,-0.013508,-0.297074,0.451026,0.964963,-0.723559,0.279287,0.160974,0.004646,1.906241,0.348382,0.973517,-1.057059,0.392933,-0.538735,-0.000772,-2.036297,0.459304,0.905988,-0.790997,0.284319,0.153944,0.085421,2.244346,0.388669,0.881612,-1.104249,0.329884,-0.444636,0.020733,-2.112890,0.451483,0.868652,-0.729658,0.303926,0.296651,0.291327,2.274730,0.382873,0.839037,-1.047863,0.351260,-0.312974,0.005075,-1.931593,0.404768,0.846282,-0.722239,0.315926,0.029156,-0.008528,1.983254,0.369008,0.929353,-1.029980,0.334247,-0.528049,-0.009620,-2.037361
