threshold,precision,recall,f1,precision_aware
0.0,0.519774011299435,1.0,0.6840148698884758,0.6130422338796874
0.01,0.519774011299435,1.0,0.6840148698884758,0.6130422338796874
0.02,0.519774011299435,1.0,0.6840148698884758,0.6130422338796874
0.03,0.519774011299435,1.0,0.6840148698884758,0.6130422338796874
0.04,0.519774011299435,1.0,0.6840148698884758,0.6130422338796874
0.05,0.519774011299435,1.0,0.6840148698884758,0.6130422338796874
0.06,0.519774011299435,1.0,0.6840148698884758,0.6130422338796874
0.07,0.519774011299435,1.0,0.6840148698884758,0.6130422338796874
0.08,0.5212464589235127,1.0,0.6852886405959032,0.6141605889039544
0.09,0.5212464589235127,1.0,0.6852886405959032,0.6141605889039544
0.1,0.5212464589235127,1.0,0.6852886405959032,0.6141605889039544
0.11,0.5212464589235127,1.0,0.6852886405959032,0.6141605889039544
0.12,0.5227272727272727,1.0,0.6865671641791045,0.6152845528807949
0.13,0.5242165242165242,1.0,0.6878504672897197,0.6164141695586052
0.14,0.5287356321839081,1.0,0.6917293233082706,0.6198373803478624
0.15,0.5304347826086957,0.9945652173913043,0.6918714555765595,0.6207295952407428
0.16,0.5319767441860465,0.9945652173913043,0.6931818181818182,0.6218936848109958
0.17,0.5335276967930029,0.9945652173913043,0.6944971537001897,0.6230637617699856
0.18,0.5414201183431953,0.9945652173913043,0.7011494252873564,0.6290056540212317
0.19,0.5449101796407185,0.9891304347826086,0.7027027027027027,0.6312166678945972
0.2,0.5449101796407185,0.9891304347826086,0.7027027027027027,0.6312166678945972
0.21,0.5531914893617021,0.9891304347826086,0.7095516569200779,0.6374120090203016
0.22,0.5521472392638037,0.9782608695652174,0.7058823529411765,0.6357890927776819
0.23,0.5572755417956656,0.9782608695652174,0.7100591715976331,0.6396062896405499
0.24,0.5628930817610063,0.9728260869565217,0.7131474103585658,0.6433415312515
0.25,0.5632911392405063,0.967391304347826,0.712,0.6431963368836803
0.26,0.5686900958466453,0.967391304347826,0.716297786720322,0.6471851512028464
0.27,0.5686900958466453,0.967391304347826,0.716297786720322,0.6471851512028464
0.28,0.577922077922078,0.967391304347826,0.7235772357723578,0.6539849769561734
0.29,0.5855263157894737,0.967391304347826,0.7295081967213115,0.6595663841745575
0.3,0.59,0.9619565217391305,0.731404958677686,0.6623722548667329
0.31,0.5912162162162162,0.9510869565217391,0.7291666666666666,0.6623088753715353
0.32,0.6006944444444444,0.9402173913043478,0.7330508474576272,0.6682132437229374
0.33,0.6115107913669064,0.9239130434782609,0.7359307359307359,0.6744853837261011
0.34,0.6199261992619927,0.9130434782608695,0.7384615384615385,0.679452328432885
0.35000000000000003,0.6240601503759399,0.9021739130434783,0.7377777777777778,0.6813141757847304
0.36,0.6269230769230769,0.8858695652173914,0.7342342342342343,0.6816825759952359
0.37,0.6264591439688716,0.875,0.7301587301587301,0.680227958295482
0.38,0.6324110671936759,0.8695652173913043,0.7322654462242563,0.683835934727542
0.39,0.6370967741935484,0.8586956521739131,0.7314814814814815,0.6859435988046457
0.4,0.6352459016393442,0.842391304347826,0.7242990654205608,0.6828634377092675
0.41000000000000003,0.6371308016877637,0.8206521739130435,0.7173396674584323,0.6817180683448386
0.42,0.6506550218340611,0.8097826086956522,0.7215496368038741,0.6897431692216199
0.43,0.6488888888888888,0.7934782608695652,0.7139364303178484,0.686576140803226
0.44,0.6606334841628959,0.7934782608695652,0.7209876543209877,0.6945638056411714
0.45,0.6666666666666666,0.7717391304347826,0.7153652392947103,0.6958936723851735
0.46,0.6650717703349283,0.7554347826086957,0.7073791348600509,0.6927003928889065
0.47000000000000003,0.6634146341463415,0.7391304347826086,0.699228791773779,0.6894267218687316
0.48,0.6666666666666666,0.7282608695652174,0.6961038961038961,0.6901152694279293
0.49,0.673469387755102,0.717391304347826,0.6947368421052632,0.693106513772557
0.5,0.680628272251309,0.7065217391304348,0.6933333333333334,0.6962649033890816
0.51,0.6898395721925134,0.7010869565217391,0.6954177897574124,0.7014958902869075
0.52,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.7044725063938619
0.53,0.6888888888888889,0.6739130434782609,0.6813186813186813,0.696790816103476
0.54,0.6946107784431138,0.6304347826086957,0.6609686609686609,0.6935467547755824
0.55,0.7051282051282052,0.5978260869565217,0.6470588235294118,0.6946325168863533
0.56,0.7124183006535948,0.592391304347826,0.6468842729970327,0.6982251994893344
0.5700000000000001,0.7027027027027027,0.5652173913043478,0.6265060240963856,0.6872539258436942
0.58,0.7318840579710145,0.5489130434782609,0.6273291925465838,0.7020915540129096
0.59,0.7388059701492538,0.5380434782608695,0.6226415094339622,0.7041462051682427
0.6,0.7421875,0.5163043478260869,0.6089743589743589,0.7017368249557349
0.61,0.7459016393442623,0.4945652173913043,0.5947712418300654,0.699332959484578
0.62,0.7565217391304347,0.47282608695652173,0.5819397993311036,0.7007935766279756
0.63,0.7610619469026548,0.4673913043478261,0.5791245791245792,0.7022191144521283
0.64,0.7547169811320755,0.43478260869565216,0.5517241379310345,0.6908264992087753
0.65,0.7572815533980582,0.42391304347826086,0.5435540069686411,0.6896577460530486
0.66,0.7575757575757576,0.4076086956521739,0.5300353356890459,0.6857492467580197
0.67,0.7640449438202247,0.3695652173913043,0.4981684981684982,0.6794237886240889
0.68,0.7721518987341772,0.33152173913043476,0.46387832699619774,0.673190214729375
0.6900000000000001,0.7857142857142857,0.29891304347826086,0.4330708661417323,0.6707291699630896
0.7000000000000001,0.7878787878787878,0.2826086956521739,0.416,0.6666901612028211
0.71,0.7903225806451613,0.266304347826087,0.3983739837398374,0.662624252707959
0.72,0.7818181818181819,0.23369565217391305,0.3598326359832636,0.6468096489674972
0.73,0.7777777777777778,0.19021739130434784,0.3056768558951965,0.6285427129208749
0.74,0.75,0.14673913043478262,0.24545454545454545,0.5965871308997908
0.75,0.7878787878787878,0.14130434782608695,0.23963133640552994,0.61377956212448
0.76,0.8333333333333334,0.1358695652173913,0.2336448598130841,0.6347108918740191
0.77,0.8076923076923077,0.11413043478260869,0.2,0.611796921109581
0.78,0.8333333333333334,0.08152173913043478,0.1485148514851485,0.6091718893756384
0.79,0.7692307692307693,0.05434782608695652,0.10152284263959391,0.5630230046706899
0.8,0.8,0.021739130434782608,0.042328042328042326,0.5606491799618398
0.81,0.6666666666666666,0.010869565217391304,0.0213903743315508,0.4877012128962257
0.8200000000000001,0.0,0.0,0.0,0.14795076726342712
0.8300000000000001,0.0,0.0,0.0,0.14795076726342712
0.84,0.0,0.0,0.0,0.14795076726342712
0.85,0.0,0.0,0.0,0.14795076726342712
0.86,0.0,0.0,0.0,0.14795076726342712
0.87,0.0,0.0,0.0,0.14795076726342712
0.88,0.0,0.0,0.0,0.14795076726342712
0.89,0.0,0.0,0.0,0.14795076726342712
0.9,0.0,0.0,0.0,0.14795076726342712
0.91,0.0,0.0,0.0,0.14795076726342712
0.92,0.0,0.0,0.0,0.14795076726342712
0.93,0.0,0.0,0.0,0.14795076726342712
0.9400000000000001,0.0,0.0,0.0,0.14795076726342712
0.9500000000000001,0.0,0.0,0.0,0.14795076726342712
0.96,0.0,0.0,0.0,0.14795076726342712
0.97,0.0,0.0,0.0,0.14795076726342712
0.98,0.0,0.0,0.0,0.14795076726342712
0.99,0.0,0.0,0.0,0.14795076726342712
1.0,0.0,0.0,0.0,0.14795076726342712
