frame,time_sec,yaw_est,yaw_raw_ratio,yaw_valid_flag,face_orient_class,mouth_x,mouth_y,mouth_z,mouth_width_3d,mouth_width_2d,normalized_mouth_width,mouth_conf_raw,mouth_conf_adj,mouth_from_estimation,mouth_vx,mouth_vy,mouth_vz,mouth_ax,mouth_ay,mouth_az,dist_leftHand_mouth,dist_rightHand_mouth,dist_hands,dist_nose_leftHand,dist_nose_rightHand,dist_wrists,dist2d_leftHand_mouth,dist2d_rightHand_mouth,dist2d_hands,dist2d_nose_leftHand,dist2d_nose_rightHand,dist2d_wrists,norm_dist_leftHand_mouth,norm_dist_rightHand_mouth,norm_dist_hands,norm_dist_nose_leftHand,norm_dist_nose_rightHand,norm_dist_wrists,norm2d_dist_leftHand_mouth,norm2d_dist_rightHand_mouth,norm2d_dist_hands,norm2d_dist_nose_leftHand,norm2d_dist_nose_rightHand,norm2d_dist_wrists,shoulder_width_3d,shoulder_width_2d,occlusion_flag,velocity_jump_flag,velocity_jump_count,velocity_jump_v_thresh_used,velocity_jump_a_thresh_used,l0_vx,l0_vy,l0_vz,l0_ax,l0_ay,l0_az,l1_vx,l1_vy,l1_vz,l1_ax,l1_ay,l1_az,l2_vx,l2_vy,l2_vz,l2_ax,l2_ay,l2_az,l3_vx,l3_vy,l3_vz,l3_ax,l3_ay,l3_az,l4_vx,l4_vy,l4_vz,l4_ax,l4_ay,l4_az,l5_vx,l5_vy,l5_vz,l5_ax,l5_ay,l5_az,l6_vx,l6_vy,l6_vz,l6_ax,l6_ay,l6_az,l9_vx,l9_vy,l9_vz,l9_ax,l9_ay,l9_az,l10_vx,l10_vy,l10_vz,l10_ax,l10_ay,l10_az,l11_vx,l11_vy,l11_vz,l11_ax,l11_ay,l11_az,l12_vx,l12_vy,l12_vz,l12_ax,l12_ay,l12_az,l13_vx,l13_vy,l13_vz,l13_ax,l13_ay,l13_az,l14_vx,l14_vy,l14_vz,l14_ax,l14_ay,l14_az,l15_vx,l15_vy,l15_vz,l15_ax,l15_ay,l15_az,l16_vx,l16_vy,l16_vz,l16_ax,l16_ay,l16_az,l17_vx,l17_vy,l17_vz,l17_ax,l17_ay,l17_az,l18_vx,l18_vy,l18_vz,l18_ax,l18_ay,l18_az,l19_vx,l19_vy,l19_vz,l19_ax,l19_ay,l19_az,l20_vx,l20_vy,l20_vz,l20_ax,l20_ay,l20_az,l21_vx,l21_vy,l21_vz,l21_ax,l21_ay,l21_az,l22_vx,l22_vy,l22_vz,l22_ax,l22_ay,l22_az
0,0.000000,-0.081396,0.459302,1,0,0.549424,0.619762,-0.850888,0.045566,0.044745,0.139626,0.999948,0.999948,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.017326,0.952904,0.471844,1.089358,1.009647,0.501270,1.017309,0.941506,0.450252,1.083870,1.009144,0.488296,3.170435,2.969667,1.470473,3.394918,3.146504,1.562177,3.174503,2.937959,1.405008,3.382204,3.149023,1.523722,0.320879,0.320463,0,0,0,3.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.033333,-0.087217,0.456392,1,0,0.549582,0.619166,-0.769542,0.045913,0.045143,0.140826,0.999949,0.999949,0,0.000158,-0.000595,0.081346,,,,1.022415,0.993241,0.450105,1.094411,1.054116,0.480728,1.022383,0.987786,0.435956,1.087285,1.054039,0.472743,3.101916,3.013406,1.365580,3.320348,3.198094,1.458487,3.189406,3.081478,1.359999,3.391873,3.288158,1.474758,0.329607,0.320556,0,1,8,3.000000,6.000000,0.016817,0.033401,2.392185,0.016817,0.033401,2.392185,0.015689,0.049134,2.309157,0.015689,0.049134,2.309157,0.010641,0.052029,2.308407,0.010641,0.052029,2.308407,0.003934,0.059972,2.306839,0.003934,0.059972,2.306839,0.021753,0.011561,2.268704,0.021753,0.011561,2.268704,0.009851,0.000087,2.273426,0.009851,0.000087,2.273426,0.004563,-0.006688,2.275243,0.004563,-0.006688,2.275243,0.008951,-0.003170,2.436780,0.008951,-0.003170,2.436780,0.000535,-0.032533,2.443932,0.000535,-0.032533,2.443932,0.002237,-0.103061,2.892573,0.002237,-0.103061,2.892573,-0.012115,-0.004624,1.081527,-0.012115,-0.004624,1.081527,-0.205497,-0.114448,3.714920,-0.205497,-0.114448,3.714920,0.232108,0.372770,2.040059,0.232108,0.372770,2.040059,-0.172434,0.004045,3.252522,-0.172434,0.004045,3.252522,0.176942,0.983602,4.034019,0.176942,0.983602,4.034019,-0.096601,0.044918,3.180395,-0.096601,0.044918,3.180395,0.074023,0.999881,4.125883,0.074023,0.999881,4.125883,-0.136192,0.165074,2.856263,-0.136192,0.165074,2.856263,0.104334,1.441451,3.730182,0.104334,1.441451,3.730182,-0.151999,0.148476,3.051540,-0.151999,0.148476,3.051540,0.141665,1.331627,3.951511,0.141665,1.331627,3.951511
2,0.066667,-0.091818,0.454091,1,0,0.549737,0.618709,-0.772709,0.046276,0.045460,0.141654,0.999950,0.999950,0,0.000155,-0.000457,-0.003167,-0.000003,0.000138,-0.084512,1.029186,1.009848,0.444669,1.100953,1.069890,0.473780,1.029070,1.004513,0.428417,1.092859,1.069797,0.464196,3.113227,3.054730,1.345098,3.330316,3.236354,1.433155,3.206572,3.130051,1.334943,3.405337,3.333476,1.446430,0.330585,0.320925,0,0,0,3.000000,6.000000,0.013459,0.020653,-0.129091,-0.003358,-0.012748,-2.521276,0.011804,0.026178,-0.133837,-0.003885,-0.022956,-2.442994,0.008883,0.028205,-0.133916,-0.001758,-0.023824,-2.442323,0.003916,0.031791,-0.134146,-0.000018,-0.028181,-2.440985,0.017073,0.005836,-0.138343,-0.004680,-0.005725,-2.407047,0.008004,-0.000468,-0.138509,-0.001847,-0.000555,-2.411935,0.003669,-0.009262,-0.138742,-0.000894,-0.002574,-2.413985,0.007743,-0.001500,-0.090812,-0.001208,0.001670,-2.527592,0.001599,-0.025948,-0.099170,0.001064,0.006585,-2.543102,0.003535,-0.059849,0.093000,0.001298,0.043212,-2.799573,-0.013898,-0.001962,0.014454,-0.001783,0.002662,-1.067073,-0.094630,-0.046649,0.238988,0.110867,0.067799,-3.475932,0.118675,0.225606,0.055241,-0.113433,-0.147164,-1.984818,-0.088482,0.053916,0.194162,0.083952,0.049871,-3.058360,0.137756,0.456676,-0.032428,-0.039186,-0.526926,-4.066447,-0.063491,0.122473,0.161104,0.033110,0.077555,-3.019291,0.103035,0.486313,-0.066231,0.029012,-0.513568,-4.192114,-0.077530,0.206323,0.128025,0.058662,0.041249,-2.728238,0.119652,0.531027,-0.086473,0.015318,-0.910424,-3.816655,-0.085739,0.195376,0.180402,0.066260,0.046900,-2.871138,0.138207,0.512338,-0.039194,-0.003458,-0.819289,-3.990705
3,0.100000,-0.094198,0.452901,1,0,0.549890,0.618022,-0.784954,0.046548,0.045751,0.142363,0.999952,0.999952,0,0.000153,-0.000687,-0.012246,-0.000003,-0.000230,-0.009079,1.037837,1.015189,0.445686,1.111005,1.074536,0.472961,1.037195,1.009912,0.423168,1.100141,1.074430,0.458857,3.138824,3.070328,1.347929,3.360113,3.249817,1.430418,3.227410,3.142515,1.316761,3.423278,3.343273,1.427814,0.330645,0.321371,0,0,0,3.000000,6.000000,0.011072,0.005704,-0.387903,-0.002387,-0.014949,-0.258812,0.010065,0.008090,-0.376951,-0.001739,-0.018088,-0.243114,0.007591,0.008469,-0.376911,-0.001292,-0.019736,-0.242995,0.003542,0.009831,-0.376849,-0.000374,-0.021960,-0.242703,0.017066,0.001203,-0.371742,-0.000007,-0.004633,-0.233399,0.009949,-0.002019,-0.372105,0.001945,-0.001551,-0.233596,0.004903,-0.010228,-0.372117,0.001234,-0.000966,-0.233375,0.006893,-0.007462,-0.368489,-0.000850,-0.005962,-0.277677,0.002275,-0.033823,-0.366265,0.000676,-0.007875,-0.267095,0.007970,-0.029581,-0.178025,0.004435,0.030268,-0.271025,-0.008470,-0.000356,-0.130996,0.005428,0.001606,-0.145450,-0.039513,-0.003229,0.136450,0.055117,0.043420,-0.102538,0.060796,0.183663,-0.132885,-0.057879,-0.041943,-0.188126,-0.058077,0.122509,0.236603,0.030405,0.068593,0.042441,0.097948,0.195497,-0.358173,-0.039808,-0.261179,-0.325745,-0.058018,0.197747,0.258613,0.005473,0.075274,0.097509,0.094396,0.198591,-0.369705,-0.008639,-0.287722,-0.303474,-0.063926,0.240272,0.264097,0.013604,0.033949,0.136072,0.100069,0.168629,-0.358490,-0.019583,-0.362398,-0.272017,-0.063413,0.218736,0.246677,0.022326,0.023360,0.066275,0.104153,0.170095,-0.351493,-0.034054,-0.342243,-0.312299
4,0.133333,-0.133959,0.433021,1,0,0.554699,0.610317,-0.692563,0.047302,0.044873,0.139515,0.999953,0.999953,0,0.004809,-0.007705,0.092391,0.004656,-0.007017,0.104637,1.042084,1.029351,0.444827,1.105281,1.076790,0.472251,1.042021,1.014994,0.415111,1.100456,1.075297,0.451574,3.048515,3.011268,1.301297,3.233390,3.150044,1.381526,3.239725,3.155695,1.290613,3.421403,3.343181,1.403978,0.341833,0.321639,0,1,3,3.000000,6.000000,0.179186,-0.093888,2.887400,0.168114,-0.099592,3.275303,0.114868,-0.061691,3.062196,0.104803,-0.069781,3.439147,0.087685,-0.057305,3.061745,0.080094,-0.065774,3.438656,0.065399,-0.064314,3.061457,0.061857,-0.074145,3.438306,0.212300,-0.074628,2.918928,0.195234,-0.075831,3.290670,0.225184,-0.078583,2.918519,0.215235,-0.076564,3.290624,0.177670,-0.076133,2.918640,0.172767,-0.065905,3.290757,0.130713,-0.230058,2.867510,0.123820,-0.222596,3.235999,0.157794,-0.232195,2.675952,0.155519,-0.198372,3.042217,-0.001287,-0.029045,2.648872,-0.009257,0.000536,2.826897,-0.012310,0.000038,1.509190,-0.003840,0.000394,1.640186,-0.165735,-0.067470,1.843770,-0.126222,-0.064241,1.707320,-0.016163,0.000132,0.714638,-0.076959,-0.183531,0.847523,-0.208390,-0.022219,1.260245,-0.150313,-0.144728,1.023642,0.013367,-0.068865,0.553023,-0.084581,-0.264362,0.911196,-0.202421,-0.018471,1.314499,-0.144403,-0.216218,1.055886,0.027415,-0.079762,0.500051,-0.066981,-0.278353,0.869756,-0.192588,-0.023371,1.332559,-0.128662,-0.263643,1.068462,0.056653,-0.095193,0.733132,-0.043416,-0.263822,1.091622,-0.194126,-0.020142,1.246095,-0.130713,-0.238878,0.999418,0.038206,-0.090340,0.647185,-0.065947,-0.260435,0.998678
5,0.166667,-0.148370,0.425815,1,0,0.556444,0.605714,-0.702052,0.046688,0.044669,0.138808,0.999954,0.999954,0,0.001745,-0.004603,-0.009489,-0.003064,0.003102,-0.101880,1.046142,1.029739,0.433184,1.104796,1.076256,0.462741,1.045659,1.017526,0.414352,1.101593,1.075426,0.450855,3.098278,3.049700,1.282928,3.271989,3.187466,1.370465,3.249370,3.161950,1.287594,3.423185,3.341872,1.401027,0.337653,0.321803,0,0,0,3.000000,6.000000,0.061467,-0.062147,-0.321295,-0.117719,0.031741,-3.208695,0.037490,-0.041622,-0.324492,-0.077378,0.020069,-3.386688,0.028480,-0.038657,-0.324701,-0.059205,0.018648,-3.386446,0.018368,-0.040630,-0.324376,-0.047031,0.023684,-3.385833,0.072861,-0.053717,-0.290474,-0.139439,0.020911,-3.209402,0.079338,-0.058746,-0.290610,-0.145846,0.019837,-3.209129,0.071484,-0.058823,-0.291122,-0.106186,0.017310,-3.209762,0.048793,-0.135612,-0.305396,-0.081920,0.094446,-3.172906,0.055892,-0.140582,-0.263954,-0.101902,0.091613,-2.939906,0.001853,-0.015296,-0.302989,0.003140,0.013749,-2.951861,-0.004672,0.000733,0.102563,0.007638,0.000695,-1.406627,-0.022613,-0.033016,-0.561656,0.143122,0.034454,-2.405426,-0.012959,0.015957,0.217700,0.003204,0.015825,-0.496938,-0.022738,-0.018607,-0.834662,0.185652,0.003612,-2.094907,0.000687,-0.047282,0.185507,-0.012680,0.021583,-0.367516,-0.021122,-0.018718,-0.900545,0.181299,-0.000247,-2.215044,0.007384,-0.056280,0.165596,-0.020031,0.023482,-0.334455,-0.020503,-0.014781,-0.894154,0.172085,0.008590,-2.226713,0.007783,-0.070596,0.111405,-0.048870,0.024597,-0.621727,-0.021810,-0.013922,-0.835503,0.172316,0.006220,-2.081598,0.000688,-0.065510,0.153496,-0.037518,0.024830,-0.493689
6,0.200000,-0.154810,0.422595,1,0,0.556728,0.601869,-0.718219,0.046818,0.045187,0.140497,0.999955,0.999955,0,0.000284,-0.003845,-0.016166,-0.001460,0.000758,-0.006678,1.049399,1.033097,0.441213,1.110843,1.081050,0.466384,1.049321,1.022068,0.419159,1.105885,1.080549,0.452888,3.148043,3.099140,1.323576,3.332367,3.242992,1.399085,3.262549,3.177817,1.303248,3.438419,3.359645,1.408121,0.333350,0.321626,0,0,0,3.000000,6.000000,0.007954,-0.134152,-0.538496,-0.053513,-0.072005,-0.217201,0.003546,-0.095581,-0.488604,-0.033944,-0.053959,-0.164112,0.001885,-0.088220,-0.488738,-0.026595,-0.049563,-0.164037,0.000810,-0.082070,-0.488859,-0.017558,-0.041440,-0.164483,0.001584,-0.128709,-0.454402,-0.071277,-0.074992,-0.163928,-0.001951,-0.130594,-0.454704,-0.081289,-0.071848,-0.164094,0.006296,-0.122856,-0.454649,-0.065188,-0.064033,-0.163527,0.016429,-0.115362,-0.504967,-0.032364,0.020250,-0.199571,0.000622,-0.115335,-0.465002,-0.055270,0.025247,-0.201048,0.002537,-0.004061,-0.388803,0.000684,0.011235,-0.085814,0.006333,0.011850,0.049378,0.011005,0.011117,-0.053185,0.006353,-0.007986,-0.267531,0.028966,0.025030,0.294125,0.008567,0.065650,0.198567,0.021526,0.049693,-0.019133,0.010360,-0.000447,0.111576,0.033098,0.018160,0.946238,-0.050167,-0.009363,-0.103798,-0.050854,0.037919,-0.289305,0.018396,-0.006663,0.160258,0.039518,0.012055,1.060803,-0.114714,-0.045000,-0.137343,-0.122098,0.011280,-0.302939,0.009239,-0.004020,0.084676,0.029742,0.010761,0.978830,-0.135072,-0.009753,-0.257810,-0.142855,0.060843,-0.369215,0.014006,0.003548,0.099483,0.035816,0.017470,0.934986,-0.115136,-0.005761,-0.182424,-0.115824,0.059749,-0.335920
7,0.233333,-0.163035,0.418483,1,0,0.557176,0.599877,-0.726032,0.047019,0.045606,0.141900,0.999956,0.999956,0,0.000448,-0.001992,-0.007813,0.000163,0.001853,0.008353,1.051087,1.034984,0.446275,1.113688,1.083121,0.468404,1.051066,1.023680,0.421716,1.108070,1.082579,0.454158,3.183344,3.134575,1.351599,3.372940,3.280366,1.418617,3.270290,3.185082,1.312128,3.447653,3.368339,1.413069,0.330183,0.321398,0,0,0,3.000000,6.000000,0.013704,-0.073010,-0.253174,0.005750,0.061142,0.285322,0.008567,-0.057545,-0.253848,0.005021,0.038036,0.234756,0.006153,-0.054885,-0.254186,0.004268,0.033335,0.234552,0.004367,-0.053873,-0.253975,0.003557,0.028197,0.234884,0.007428,-0.067471,-0.232451,0.005844,0.061238,0.221951,0.003033,-0.068475,-0.231902,0.004984,0.062119,0.222802,0.007079,-0.065089,-0.231643,0.000783,0.057767,0.223006,0.019988,-0.060754,-0.246550,0.003559,0.054608,0.258417,0.006868,-0.058753,-0.222228,0.006246,0.056582,0.242774,0.004547,0.000134,-0.325803,0.002010,0.004195,0.063000,0.010383,0.010722,0.033338,0.004050,-0.001128,-0.016040,0.003870,-0.009216,-0.543496,-0.002483,-0.001230,-0.275965,0.009547,0.033571,-0.204864,0.000980,-0.032079,-0.403431,0.009905,-0.000576,-0.381573,-0.000455,-0.000129,-0.493149,-0.027743,-0.008608,-0.479209,0.022424,0.000755,-0.375411,0.027848,-0.004828,-0.248955,0.009452,0.001835,-0.409213,-0.053715,-0.017853,-0.433656,0.060999,0.027147,-0.296313,0.013170,-0.006584,-0.046713,0.003931,-0.002564,-0.131389,-0.061789,-0.028324,-0.294290,0.073283,-0.018571,-0.036480,0.004867,-0.001062,-0.277228,-0.009139,-0.004610,-0.376711,-0.051441,-0.022888,-0.443226,0.063695,-0.017127,-0.260802
8,0.266667,-0.149982,0.425009,1,0,0.555948,0.595973,-0.734089,0.046695,0.046617,0.145047,0.999958,0.999958,0,-0.001227,-0.003904,-0.008057,-0.001675,-0.001912,-0.000244,1.068313,1.040901,0.434378,1.123930,1.090680,0.462504,1.062512,1.026844,0.430309,1.123856,1.089691,0.461558,3.286839,3.202503,1.336436,3.457954,3.355657,1.422971,3.305955,3.194975,1.338887,3.496821,3.390521,1.436115,0.325027,0.321394,0,0,2,3.000000,6.000000,-0.061251,-0.245647,-0.415598,-0.074955,-0.172637,-0.162424,-0.036898,-0.308711,-0.443231,-0.045465,-0.251166,-0.189383,-0.022480,-0.314307,-0.444914,-0.028633,-0.259422,-0.190728,-0.010242,-0.305330,-0.444708,-0.014609,-0.251457,-0.190733,-0.097398,-0.252998,-0.100427,-0.104826,-0.185527,0.132024,-0.090541,-0.221833,-0.100195,-0.093574,-0.153358,0.131707,-0.065576,-0.194010,-0.101119,-0.072655,-0.128921,0.130524,-0.018395,-0.136626,-0.453699,-0.038383,-0.075872,-0.207149,-0.055223,-0.097591,-0.029755,-0.062091,-0.038838,0.192473,0.037193,0.008950,-0.870501,0.032646,0.008816,-0.544698,0.038268,-0.000519,-0.054789,0.027885,-0.011241,-0.088127,0.080965,0.147986,-1.806943,0.077095,0.157202,-1.263447,0.003776,-0.004038,-0.035073,-0.005771,-0.037609,0.169791,0.083161,0.229104,-2.791350,0.073256,0.229680,-2.409777,-0.119713,-0.035012,-0.239251,-0.091970,-0.026404,0.239958,0.084381,0.224977,-3.201730,0.056533,0.229805,-2.952775,-0.141648,-0.031793,-0.498038,-0.087933,-0.013940,-0.064382,0.057131,0.215195,-3.380558,0.043961,0.221779,-3.333845,-0.172880,-0.052918,-0.779884,-0.111091,-0.024594,-0.485594,0.048221,0.199896,-2.895977,0.043354,0.200958,-2.618749,-0.157314,-0.048670,-0.447907,-0.105873,-0.025782,-0.004681
9,0.300000,-0.141060,0.429470,1,0,0.554973,0.593608,-0.747471,0.047752,0.047349,0.147272,0.999958,0.999958,0,-0.000976,-0.002365,-0.013382,0.000251,0.001538,-0.005325,1.073849,1.043053,0.434517,1.132804,1.096380,0.463362,1.068888,1.031019,0.431038,1.132567,1.095921,0.462472,3.311803,3.216825,1.340072,3.493622,3.381288,1.429032,3.324586,3.206802,1.340665,3.522647,3.408667,1.438438,0.324249,0.321510,0,0,0,3.000000,6.000000,-0.050481,-0.138806,-0.467967,0.010770,0.106841,-0.052369,-0.034953,-0.166836,-0.471443,0.001945,0.141875,-0.028212,-0.025490,-0.173223,-0.472019,-0.003010,0.141084,-0.027105,-0.012360,-0.171710,-0.471690,-0.002118,0.133620,-0.026982,-0.076119,-0.139284,-0.407823,0.021279,0.113714,-0.307396,-0.068196,-0.125441,-0.408860,0.022345,0.096392,-0.308665,-0.052257,-0.113126,-0.409768,0.013319,0.080884,-0.308649,-0.016628,-0.083018,-0.453898,0.001767,0.053608,-0.000199,-0.041932,-0.058919,-0.349007,0.013291,0.038672,-0.319252,0.022244,0.001400,-0.319319,-0.014949,-0.007550,0.551182,0.018628,0.002305,-0.127019,-0.019640,0.002824,-0.072230,0.035600,0.061362,-0.211053,-0.045365,-0.086624,1.595890,0.033769,0.057274,0.064174,0.029993,0.061312,0.099247,0.027477,0.116022,-0.135831,-0.055684,-0.113082,2.655519,0.004524,0.062960,-0.109824,0.124237,0.097972,0.129427,0.026826,0.113854,-0.131239,-0.057555,-0.111123,3.070491,0.009206,0.070925,-0.060033,0.150854,0.102718,0.438005,0.017821,0.115020,-0.159429,-0.039310,-0.100175,3.221129,0.001762,0.065768,-0.026355,0.174642,0.118686,0.753529,0.013173,0.108873,-0.147221,-0.035048,-0.091023,2.748756,0.003592,0.059988,-0.062197,0.160906,0.108658,0.385710
