frame,time_sec,yaw_est,yaw_raw_ratio,yaw_valid_flag,face_orient_class,mouth_x,mouth_y,mouth_z,mouth_width_3d,mouth_width_2d,normalized_mouth_width,mouth_conf_raw,mouth_conf_adj,mouth_from_estimation,mouth_vx,mouth_vy,mouth_vz,mouth_ax,mouth_ay,mouth_az,dist_leftHand_mouth,dist_rightHand_mouth,dist_hands,dist_nose_leftHand,dist_nose_rightHand,dist_wrists,dist2d_leftHand_mouth,dist2d_rightHand_mouth,dist2d_hands,dist2d_nose_leftHand,dist2d_nose_rightHand,dist2d_wrists,norm_dist_leftHand_mouth,norm_dist_rightHand_mouth,norm_dist_hands,norm_dist_nose_leftHand,norm_dist_nose_rightHand,norm_dist_wrists,norm2d_dist_leftHand_mouth,norm2d_dist_rightHand_mouth,norm2d_dist_hands,norm2d_dist_nose_leftHand,norm2d_dist_nose_rightHand,norm2d_dist_wrists,shoulder_width_3d,shoulder_width_2d,occlusion_flag,velocity_jump_flag,velocity_jump_count,velocity_jump_v_thresh_used,velocity_jump_a_thresh_used,l0_vx,l0_vy,l0_vz,l0_ax,l0_ay,l0_az,l1_vx,l1_vy,l1_vz,l1_ax,l1_ay,l1_az,l2_vx,l2_vy,l2_vz,l2_ax,l2_ay,l2_az,l3_vx,l3_vy,l3_vz,l3_ax,l3_ay,l3_az,l4_vx,l4_vy,l4_vz,l4_ax,l4_ay,l4_az,l5_vx,l5_vy,l5_vz,l5_ax,l5_ay,l5_az,l6_vx,l6_vy,l6_vz,l6_ax,l6_ay,l6_az,l9_vx,l9_vy,l9_vz,l9_ax,l9_ay,l9_az,l10_vx,l10_vy,l10_vz,l10_ax,l10_ay,l10_az,l11_vx,l11_vy,l11_vz,l11_ax,l11_ay,l11_az,l12_vx,l12_vy,l12_vz,l12_ax,l12_ay,l12_az,l13_vx,l13_vy,l13_vz,l13_ax,l13_ay,l13_az,l14_vx,l14_vy,l14_vz,l14_ax,l14_ay,l14_az,l15_vx,l15_vy,l15_vz,l15_ax,l15_ay,l15_az,l16_vx,l16_vy,l16_vz,l16_ax,l16_ay,l16_az,l17_vx,l17_vy,l17_vz,l17_ax,l17_ay,l17_az,l18_vx,l18_vy,l18_vz,l18_ax,l18_ay,l18_az,l19_vx,l19_vy,l19_vz,l19_ax,l19_ay,l19_az,l20_vx,l20_vy,l20_vz,l20_ax,l20_ay,l20_az,l21_vx,l21_vy,l21_vz,l21_ax,l21_ay,l21_az,l22_vx,l22_vy,l22_vz,l22_ax,l22_ay,l22_az
0,0.000000,1.000000,5.448650,1,1,0.587722,0.170133,-0.375648,0.037409,0.037153,0.185482,0.999916,0.999916,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.232916,0.262220,0.230157,0.273343,0.298612,0.239244,0.187808,0.228568,0.229972,0.203704,0.243378,0.238376,1.128054,1.269979,1.114695,1.323850,1.446234,1.158704,0.937609,1.141095,1.148104,1.016966,1.215033,1.190062,0.206476,0.200306,0,0,0,5.507656,8.724387,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.033333,1.000000,4.665227,1,1,0.585098,0.216987,-0.551341,0.046723,0.046704,0.210775,0.999822,0.999822,0,-0.002624,0.046854,-0.175693,,,,0.381512,0.384694,0.235553,0.441829,0.431642,0.253472,0.145500,0.229627,0.231400,0.186983,0.243681,0.252874,1.719250,1.733587,1.061497,1.991060,1.945153,1.142249,0.656640,1.036304,1.044308,0.843854,1.099730,1.141218,0.221906,0.221583,0,1,6,5.507656,8.724387,-0.002187,0.609293,-5.364637,-0.002187,0.609293,-5.364637,-0.087721,1.418477,-5.551497,-0.087721,1.418477,-5.551497,-0.075079,1.381609,-5.551252,-0.075079,1.381609,-5.551252,-0.052244,1.536242,-5.552444,-0.052244,1.536242,-5.552444,-0.079976,0.866697,-5.630338,-0.079976,0.866697,-5.630338,0.001806,0.559472,-5.634513,0.001806,0.559472,-5.634513,-0.151548,1.052018,-5.636471,-0.151548,1.052018,-5.636471,-0.056888,1.547676,-5.225480,-0.056888,1.547676,-5.225480,-0.100536,1.263555,-5.316126,-0.100536,1.263555,-5.316126,0.173074,0.993467,-4.066479,0.173074,0.993467,-4.066479,0.118690,0.356288,-5.210000,0.118690,0.356288,-5.210000,0.470949,0.703926,-1.646121,0.470949,0.703926,-1.646121,0.427578,0.066092,-3.166429,0.427578,0.066092,-3.166429,0.002121,0.526653,0.813688,0.002121,0.526653,0.813688,0.026397,-0.017672,-0.319296,0.026397,-0.017672,-0.319296,-0.114505,0.560835,1.266394,-0.114505,0.560835,1.266394,0.001716,-0.111969,-0.003176,0.001716,-0.111969,-0.003176,-0.036548,0.043977,1.176756,-0.036548,0.043977,1.176756,-0.048826,-0.004307,0.133080,-0.048826,-0.004307,0.133080,-0.003315,0.185846,0.872935,-0.003315,0.185846,0.872935,-0.022790,0.001704,-0.141713,-0.022790,0.001704,-0.141713
2,0.066667,-1.000000,-50.165020,1,-1,0.577046,0.208599,-0.502352,0.052082,0.051330,0.231877,0.999734,0.999734,0,-0.008052,-0.008389,0.048990,-0.005428,-0.055243,0.224683,0.329161,0.345392,0.237013,0.386653,0.390175,0.255901,0.146017,0.224589,0.234760,0.181313,0.238355,0.255710,1.453481,1.525153,1.046581,1.707349,1.722901,1.129986,0.659617,1.014562,1.060507,0.819066,1.076748,1.155147,0.226464,0.221366,0,0,0,5.507656,8.724387,-0.249453,-0.051408,1.503627,-0.247266,-0.660701,6.868264,-0.313409,-0.222498,1.484656,-0.225688,-1.640975,7.036153,-0.316738,-0.218198,1.484730,-0.241659,-1.599807,7.035982,-0.312594,-0.222992,1.484748,-0.260350,-1.759234,7.037192,-0.150872,-0.096427,1.653956,-0.070896,-0.963124,7.284294,-0.221965,-0.000498,1.655311,-0.223771,-0.559970,7.289824,-0.171436,-0.212545,1.655931,-0.019888,-1.264563,7.292402,-0.359858,-0.182405,1.357634,-0.302970,-1.730081,6.583114,-0.123296,-0.320931,1.581777,-0.022760,-1.584486,6.897903,-0.321441,0.071510,0.652765,-0.494515,-0.921957,4.719244,-0.060870,0.045616,1.726727,-0.179560,-0.310672,6.936727,-0.113077,0.131352,-0.156689,-0.584026,-0.572574,1.489432,-0.078355,0.139176,0.992111,-0.505933,0.073084,4.158540,-0.089217,-0.056267,-0.199340,-0.091338,-0.582920,-1.013028,-0.067849,-0.171470,0.026616,-0.094246,-0.153798,0.345912,-0.030262,-0.252809,-0.342873,0.084243,-0.813644,-1.609267,-0.066361,-0.256337,0.015280,-0.068077,-0.144368,0.018456,-0.042874,-0.143498,-0.260585,-0.006326,-0.187475,-1.437341,-0.090851,-0.237822,0.082489,-0.042025,-0.233515,-0.050591,-0.018282,-0.042187,-0.193090,-0.014967,-0.228033,-1.066025,-0.108323,-0.187880,0.007425,-0.085533,-0.189584,0.149138
3,0.100000,1.000000,437.394958,1,1,0.577565,0.196120,-0.492426,0.041951,0.040051,0.186692,0.999567,0.999567,0,0.000519,-0.012479,0.009926,0.008571,-0.004090,-0.039064,0.410308,0.349311,0.243070,0.464487,0.395506,0.254707,0.157126,0.216555,0.219247,0.188053,0.232751,0.242326,1.874611,1.595926,1.110537,2.122141,1.806984,1.163703,0.732420,1.009440,1.021989,0.876583,1.084933,1.129569,0.218876,0.214530,0,0,0,5.507656,8.724387,0.025268,-0.223583,0.322341,0.274721,-0.172175,-1.181286,0.055540,-0.606494,0.243539,0.368949,-0.383996,-1.241117,0.039396,-0.708737,0.244131,0.356134,-0.490539,-1.240599,0.019369,-0.618280,0.244489,0.331963,-0.395288,-1.240259,0.020052,-0.246672,0.320790,0.170924,-0.150245,-1.333166,0.022863,-0.164140,0.322541,0.244828,-0.163642,-1.332770,0.037531,-0.233187,0.323818,0.208967,-0.020642,-1.332113,0.043412,-0.542044,0.242847,0.403270,-0.359639,-1.114787,-0.012288,-0.206719,0.352721,0.111008,0.114212,-1.229056,-0.150347,-0.171910,0.325890,0.171094,-0.243420,-0.326875,0.013654,0.018733,0.194549,0.074524,-0.026883,-1.532178,-0.113465,-0.098283,1.175364,-0.000388,-0.229635,1.332053,-0.032364,0.017792,0.543036,0.045991,-0.121384,-0.449075,-0.225635,-0.138026,2.721443,-0.136418,-0.081759,2.920783,0.147882,0.102408,0.664284,0.215731,0.273878,0.637668,-0.367681,-0.032677,2.968873,-0.337419,0.220132,3.311746,0.197282,0.096675,0.522132,0.263643,0.353012,0.506852,-0.208071,-0.108726,2.818655,-0.165197,0.034772,3.079240,0.200564,0.143397,0.648200,0.291415,0.381219,0.565711,-0.202761,-0.068116,2.701328,-0.184479,-0.025929,2.894418,0.167437,0.138963,0.690159,0.275760,0.326843,0.682734
4,0.133333,-1.000000,-38.654518,1,-1,0.577034,0.189169,-0.489897,0.037177,0.034007,0.152139,0.999514,0.999514,0,-0.000530,-0.006951,0.002528,-0.001049,0.005528,-0.007398,0.417807,0.375284,0.247657,0.467233,0.419645,0.255170,0.188779,0.215319,0.238878,0.215643,0.232823,0.251432,1.810985,1.626669,1.073470,2.025222,1.818954,1.106034,0.844553,0.963282,1.068680,0.964735,1.041591,1.124844,0.230707,0.223526,0,0,0,5.507656,8.724387,0.006053,-0.079391,0.193391,-0.019215,0.144192,-0.128950,0.012279,-0.148122,0.123580,-0.043261,0.458372,-0.119959,-0.005409,-0.049722,0.123451,-0.044805,0.659015,-0.120680,-0.022988,-0.027782,0.122437,-0.042357,0.590498,-0.122052,-0.009180,-0.003870,0.176529,-0.029232,0.242802,-0.144261,0.013851,-0.019986,0.175484,-0.009012,0.144154,-0.147057,0.022241,-0.042132,0.175238,-0.015290,0.191055,-0.148580,0.001413,-0.298492,0.037722,-0.041999,0.243552,-0.205125,-0.033231,-0.118501,0.113924,-0.020943,0.088218,-0.238797,-0.187969,0.272107,-0.561486,-0.037622,0.444017,-0.887376,-0.075706,-0.006502,-0.150159,-0.089360,-0.025235,-0.344708,-0.242372,0.257242,-0.337930,-0.128907,0.355525,-1.513294,-0.085551,0.113044,0.086925,-0.053187,0.095252,-0.456111,-0.045383,0.347876,-0.364397,0.180252,0.485902,-3.085840,-0.006537,0.008522,0.683455,-0.154419,-0.093886,0.019171,0.006555,0.329074,-0.249951,0.374236,0.361751,-3.218824,-0.001279,0.043314,1.029524,-0.198561,-0.053361,0.507392,-0.014073,0.817415,-0.113298,0.193998,0.926141,-2.931953,0.008812,0.014286,1.074429,-0.191752,-0.129111,0.426229,-0.011746,0.766498,-0.295229,0.191015,0.834614,-2.996557,0.009256,0.001843,0.731392,-0.158181,-0.137120,0.041233
5,0.166667,-1.000000,-3.344971,1,-1,0.573659,0.199518,-0.477339,0.056172,0.055542,0.249716,0.999479,0.999479,0,-0.003375,0.010349,0.012559,-0.002845,0.017299,0.010030,0.390652,0.334252,0.242541,0.442609,0.377885,0.251228,0.179010,0.213433,0.225230,0.210471,0.230588,0.239821,1.743027,1.491381,1.082178,1.974849,1.686063,1.120940,0.804833,0.959601,1.012637,0.946282,1.036726,1.078239,0.224123,0.222419,0,0,0,5.507656,8.724387,-0.106148,0.170665,0.365546,-0.112201,0.250056,0.172155,-0.067520,0.106709,0.417187,-0.079799,0.254831,0.293607,-0.232106,0.637766,0.416501,-0.226697,0.687488,0.293050,-0.218099,0.555084,0.415968,-0.195111,0.582866,0.293531,-0.049458,0.158109,0.269001,-0.040278,0.161979,0.092472,-0.063826,0.160161,0.268305,-0.077677,0.180147,0.092821,-0.046991,0.123434,0.267035,-0.069232,0.165566,0.091797,-0.197219,0.626157,0.476242,-0.198632,0.924649,0.438520,-0.005280,-0.005259,0.277296,0.027951,0.113242,0.163372,-0.042908,-0.034669,0.622161,0.145061,-0.306776,1.183647,0.006890,-0.004322,-0.263714,0.082596,0.002180,-0.113555,-0.381006,-0.090617,0.004507,-0.138634,-0.347859,0.342437,-0.000050,0.066189,-1.047961,0.085501,-0.046855,-1.134886,-0.323710,-0.068108,-0.303479,-0.278327,-0.415984,0.060918,-0.017177,0.160349,-1.243317,-0.010640,0.151827,-1.926772,-0.360058,-0.017134,-0.403132,-0.366613,-0.346208,-0.153181,-0.020073,0.253187,-1.321173,-0.018794,0.209873,-2.350697,-0.339326,-0.101876,-0.388311,-0.325253,-0.919291,-0.275013,-0.038331,0.181493,-1.127214,-0.047143,0.167207,-2.201643,-0.321345,-0.128460,-0.316368,-0.309599,-0.894958,-0.021139,-0.036483,0.147517,-1.194763,-0.045739,0.145674,-1.926155
6,0.200000,-1.000000,-3.861021,1,-1,0.574716,0.195670,-0.500822,0.051245,0.049805,0.219262,0.999409,0.999409,0,0.001057,-0.003848,-0.023483,0.004432,-0.014196,-0.036042,0.414277,0.360196,0.240725,0.466504,0.406719,0.251015,0.199366,0.216392,0.228678,0.227171,0.234578,0.243755,1.804387,1.568836,1.048481,2.031863,1.771467,1.093300,0.877690,0.952644,1.006734,1.000098,1.032708,1.073110,0.229594,0.227148,0,0,0,5.507656,8.724387,0.021631,-0.003364,-0.769392,0.127779,-0.174029,-1.134938,0.005904,-0.008368,-0.732851,0.073424,-0.115077,-1.150038,0.064774,-0.097554,-0.732756,0.296880,-0.735320,-1.149257,0.018936,-0.072754,-0.731871,0.237035,-0.627838,-1.147839,0.011891,-0.011716,-0.643473,0.061349,-0.169825,-0.912474,0.014516,-0.037493,-0.643467,0.078342,-0.197654,-0.911772,0.016585,-0.040370,-0.642439,0.063576,-0.163804,-0.909474,0.065938,-0.197963,-0.759581,0.263157,-0.824120,-1.235823,-0.002536,-0.032897,-0.649400,0.002744,-0.027638,-0.926696,-0.092306,0.063673,-0.249791,-0.049398,0.098342,-0.871952,-0.129790,-0.076337,-0.074577,-0.136680,-0.072015,0.189137,-0.058294,0.027989,0.225245,0.322712,0.118606,0.220738,-0.180349,-0.017009,0.525632,-0.180299,-0.083198,1.573593,-0.097780,0.277959,-0.044539,0.225930,0.346067,0.258940,-0.145132,0.169394,0.402779,-0.127955,0.009045,1.646096,-0.084859,0.301804,-0.157830,0.275199,0.318938,0.245302,-0.118550,0.331532,0.294771,-0.098477,0.078345,1.615944,-0.085628,0.498898,-0.226669,0.253698,0.600774,0.161642,-0.067636,0.353396,0.216906,-0.029305,0.171903,1.344120,-0.087897,0.413133,-0.082041,0.233448,0.541593,0.234327,-0.057523,0.290451,0.404804,-0.021040,0.142934,1.599567
7,0.233333,-1.000000,-3.497961,1,-1,0.570446,0.203840,-0.539986,0.064680,0.064145,0.278155,0.999386,0.999386,0,-0.004270,0.008170,-0.039164,-0.005327,0.012018,-0.015681,0.388814,0.408271,0.223512,0.446951,0.460303,0.241337,0.180519,0.207900,0.223402,0.211393,0.226350,0.240736,1.675652,1.759507,0.963257,1.926204,1.983746,1.040078,0.782786,0.901521,0.968740,0.916667,0.981526,1.043905,0.232037,0.230611,0,0,0,5.507656,8.724387,-0.102085,0.153474,-1.328768,-0.123716,0.156838,-0.559376,-0.050231,0.254748,-1.228645,-0.056135,0.263116,-0.495794,-0.091884,0.321853,-1.228067,-0.156658,0.419407,-0.495311,-0.050109,0.335644,-1.227359,-0.069045,0.408398,-0.495488,-0.038427,0.018069,-1.316696,-0.050318,0.029785,-0.673223,-0.044582,0.054612,-1.317546,-0.059098,0.092105,-0.674079,-0.040205,0.031497,-1.317485,-0.056790,0.071867,-0.675046,-0.214359,0.450185,-1.118458,-0.280297,0.648148,-0.358877,-0.041835,0.040043,-1.231381,-0.039299,0.072940,-0.581981,-0.023253,0.117118,-0.388090,0.069053,0.053445,-0.138299,-0.038019,0.013966,-0.620056,0.091771,0.090303,-0.545479,-0.006661,-0.055546,-0.677699,0.051633,-0.083535,-0.902944,-0.098017,-0.011143,-0.093621,0.082332,0.005866,-0.619253,0.074745,-0.098113,-1.660526,0.172525,-0.376072,-1.615987,0.063075,0.011339,0.648272,0.208207,-0.158055,0.245493,0.041140,-0.115386,-1.764501,0.125999,-0.417190,-1.606671,0.100022,-0.025421,0.726809,0.218572,-0.356953,0.432038,0.160898,-0.247627,-1.738429,0.246526,-0.746525,-1.511760,0.128489,-0.020151,0.727741,0.196125,-0.373547,0.510835,0.083448,-0.429492,-1.673397,0.171345,-0.842625,-1.591356,0.111019,-0.005797,0.676675,0.168542,-0.296248,0.271871
8,0.266667,-1.000000,-2.485680,1,-1,0.563063,0.221331,-0.562501,0.053782,0.053531,0.224054,0.999241,0.999241,0,-0.007383,0.017491,-0.022515,-0.003113,0.009321,0.016649,0.438524,0.434633,0.237532,0.498452,0.486348,0.250443,0.176555,0.202002,0.236953,0.218156,0.224169,0.250413,1.835450,1.819167,0.994196,2.086283,2.035622,1.048236,0.738976,0.845483,0.991775,0.913098,0.938267,1.048108,0.238919,0.238919,0,0,0,5.507656,8.724387,-0.055988,0.235989,-0.595431,0.046097,0.082515,0.733337,-0.184538,0.763126,-0.712956,-0.134307,0.508378,0.515689,-0.059164,0.384277,-0.712711,0.032720,0.062424,0.515356,-0.042316,0.371856,-0.713040,0.007793,0.036212,0.514319,-0.051879,0.275778,-0.777304,-0.013452,0.257709,0.539392,-0.053857,0.235375,-0.778787,-0.009275,0.180763,0.538759,-0.057018,0.116994,-0.779972,-0.016813,0.085497,0.537513,-0.061165,0.379583,-0.628869,0.153194,-0.070602,0.489589,-0.381809,0.669857,-0.722008,-0.339974,0.629814,0.509373,0.059600,0.264822,-0.530129,0.082853,0.147704,-0.142039,-0.011371,0.019646,-1.309036,0.026648,0.005680,-0.688980,0.047785,0.179472,0.194186,0.054446,0.235018,0.871885,-0.016581,0.159731,-0.692700,0.081436,0.170874,-0.599079,0.081261,0.288595,0.825094,0.006516,0.386708,2.485620,-0.008062,0.006718,0.196528,-0.071137,-0.004621,-0.451744,0.099411,0.281886,1.076627,0.058271,0.397272,2.841128,-0.003571,0.007074,0.261592,-0.103593,0.032495,-0.465217,0.030536,0.492461,1.035885,-0.130362,0.740088,2.774314,-0.007157,0.006394,0.328586,-0.135646,0.026545,-0.399155,0.033295,0.609832,0.826350,-0.050153,1.039324,2.499747,-0.003394,0.007427,0.236244,-0.114413,0.013224,-0.440431
9,0.300000,-1.000000,-4.451094,1,-1,0.566049,0.203392,-0.523706,0.040731,0.040379,0.170727,0.998927,0.998927,0,0.002986,-0.017939,0.038794,0.010369,-0.035430,0.061309,0.428881,0.411194,0.222051,0.487629,0.463960,0.241738,0.208622,0.209271,0.221078,0.245630,0.234249,0.241713,1.796709,1.722613,0.930239,2.042825,1.943668,1.012715,0.882074,0.884818,0.934741,1.038549,0.990425,1.021985,0.238703,0.236513,0,0,0,5.507656,8.724387,0.111526,-0.340839,1.171026,0.167514,-0.576828,1.766457,0.158424,-0.805926,1.284449,0.342962,-1.569052,1.997405,0.145701,-0.703355,1.284057,0.204865,-1.087632,1.996768,0.109861,-0.767915,1.284084,0.152177,-1.139771,1.997124,0.076160,-0.368655,1.249686,0.128039,-0.644433,2.026990,0.060902,-0.271746,1.251141,0.114759,-0.507121,2.029928,0.055112,-0.238634,1.251166,0.112130,-0.355628,2.031138,0.091454,-0.735449,1.161656,0.152619,-1.115032,1.790525,0.087739,-0.340908,1.165958,0.469548,-1.010765,1.887966,-0.042620,-0.074480,0.301803,-0.102220,-0.339302,0.831932,-0.025225,-0.003316,1.277843,-0.013854,-0.022962,2.586879,-0.194626,-0.037476,0.181839,-0.242411,-0.216948,-0.012347,-0.028837,-0.020239,1.358846,-0.012256,-0.179970,2.051546,-0.839323,0.019026,0.554694,-0.920584,-0.269569,-0.270400,-0.135547,-0.031417,0.566956,-0.127485,-0.038135,0.370428,-0.980741,0.080535,0.452369,-1.080152,-0.201351,-0.624258,-0.170316,-0.013717,0.393734,-0.166745,-0.020791,0.132142,-1.057641,0.008723,0.363078,-1.088177,-0.483738,-0.672807,-0.166029,-0.013995,0.237349,-0.158872,-0.020389,-0.091237,-0.937407,0.004982,0.534971,-0.970702,-0.604850,-0.291379,-0.148981,-0.002121,0.452049,-0.145587,-0.009548,0.215805
