frame,time_sec,yaw_est,yaw_raw_ratio,yaw_valid_flag,face_orient_class,mouth_x,mouth_y,mouth_z,mouth_width_3d,mouth_width_2d,normalized_mouth_width,mouth_conf_raw,mouth_conf_adj,mouth_from_estimation,mouth_vx,mouth_vy,mouth_vz,mouth_ax,mouth_ay,mouth_az,dist_leftHand_mouth,dist_rightHand_mouth,dist_hands,dist_nose_leftHand,dist_nose_rightHand,dist_wrists,dist2d_leftHand_mouth,dist2d_rightHand_mouth,dist2d_hands,dist2d_nose_leftHand,dist2d_nose_rightHand,dist2d_wrists,norm_dist_leftHand_mouth,norm_dist_rightHand_mouth,norm_dist_hands,norm_dist_nose_leftHand,norm_dist_nose_rightHand,norm_dist_wrists,norm2d_dist_leftHand_mouth,norm2d_dist_rightHand_mouth,norm2d_dist_hands,norm2d_dist_nose_leftHand,norm2d_dist_nose_rightHand,norm2d_dist_wrists,shoulder_width_3d,shoulder_width_2d,occlusion_flag,velocity_jump_flag,velocity_jump_count,velocity_jump_v_thresh_used,velocity_jump_a_thresh_used,l0_vx,l0_vy,l0_vz,l0_ax,l0_ay,l0_az,l1_vx,l1_vy,l1_vz,l1_ax,l1_ay,l1_az,l2_vx,l2_vy,l2_vz,l2_ax,l2_ay,l2_az,l3_vx,l3_vy,l3_vz,l3_ax,l3_ay,l3_az,l4_vx,l4_vy,l4_vz,l4_ax,l4_ay,l4_az,l5_vx,l5_vy,l5_vz,l5_ax,l5_ay,l5_az,l6_vx,l6_vy,l6_vz,l6_ax,l6_ay,l6_az,l9_vx,l9_vy,l9_vz,l9_ax,l9_ay,l9_az,l10_vx,l10_vy,l10_vz,l10_ax,l10_ay,l10_az,l11_vx,l11_vy,l11_vz,l11_ax,l11_ay,l11_az,l12_vx,l12_vy,l12_vz,l12_ax,l12_ay,l12_az,l13_vx,l13_vy,l13_vz,l13_ax,l13_ay,l13_az,l14_vx,l14_vy,l14_vz,l14_ax,l14_ay,l14_az,l15_vx,l15_vy,l15_vz,l15_ax,l15_ay,l15_az,l16_vx,l16_vy,l16_vz,l16_ax,l16_ay,l16_az,l17_vx,l17_vy,l17_vz,l17_ax,l17_ay,l17_az,l18_vx,l18_vy,l18_vz,l18_ax,l18_ay,l18_az,l19_vx,l19_vy,l19_vz,l19_ax,l19_ay,l19_az,l20_vx,l20_vy,l20_vz,l20_ax,l20_ay,l20_az,l21_vx,l21_vy,l21_vz,l21_ax,l21_ay,l21_az,l22_vx,l22_vy,l22_vz,l22_ax,l22_ay,l22_az
0,0.000000,1.000000,1.169767,1,1,0.606799,0.462722,-0.440134,0.115278,0.035956,0.124364,0.999762,0.999762,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.589656,0.935218,0.819185,0.519633,0.967858,0.706108,0.091357,0.863139,0.788389,0.160426,0.928926,0.624601,0.764597,1.212683,1.062224,0.673800,1.255006,0.915599,0.315987,2.985440,2.726892,0.554883,3.212983,2.160379,0.771198,0.289116,0,0,0,5.283840,7.557128,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.033333,1.000000,1.146969,1,1,0.606838,0.463091,-0.488746,0.126171,0.034833,0.117368,0.999760,0.999760,0,0.000039,0.000370,-0.048612,,,,0.932136,0.926818,0.949089,0.840560,0.949116,0.875354,0.053293,0.835567,0.787595,0.122489,0.899788,0.622047,1.122913,1.116506,1.143336,1.012594,1.143369,1.054510,0.179569,2.815403,2.653764,0.412722,3.031793,2.095956,0.830105,0.296784,0,1,5,5.283840,7.557128,-0.015963,0.038203,-1.780509,-0.015963,0.038203,-1.780509,-0.064820,0.057323,-1.656066,-0.064820,0.057323,-1.656066,-0.060090,0.054114,-1.657346,-0.060090,0.054114,-1.657346,-0.047014,0.051565,-1.659107,-0.047014,0.051565,-1.659107,-0.057859,0.099216,-1.463294,-0.057859,0.099216,-1.463294,-0.045719,0.134830,-1.457710,-0.045719,0.134830,-1.457710,-0.031636,0.179282,-1.455234,-0.031636,0.179282,-1.455234,-0.009282,-0.004638,-1.634460,-0.009282,-0.004638,-1.634460,0.011648,0.026801,-1.282273,0.011648,0.026801,-1.282273,0.228619,0.677313,-1.636705,0.228619,0.677313,-1.636705,0.054928,0.417634,0.171855,0.054928,0.417634,0.171855,-0.607574,-0.668371,-6.027036,-0.607574,-0.668371,-6.027036,-0.715841,3.603680,-0.010961,-0.715841,3.603680,-0.010961,-0.205348,-0.143039,-11.227874,-0.205348,-0.143039,-11.227874,-0.333908,-0.267749,-2.631692,-0.333908,-0.267749,-2.631692,-0.227332,-0.260237,-12.225823,-0.227332,-0.260237,-12.225823,-0.314400,-0.621493,-2.799597,-0.314400,-0.621493,-2.799597,-0.683223,-0.969021,-11.900632,-0.683223,-0.969021,-11.900632,-0.431587,-0.927461,-2.688074,-0.431587,-0.927461,-2.688074,-0.559031,-1.104307,-11.200942,-0.559031,-1.104307,-11.200942,-0.408485,-0.724618,-2.598338,-0.408485,-0.724618,-2.598338
2,0.066667,1.000000,1.145549,1,1,0.606616,0.462946,-0.481693,0.125928,0.033713,0.112960,0.999755,0.999755,0,-0.000222,-0.000146,0.007053,-0.000261,-0.000515,0.055665,0.848687,0.928967,0.893330,0.760969,0.948684,0.806405,0.038715,0.825034,0.787993,0.107463,0.888506,0.620098,0.992870,1.086789,1.045097,0.890250,1.109856,0.943405,0.129719,2.764394,2.640283,0.360070,2.977067,2.077726,0.854781,0.298450,0,1,4,5.283840,7.557128,-0.024641,0.006913,0.348533,-0.008678,-0.031290,2.129042,-0.068559,0.019442,0.251040,-0.003739,-0.037881,1.907106,-0.071415,0.017724,0.250810,-0.011325,-0.036390,1.908156,-0.076758,0.014523,0.250515,-0.029744,-0.037042,1.909622,-0.046797,0.039421,0.259792,0.011062,-0.059795,1.723086,-0.032204,0.059248,0.258488,0.013515,-0.075582,1.716198,-0.017447,0.083282,0.257683,0.014189,-0.096000,1.712917,-0.019743,-0.015454,0.210645,-0.010461,-0.010816,1.845105,0.006402,0.006736,0.212552,-0.005246,-0.020065,1.494825,0.098845,0.270615,-0.583715,-0.129774,-0.406698,1.052990,0.065829,0.198707,0.188714,0.010901,-0.218927,0.016859,-0.277249,-0.261930,0.214187,0.330325,0.406441,6.241223,-0.199714,0.795840,-0.100651,0.516127,-2.807840,-0.089690,-0.352691,-0.158329,2.350985,-0.147343,-0.015290,13.578859,-0.166102,-0.156670,-0.659480,0.167806,0.111079,1.972212,-0.136049,-0.197783,2.722528,0.091283,0.062454,14.948351,-0.184481,-0.283406,-0.667761,0.129919,0.338087,2.131836,-0.282002,-0.407152,2.695820,0.401221,0.561869,14.596452,-0.190038,-0.371386,-0.566654,0.241549,0.556075,2.121420,-0.263538,-0.388480,2.420243,0.295493,0.715827,13.621185,-0.176269,-0.311666,-0.635304,0.232216,0.412952,1.963034
3,0.100000,1.000000,1.107822,1,1,0.604860,0.461021,-0.441007,0.104844,0.032852,0.106845,0.999713,0.999713,0,-0.001756,-0.001924,0.040687,-0.001534,-0.001779,0.033634,0.421084,0.743235,0.361523,0.350240,0.688513,0.316306,0.097692,0.366118,0.272820,0.159023,0.415159,0.282102,0.590589,1.042419,0.507052,0.491227,0.965669,0.443633,0.317721,1.190714,0.887286,0.517186,1.350209,0.917472,0.712990,0.307477,0,1,9,5.283840,7.557128,-0.037140,-0.019042,1.128244,-0.012499,-0.025955,0.779711,-0.042978,0.009524,1.399198,0.025581,-0.009918,1.148158,-0.031117,0.021118,1.401758,0.040298,0.003394,1.150948,-0.019457,0.033448,1.404448,0.057301,0.018925,1.153933,-0.069630,-0.000047,0.942427,-0.022833,-0.039468,0.682635,-0.077911,-0.000278,0.940402,-0.045707,-0.059526,0.681914,-0.079105,-0.001211,0.937747,-0.061658,-0.084493,0.680064,-0.066848,-0.058804,1.547105,-0.047105,-0.043350,1.336460,-0.038502,-0.056660,0.894114,-0.044904,-0.063396,0.681562,-0.441400,-0.042350,4.245476,-0.540245,-0.312965,4.829191,-0.487735,-0.815962,-0.485604,-0.553564,-1.014669,-0.674318,-0.827944,-0.950972,9.645073,-0.550695,-0.689042,9.430886,-0.398019,-0.469118,-5.045390,-0.198305,-1.264958,-4.944739,-1.194127,1.303155,14.088237,-0.841436,1.461484,11.737252,-0.117345,-9.386959,-5.669551,0.048757,-9.230289,-5.010071,-1.279226,1.512371,15.418233,-1.143177,1.710154,12.695705,-0.020033,-12.050139,-6.461322,0.164448,-11.766733,-5.793561,-1.208868,1.501939,14.366866,-0.926866,1.909091,11.671046,-0.888211,-15.331162,-5.374603,-0.698173,-14.959776,-4.807949,-1.180331,1.242322,13.715808,-0.916793,1.630802,11.295565,-0.244350,-10.651032,-5.297617,-0.068081,-10.339366,-4.662313
4,0.133333,1.000000,1.091079,1,1,0.604749,0.456870,-0.442000,0.105480,0.032489,0.101159,0.999649,0.999649,0,-0.000111,-0.004152,-0.000993,0.001645,-0.002227,-0.041680,0.541005,0.662313,0.237216,0.458653,0.588996,0.211791,0.069990,0.269162,0.227052,0.133890,0.299153,0.209339,0.770856,0.943702,0.337999,0.653515,0.839236,0.301772,0.217925,0.838084,0.706966,0.416891,0.931466,0.651812,0.701824,0.321164,0,1,9,5.283840,7.557128,-0.001652,-0.092787,-0.037170,0.035488,-0.073745,-1.165414,-0.000036,-0.010149,-0.032035,0.042942,-0.019673,-1.431233,0.000653,-0.001903,-0.032412,0.031770,-0.023021,-1.434170,0.009854,0.000714,-0.032569,0.029311,-0.032734,-1.437017,-0.013272,-0.035022,-0.026633,0.056358,-0.034975,-0.969060,-0.019627,-0.032601,-0.026107,0.058284,-0.032323,-0.966509,-0.025520,-0.029970,-0.026107,0.053585,-0.028759,-0.963854,-0.005037,-0.132732,-0.041623,0.061811,-0.073928,-1.588728,-0.001611,-0.116396,-0.017984,0.036891,-0.059736,-0.912098,-0.077648,-0.020256,0.382992,0.363752,0.022094,-3.862484,-0.293984,-0.608160,-0.194667,0.193751,0.207802,0.290937,0.249004,-0.014395,-2.113790,1.076948,0.936577,-11.758863,-1.158524,-3.479503,-0.406081,-0.760505,-3.010385,4.639309,0.619508,-0.028553,-3.147585,1.813635,-1.331708,-17.235822,-0.679029,-5.598657,0.180362,-0.561684,3.788302,5.849913,0.850337,-0.720152,-4.396053,2.129563,-2.232523,-19.814286,-0.637957,-7.490487,0.627412,-0.617924,4.559652,7.088734,0.647122,-0.791391,-3.835711,1.855990,-2.293330,-18.202577,-0.356159,-4.765713,1.219751,0.532052,10.565449,6.594354,0.653540,-0.865406,-2.768564,1.833871,-2.107728,-16.484372,-0.716267,-5.838540,0.439235,-0.471917,4.812492,5.736852
5,0.166667,1.000000,1.088867,1,1,0.604348,0.451690,-0.339340,0.084948,0.032755,0.099395,0.999583,0.999583,0,-0.000401,-0.005180,0.102660,-0.000290,-0.001028,0.103653,0.446754,0.824411,0.411908,0.367900,0.742041,0.346157,0.069983,0.272463,0.237071,0.130610,0.295231,0.240070,0.806472,1.488211,0.743569,0.664126,1.339519,0.624876,0.212363,0.826792,0.719393,0.396336,0.895880,0.728494,0.553961,0.329543,0,1,4,5.283840,7.557128,0.001611,-0.050838,3.094211,0.003263,0.041949,3.131381,0.004569,-0.004334,3.319149,0.004605,0.005815,3.351184,0.014214,0.000063,3.320621,0.013561,0.001966,3.353033,0.043157,0.011306,3.317190,0.033303,0.010592,3.349759,0.001200,-0.014594,2.828017,0.014472,0.020428,2.854650,0.000460,-0.015207,2.826447,0.020087,0.017394,2.852554,0.000485,-0.019641,2.824728,0.026005,0.010329,2.850835,-0.018636,-0.135798,3.409367,-0.013599,-0.003066,3.450990,-0.005436,-0.174966,2.750178,-0.003825,-0.058570,2.768162,-0.602344,-0.393670,5.083201,-0.524696,-0.373414,4.700209,-0.675402,-0.858650,-0.279232,-0.381418,-0.250490,-0.084565,0.100172,-0.490258,6.118156,-0.148832,-0.475863,8.231946,-0.493107,-2.424046,-2.022570,0.665417,1.055457,-1.616489,0.008379,-0.054808,4.709092,-0.611129,-0.026255,7.856677,-1.063486,-1.666861,-1.808310,-0.384457,3.931796,-1.988672,0.180922,-0.025055,6.298136,-0.669415,0.695097,10.694189,-0.759059,-1.706947,-2.144068,-0.121102,5.783540,-2.771480,0.019990,-0.148943,5.936374,-0.627132,0.642448,9.772085,-0.459340,-0.775639,-2.108195,-0.103181,3.990074,-3.327946,0.039167,0.231367,4.400418,-0.614373,1.096773,7.168982,-0.723166,-0.358599,-1.736602,-0.006899,5.479941,-2.175837
6,0.200000,1.000000,1.090306,1,1,0.603376,0.447773,-0.352635,0.076890,0.031336,0.095874,0.999568,0.999568,0,-0.000972,-0.003916,-0.013295,-0.000571,0.001263,-0.115955,0.555237,0.818567,0.323076,0.476063,0.739005,0.284820,0.066997,0.259455,0.231672,0.128616,0.280894,0.238191,0.888045,1.309214,0.516726,0.761414,1.181963,0.455540,0.204980,0.793810,0.708806,0.393505,0.859404,0.728754,0.625235,0.326848,0,1,6,5.283840,7.557128,-0.003152,-0.128297,-0.264346,-0.004763,-0.077459,-3.358557,-0.000585,-0.037669,-0.041946,-0.005154,-0.033335,-3.361095,0.000662,-0.017426,-0.037733,-0.013552,-0.017489,-3.358354,0.008733,-0.004167,-0.029273,-0.034424,-0.015473,-3.346463,-0.000599,-0.078937,-0.509103,-0.001799,-0.064343,-3.337120,-0.001005,-0.088103,-0.510234,-0.001465,-0.072896,-3.336681,-0.001481,-0.103122,-0.509615,-0.001966,-0.083481,-3.334343,-0.046812,-0.129385,-0.276365,-0.028176,0.006413,-3.685732,-0.011467,-0.105608,-0.521291,-0.006031,0.069358,-3.271469,0.083601,-0.005910,-2.981226,0.685945,0.387760,-8.064427,0.156827,0.028328,-0.349604,0.832229,0.886978,-0.070372,-0.877896,-4.094564,-3.535277,-0.978068,-3.604306,-9.653433,-0.183913,-1.313179,-0.145039,0.309194,1.110867,1.877531,0.096200,-0.639778,-3.484139,0.087821,-0.584970,-8.193231,0.231183,-1.490030,-0.687625,1.294669,0.176831,1.120685,0.022182,-0.012510,-3.843078,-0.158740,0.012545,-10.141214,0.153990,-0.959512,-0.657563,0.913049,0.747435,1.486505,0.090460,-0.187706,-3.697098,0.070470,-0.038763,-9.633472,0.178220,-0.604674,-0.347103,0.637560,0.170965,1.761092,-0.000038,0.180754,-3.427180,-0.039205,-0.050613,-7.827598,-0.015233,-3.073761,-0.641316,0.707933,-2.715162,1.095286
7,0.233333,1.000000,1.088588,1,1,0.603055,0.447393,-0.396664,0.067378,0.031044,0.095048,0.999534,0.999534,0,-0.000321,-0.000380,-0.044029,0.000650,0.003536,-0.030734,0.438826,0.928014,0.562996,0.401634,0.842804,0.486777,0.235387,0.273934,0.224476,0.296298,0.300400,0.232278,0.731800,1.547584,0.938869,0.669778,1.405486,0.811764,0.720678,0.838697,0.687272,0.907167,0.919727,0.711158,0.599653,0.326619,0,1,5,5.283840,7.557128,0.001135,-0.034026,-1.512595,0.004287,0.094271,-1.248249,0.006335,-0.017629,-1.928958,0.006920,0.020040,-1.887012,0.019208,-0.005878,-1.932133,0.018546,0.011548,-1.894400,0.034241,-0.000357,-1.943930,0.025508,0.003810,-1.914657,0.001490,-0.044758,-1.832979,0.002089,0.034179,-1.323876,0.000465,-0.053085,-1.839382,0.001470,0.035018,-1.329148,0.000131,-0.063822,-1.836803,0.001612,0.039300,-1.327188,-0.015596,-0.009990,-1.164641,0.031216,0.119395,-0.888276,-0.003691,-0.012807,-1.477076,0.007776,0.092801,-0.955785,0.054531,-0.004544,-0.878617,-0.029070,0.001366,2.102609,0.054701,0.011727,-1.781746,-0.102126,-0.016601,-1.432142,0.076105,0.744199,2.241261,0.954001,4.838763,5.776538,0.027207,0.903597,-2.454560,0.211120,2.216776,-2.309521,-0.516005,3.799226,4.236159,-0.612205,4.439004,7.720298,0.139816,2.142134,-3.912445,-0.091367,3.632164,-3.224820,-1.000548,5.134558,4.577513,-1.022730,5.147068,8.420591,-0.230114,1.563345,-4.234128,-0.384104,2.522857,-3.576565,-1.011239,4.942149,4.103966,-1.101699,5.129855,7.801064,-0.118861,0.768428,-4.629893,-0.297081,1.373102,-4.282790,-0.793430,3.789216,4.175593,-0.793392,3.608462,7.602773,0.166679,2.414730,-4.016154,0.181912,5.488491,-3.374838
8,0.266667,1.000000,1.087092,1,1,0.602159,0.445082,-0.407381,0.075124,0.030859,0.094461,0.999515,0.999515,0,-0.000896,-0.002312,-0.010717,-0.000574,-0.001932,0.033312,0.419947,0.883569,0.577146,0.413301,0.812099,0.489628,0.297800,0.288785,0.206466,0.358187,0.322873,0.203790,0.761012,1.601172,1.045883,0.748970,1.471656,0.887287,0.911570,0.883973,0.631995,1.096415,0.988318,0.623803,0.551827,0.326689,0,0,0,5.283840,7.557128,-0.000150,-0.084373,-0.041772,-0.001285,-0.050347,1.470823,0.003701,-0.045640,-0.134069,-0.002634,-0.028011,1.794889,0.010870,-0.027024,-0.135775,-0.008338,-0.021146,1.796358,0.018556,-0.012900,-0.132287,-0.015685,-0.012543,1.811643,0.000654,-0.082977,-0.208763,-0.000836,-0.038219,1.624216,-0.000474,-0.092321,-0.208216,-0.000939,-0.039236,1.631166,-0.003154,-0.102034,-0.207689,-0.003285,-0.038212,1.629114,-0.034257,-0.062717,-0.451885,-0.018661,-0.052727,0.712756,-0.019476,-0.075991,-0.191106,-0.015785,-0.063184,1.285970,-0.085183,-0.027752,0.993239,-0.139714,-0.023208,1.871856,-0.067236,-0.072119,-0.751697,-0.121937,-0.083846,1.030049,0.107106,1.385093,2.197806,0.031001,0.640894,-0.043455,0.299536,0.310348,0.262941,0.272329,-0.593249,2.717501,-0.582712,1.491660,1.943429,-0.066707,-2.307566,-2.292730,0.217116,1.795110,1.420845,0.077300,-0.347024,5.333290,-0.826088,1.718423,2.059863,0.174460,-3.416135,-2.517650,0.118041,1.268397,1.368706,0.348155,-0.294948,5.602834,-0.832883,1.672398,1.906344,0.178356,-3.269751,-2.197622,0.164412,1.092482,1.227043,0.283273,0.324054,5.856936,-0.758695,1.566685,1.876515,0.034735,-2.222531,-2.299078,0.111201,1.953263,1.387972,-0.055478,-0.461467,5.404126
9,0.300000,1.000000,1.086531,1,1,0.601293,0.438376,-0.409419,0.079585,0.031895,0.096682,0.999520,0.999520,0,-0.000867,-0.006706,-0.002038,0.000029,-0.004394,0.008678,0.475400,0.869057,0.462230,0.443043,0.799335,0.371109,0.259883,0.326093,0.218212,0.320376,0.360360,0.218105,0.870182,1.590739,0.846075,0.810954,1.463117,0.679285,0.787765,0.988462,0.661451,0.971132,1.092331,0.661124,0.546323,0.329900,0,0,0,5.283840,7.557128,0.004833,-0.186474,-0.126393,0.004983,-0.102101,-0.084621,0.030271,-0.090643,-0.067463,0.026570,-0.045003,0.066606,0.047708,-0.047378,-0.066310,0.036838,-0.020354,0.069465,0.061067,-0.016413,-0.065863,0.042511,-0.003513,0.066424,0.014654,-0.192049,0.086752,0.014000,-0.109072,0.295515,0.006427,-0.221296,0.087964,0.006901,-0.128975,0.296180,0.001481,-0.250529,0.087995,0.004635,-0.148495,0.295684,-0.028083,-0.170425,-0.127487,0.006174,-0.107708,0.324398,-0.023922,-0.231943,0.005166,-0.004446,-0.155952,0.196272,-0.092500,-0.096958,0.684333,-0.007317,-0.069206,-0.308906,-0.145560,-0.211312,0.406502,-0.078324,-0.139193,1.158199,0.199285,0.553980,-1.536323,0.092179,-0.831113,-3.734129,-0.161582,0.268098,0.965499,-0.461118,-0.042250,0.702558,0.170739,-1.043900,-3.324527,0.753451,-2.535560,-5.267956,-0.521380,-0.376280,1.023967,-0.738496,-2.171390,-0.396878,0.288396,-1.531754,-3.746617,1.114484,-3.250177,-5.806480,-0.798115,-0.370186,0.986366,-0.916156,-1.638583,-0.382340,0.376709,-1.275390,-3.120739,1.209592,-2.947788,-5.027083,-0.904946,0.494143,0.823427,-1.069358,-0.598339,-0.403616,0.258581,-1.021610,-3.110536,1.017276,-2.588295,-4.987051,-0.651155,-0.355511,0.935240,-0.762356,-2.308774,-0.452732
