frame,time_sec,yaw_est,yaw_raw_ratio,yaw_valid_flag,face_orient_class,mouth_x,mouth_y,mouth_z,mouth_width_3d,mouth_width_2d,normalized_mouth_width,mouth_conf_raw,mouth_conf_adj,mouth_from_estimation,mouth_vx,mouth_vy,mouth_vz,mouth_ax,mouth_ay,mouth_az,dist_leftHand_mouth,dist_rightHand_mouth,dist_hands,dist_nose_leftHand,dist_nose_rightHand,dist_wrists,dist2d_leftHand_mouth,dist2d_rightHand_mouth,dist2d_hands,dist2d_nose_leftHand,dist2d_nose_rightHand,dist2d_wrists,norm_dist_leftHand_mouth,norm_dist_rightHand_mouth,norm_dist_hands,norm_dist_nose_leftHand,norm_dist_nose_rightHand,norm_dist_wrists,norm2d_dist_leftHand_mouth,norm2d_dist_rightHand_mouth,norm2d_dist_hands,norm2d_dist_nose_leftHand,norm2d_dist_nose_rightHand,norm2d_dist_wrists,shoulder_width_3d,shoulder_width_2d,occlusion_flag,velocity_jump_flag,velocity_jump_count,velocity_jump_v_thresh_used,velocity_jump_a_thresh_used,l0_vx,l0_vy,l0_vz,l0_ax,l0_ay,l0_az,l1_vx,l1_vy,l1_vz,l1_ax,l1_ay,l1_az,l2_vx,l2_vy,l2_vz,l2_ax,l2_ay,l2_az,l3_vx,l3_vy,l3_vz,l3_ax,l3_ay,l3_az,l4_vx,l4_vy,l4_vz,l4_ax,l4_ay,l4_az,l5_vx,l5_vy,l5_vz,l5_ax,l5_ay,l5_az,l6_vx,l6_vy,l6_vz,l6_ax,l6_ay,l6_az,l9_vx,l9_vy,l9_vz,l9_ax,l9_ay,l9_az,l10_vx,l10_vy,l10_vz,l10_ax,l10_ay,l10_az,l11_vx,l11_vy,l11_vz,l11_ax,l11_ay,l11_az,l12_vx,l12_vy,l12_vz,l12_ax,l12_ay,l12_az,l13_vx,l13_vy,l13_vz,l13_ax,l13_ay,l13_az,l14_vx,l14_vy,l14_vz,l14_ax,l14_ay,l14_az,l15_vx,l15_vy,l15_vz,l15_ax,l15_ay,l15_az,l16_vx,l16_vy,l16_vz,l16_ax,l16_ay,l16_az,l17_vx,l17_vy,l17_vz,l17_ax,l17_ay,l17_az,l18_vx,l18_vy,l18_vz,l18_ax,l18_ay,l18_az,l19_vx,l19_vy,l19_vz,l19_ax,l19_ay,l19_az,l20_vx,l20_vy,l20_vz,l20_ax,l20_ay,l20_az,l21_vx,l21_vy,l21_vz,l21_ax,l21_ay,l21_az,l22_vx,l22_vy,l22_vz,l22_ax,l22_ay,l22_az
0,0.000000,-0.076275,0.461863,1,0,0.450885,0.584086,-0.449775,0.046656,0.046589,0.164290,0.999972,0.999972,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.020133,0.985997,0.360082,1.093601,1.047563,0.375375,1.005280,0.985942,0.321042,1.061663,1.042846,0.352724,3.584595,3.464645,1.265274,3.842750,3.680977,1.319010,3.544996,3.476803,1.132113,3.743823,3.677467,1.243837,0.284588,0.283577,0,0,0,3.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.033333,-0.078029,0.460985,1,0,0.451045,0.585121,-0.538647,0.047029,0.046893,0.163939,0.999969,0.999969,0,0.000161,0.001035,-0.088872,,,,1.028699,0.995485,0.380903,1.109166,1.057502,0.390867,1.009403,0.995456,0.320414,1.066200,1.052787,0.352179,3.517555,3.403983,1.302467,3.792706,3.616045,1.336538,3.528916,3.480156,1.120181,3.727481,3.680587,1.231235,0.292447,0.286038,0,1,5,3.000000,6.000000,0.009067,0.018582,-3.221047,0.009067,0.018582,-3.221047,0.008631,0.022550,-2.922159,0.008631,0.022550,-2.922159,0.013823,0.022304,-2.926444,0.013823,0.022304,-2.926444,0.015007,0.021086,-2.928450,0.015007,0.021086,-2.928450,0.002365,0.018733,-3.066371,0.002365,0.018733,-3.066371,0.001478,0.008570,-3.066114,0.001478,0.008570,-3.066114,0.000218,0.002608,-3.068454,0.000218,0.002608,-3.068454,0.009688,0.040798,-2.575097,0.009688,0.040798,-2.575097,-0.000073,0.021349,-2.757234,-0.000073,0.021349,-2.757234,0.007346,0.082617,0.024245,0.007346,0.082617,0.024245,-0.068412,0.071089,-1.083545,-0.068412,0.071089,-1.083545,-0.019950,-0.001391,0.297786,-0.019950,-0.001391,0.297786,-0.090676,0.000458,-0.986567,-0.090676,0.000458,-0.986567,-0.106795,0.103068,-1.179829,-0.106795,0.103068,-1.179829,-0.089598,0.125098,-2.413641,-0.089598,0.125098,-2.413641,-0.101309,0.140877,-1.530103,-0.101309,0.140877,-1.530103,-0.100466,0.240902,-2.974309,-0.100466,0.240902,-2.974309,-0.059173,0.169204,-1.920260,-0.059173,0.169204,-1.920260,-0.043738,0.312510,-3.207161,-0.043738,0.312510,-3.207161,-0.062626,0.115564,-1.420757,-0.062626,0.115564,-1.420757,-0.064618,0.244045,-2.527970,-0.064618,0.244045,-2.527970
2,0.066667,-0.084955,0.457523,1,0,0.451746,0.587099,-0.542523,0.047200,0.046974,0.163696,0.999965,0.999965,0,0.000701,0.001978,-0.003875,0.000540,0.000943,0.084997,1.025933,0.999821,0.380939,1.105721,1.061097,0.390933,1.007371,0.999723,0.318962,1.064135,1.057091,0.349987,3.467600,3.379341,1.287553,3.737278,3.586451,1.321334,3.510522,3.483870,1.111529,3.708337,3.683788,1.219647,0.295863,0.286958,0,0,0,3.000000,6.000000,0.029996,0.059322,-0.077283,0.020929,0.040740,3.143764,0.021787,0.041553,-0.085663,0.013156,0.019003,2.836496,0.023358,0.037259,-0.085309,0.009535,0.014955,2.841135,0.023265,0.033440,-0.085387,0.008258,0.012354,2.843063,0.024650,0.039761,-0.113207,0.022285,0.021028,2.953164,0.026725,0.028334,-0.113432,0.025247,0.019764,2.952682,0.019988,0.014449,-0.113157,0.019770,0.011841,2.955297,0.022311,0.062551,-0.100719,0.012623,0.021753,2.474378,0.019763,0.056133,-0.131806,0.019836,0.034784,2.625428,0.004410,0.049903,0.020426,-0.002936,-0.032714,-0.003819,-0.023922,0.045480,-0.314063,0.044490,-0.025609,0.769482,-0.043938,-0.008765,0.092285,-0.023988,-0.007374,-0.205501,-0.034211,0.042050,-0.404937,0.056465,0.041592,0.581630,-0.085035,0.005554,-0.243733,0.021760,-0.097514,0.936096,-0.012639,0.142533,-0.382643,0.076959,0.017435,2.030998,-0.083429,0.003626,-0.247478,0.017880,-0.137251,1.282625,-0.013284,0.176854,-0.366802,0.087182,-0.064048,2.607507,-0.044119,0.009556,-0.237338,0.015054,-0.159648,1.682922,-0.001750,0.185434,-0.306535,0.041988,-0.127076,2.900626,-0.046009,0.006166,-0.247484,0.016617,-0.109398,1.173273,-0.006464,0.163654,-0.347008,0.058154,-0.080391,2.180962
3,0.100000,-0.090739,0.454631,1,0,0.452840,0.587818,-0.527319,0.047203,0.046951,0.162298,0.999962,0.999962,0,0.001094,0.000719,0.015204,0.000393,-0.001259,0.019079,1.022493,1.004162,0.372300,1.100057,1.065365,0.385380,1.006225,1.004106,0.318794,1.062868,1.061444,0.350346,3.419932,3.358623,1.245231,3.679361,3.563328,1.288982,3.478299,3.470976,1.102002,3.674102,3.669181,1.211069,0.298980,0.289286,0,0,0,3.000000,6.000000,0.044123,0.023757,0.581113,0.014127,-0.035565,0.658396,0.034741,0.015082,0.542711,0.012954,-0.026471,0.628374,0.033937,0.011726,0.543804,0.010579,-0.025533,0.629113,0.035667,0.008539,0.544299,0.012402,-0.024901,0.629686,0.046434,0.019129,0.537933,0.021784,-0.020632,0.651140,0.043488,0.015399,0.537788,0.016763,-0.012935,0.651220,0.038927,0.006535,0.538217,0.018939,-0.007914,0.651374,0.032512,0.022581,0.460022,0.010201,-0.039970,0.560741,0.033153,0.020540,0.452183,0.013390,-0.035593,0.583989,0.014917,0.030273,0.042649,0.010507,-0.019630,0.022223,-0.039782,0.155089,-0.061558,-0.015860,0.109609,0.252505,-0.023981,-0.003666,-0.014060,0.019957,0.005099,-0.106345,-0.059896,0.121154,-0.074109,-0.025685,0.079104,0.330828,-0.023848,-0.000565,-0.030310,0.061187,-0.006119,0.213423,-0.023621,0.175606,0.378574,-0.010982,0.033073,0.761217,-0.028859,-0.004359,-0.011090,0.054570,-0.007985,0.236388,-0.023097,0.167252,0.487260,-0.009813,-0.009602,0.854062,-0.016297,-0.004209,0.077870,0.027822,-0.013765,0.315208,-0.009731,0.148534,0.557204,-0.007981,-0.036900,0.863739,-0.012830,-0.004889,0.004782,0.033179,-0.011055,0.252266,-0.015968,0.147357,0.417724,-0.009504,-0.016297,0.764732
4,0.133333,-0.096419,0.451791,1,0,0.454482,0.587964,-0.531156,0.047341,0.046933,0.161480,0.999958,0.999958,0,0.001642,0.000146,-0.003837,0.000548,-0.000573,-0.019040,1.021674,1.004595,0.374595,1.100450,1.066674,0.385964,1.003152,1.004591,0.318935,1.059843,1.062003,0.350345,3.386414,3.329805,1.241625,3.647525,3.535570,1.279307,3.451471,3.456423,1.097335,3.646524,3.653958,1.205405,0.301698,0.290645,0,0,0,3.000000,6.000000,0.055538,0.002460,-0.132387,0.011415,-0.021297,-0.713500,0.044045,0.002687,-0.123466,0.009304,-0.012395,-0.666177,0.048864,0.001357,-0.123433,0.014927,-0.010369,-0.667237,0.051468,0.000971,-0.123671,0.015801,-0.007568,-0.667970,0.055802,0.003436,-0.151166,0.009368,-0.015693,-0.689099,0.049654,0.002440,-0.151847,0.006166,-0.012959,-0.689635,0.051456,0.000169,-0.152369,0.012529,-0.006366,-0.690586,0.049005,0.005465,-0.095163,0.016493,-0.017116,-0.555185,0.049497,0.003283,-0.135024,0.016344,-0.017257,-0.587207,0.028000,0.021774,0.021707,0.013083,-0.008499,-0.020942,-0.008220,0.058202,-0.140297,0.031562,-0.096887,-0.078739,-0.020791,0.000204,0.136997,0.003190,0.003870,0.151057,-0.021105,0.012070,-0.024581,0.038791,-0.109084,0.049528,-0.031183,-0.030942,0.179066,-0.007335,-0.030377,0.209376,-0.027233,0.022430,0.137132,-0.003612,-0.153176,-0.241442,-0.040008,-0.059034,0.227669,-0.011149,-0.054675,0.238759,-0.029064,0.018311,0.145929,-0.005967,-0.148941,-0.341331,-0.024183,-0.075799,0.244631,-0.007886,-0.071590,0.166761,-0.026535,0.008712,0.119233,-0.016804,-0.139822,-0.437971,-0.021055,-0.071554,0.202908,-0.008225,-0.066665,0.198126,-0.029909,0.011441,0.130592,-0.013941,-0.135916,-0.287132
5,0.166667,-0.094387,0.452807,1,0,0.455868,0.588029,-0.532001,0.047212,0.046872,0.160779,0.999955,0.999955,0,0.001386,0.000065,-0.000845,-0.000256,-0.000081,0.002991,1.018331,1.004851,0.370084,1.097646,1.068135,0.382816,0.998835,1.004812,0.317959,1.055586,1.062293,0.349325,3.371113,3.326491,1.225137,3.633680,3.535986,1.267287,3.426162,3.446664,1.090650,3.620829,3.643833,1.198241,0.302075,0.291532,0,0,0,3.000000,6.000000,0.046409,0.000093,-0.028481,-0.009129,-0.002367,0.103906,0.046197,0.001906,-0.053310,0.002152,-0.000781,0.070156,0.054798,0.001271,-0.053233,0.005934,-0.000086,0.070200,0.052856,0.001677,-0.053524,0.001388,0.000706,0.070147,0.046489,0.001346,-0.038858,-0.009313,-0.002090,0.112308,0.040817,0.000428,-0.038720,-0.008837,-0.002012,0.113127,0.047303,-0.000557,-0.038806,-0.004153,-0.000726,0.113563,0.040669,0.002838,-0.033576,-0.008336,-0.002627,0.061587,0.042465,0.001026,-0.017127,-0.007032,-0.002257,0.117897,0.026200,0.008429,-0.008541,-0.001800,-0.013345,-0.030248,-0.000039,0.012633,0.045545,0.008181,-0.045569,0.185842,-0.012413,-0.002328,0.104583,0.008378,-0.002532,-0.032414,-0.000529,-0.007464,0.151303,0.020576,-0.019534,0.175884,-0.047057,-0.049685,0.092404,-0.015874,-0.018743,-0.086662,-0.012208,0.003068,0.253149,0.015025,-0.019362,0.116017,-0.068682,-0.076497,0.025251,-0.028674,-0.017463,-0.202418,-0.017642,0.004299,0.322129,0.011422,-0.014012,0.176200,-0.054116,-0.112224,0.114156,-0.029933,-0.036425,-0.130475,-0.021098,-0.000097,0.327076,0.005437,-0.008809,0.207843,-0.044333,-0.109967,0.020988,-0.023278,-0.038413,-0.181920,-0.019334,0.000941,0.258128,0.010575,-0.010500,0.127536
6,0.200000,-0.099563,0.450218,1,0,0.457913,0.588682,-0.583612,0.046617,0.046259,0.162135,0.999955,0.999955,0,0.002045,0.000653,-0.051611,0.000659,0.000589,-0.050766,0.559663,0.776582,0.263388,0.573779,0.787028,0.272311,0.503629,0.693609,0.241479,0.559264,0.751620,0.254633,1.877117,2.604665,0.883407,1.924461,2.639701,0.913333,1.765192,2.431065,0.846373,1.960192,2.634388,0.892476,0.298151,0.285311,0,1,10,3.000000,6.000000,0.076168,0.012953,-1.945054,0.029759,0.012860,-1.916573,0.062239,0.033501,-1.770437,0.016042,0.031595,-1.717127,0.066696,0.042606,-1.770777,0.011898,0.041335,-1.717544,0.059259,0.056317,-1.758935,0.006403,0.054640,-1.705411,0.087875,0.023599,-1.753544,0.041386,0.022253,-1.714686,0.073111,0.018462,-1.755767,0.032294,0.018034,-1.717047,0.083223,0.009270,-1.755846,0.035920,0.009827,-1.717040,0.052281,0.030400,-1.546608,0.011612,0.027562,-1.513032,0.070476,0.008821,-1.550058,0.028011,0.007795,-1.532931,-0.202741,-0.173929,0.317209,-0.228941,-0.182358,0.325750,0.007141,-0.029154,0.094009,0.007180,-0.041787,0.048464,0.047241,-1.480390,-5.211601,0.059654,-1.478062,-5.316184,0.339746,-0.380487,-5.715102,0.340275,-0.373023,-5.866405,-0.777581,-9.866155,-14.096901,-0.730524,-9.816470,-14.189305,3.717006,-5.926577,-12.294705,3.729214,-5.929645,-12.547854,-0.514401,-10.148853,-15.719114,-0.445719,-10.072356,-15.744365,5.190842,-7.104192,-13.496679,5.208484,-7.108491,-13.818808,-1.147397,-14.933871,-14.820389,-1.093281,-14.821647,-14.934545,4.758847,-9.031656,-12.294223,4.779945,-9.031559,-12.621299,-1.026279,-14.070840,-13.837379,-0.981946,-13.960873,-13.858367,4.229659,-8.333691,-11.838561,4.248993,-8.334632,-12.096689
7,0.233333,-0.101312,0.449344,1,0,0.459012,0.589225,-0.578262,0.046253,0.045909,0.162885,0.999955,0.999955,0,0.001099,0.000543,0.005350,-0.000946,-0.000111,0.056961,0.512230,0.669222,0.190636,0.516650,0.665688,0.242107,0.439496,0.556155,0.156317,0.495035,0.614079,0.220467,1.715586,2.241392,0.638489,1.730392,2.229558,0.810879,1.559340,1.973249,0.554616,1.756394,2.178764,0.782220,0.298574,0.281847,0,1,8,3.000000,6.000000,0.042931,0.010856,0.179338,-0.033237,-0.002097,2.124392,0.037432,0.023761,0.170846,-0.024807,-0.009740,1.941283,0.040241,0.030469,0.170665,-0.026455,-0.012137,1.941442,0.036287,0.039894,0.171395,-0.022972,-0.016423,1.930330,0.048895,0.016359,0.178240,-0.038980,-0.007240,1.931784,0.040753,0.012777,0.177784,-0.032358,-0.005685,1.933551,0.046062,0.006412,0.177450,-0.037161,-0.002858,1.933296,0.027666,0.025629,0.158433,-0.024615,-0.004771,1.705041,0.038292,0.006929,0.162551,-0.032184,-0.001892,1.712609,-0.103524,-0.118482,0.398642,0.099217,0.055447,0.081433,0.009030,-0.072970,0.039247,0.001889,-0.043816,-0.054762,0.048587,-0.395429,-0.492816,0.001346,1.084961,4.718785,0.174617,-0.208079,-0.522684,-0.165129,0.172408,5.192418,-0.260528,-0.839918,-0.624418,0.517053,9.026237,13.472483,0.609058,-1.395775,-0.730537,-3.107948,4.530802,11.564168,-1.571499,-3.656520,-0.589111,-1.057098,6.492333,15.130003,0.717545,-1.641580,-0.709142,-4.473297,5.462612,12.787537,-0.317490,-1.885800,-0.409772,0.829907,13.048071,14.410617,0.863902,-4.155478,-0.528207,-3.894945,4.876178,11.766016,-0.291819,-1.631742,-0.536124,0.734460,12.439098,13.301255,1.228102,-5.694913,-0.651500,-3.001557,2.638778,11.187061
8,0.266667,-0.094890,0.452555,1,0,0.459796,0.589980,-0.561531,0.045455,0.045197,0.161973,0.999950,0.999950,0,0.000783,0.000755,0.016731,-0.000316,0.000213,0.011381,0.511020,0.592582,0.109859,0.483084,0.577385,0.207454,0.351183,0.452191,0.109229,0.406682,0.509044,0.207440,1.774189,2.057360,0.381415,1.677201,2.004598,0.720252,1.258524,1.620504,0.391439,1.457415,1.824247,0.743395,0.288030,0.279043,0,1,5,3.000000,6.000000,0.045556,0.030030,0.643607,0.002625,0.019174,0.464269,0.043167,0.024314,0.591643,0.005735,0.000553,0.420797,0.045680,0.029298,0.592117,0.005439,-0.001171,0.421452,0.039534,0.036542,0.590281,0.003247,-0.003352,0.418886,0.075067,0.010094,0.607370,0.026172,-0.006265,0.429130,0.058604,0.003702,0.607844,0.017851,-0.009075,0.430060,0.053795,0.000376,0.607978,0.007733,-0.006036,0.430528,0.012731,0.027797,0.489909,-0.014935,0.002168,0.331476,0.034242,0.017531,0.513947,-0.004050,0.010602,0.351396,-0.086571,-0.101411,0.116806,0.016953,0.017071,-0.281836,0.000383,-0.091206,0.931188,-0.008647,-0.018236,0.891941,-0.051237,0.256301,-2.879976,-0.099824,0.651730,-2.387160,0.005935,0.213540,-0.457910,-0.168682,0.421619,0.064774,-0.959732,-2.086666,-3.866211,-0.699204,-1.246748,-3.241793,0.479151,-1.274836,-0.790941,-0.129907,0.120939,-0.060404,-0.962697,-2.801617,-3.779840,0.608802,0.854903,-3.190729,0.677451,-1.880940,-0.532236,-0.040094,-0.239360,0.176906,-0.924087,-2.460912,-2.741936,-0.606597,-0.575112,-2.332164,0.957334,-3.235012,0.179091,0.093432,0.920466,0.707298,-0.837910,-1.680926,-3.403519,-0.546091,-0.049184,-2.867395,0.674463,-1.580719,-0.467387,-0.553639,4.114194,0.184113
9,0.300000,-0.103953,0.448024,1,0,0.460122,0.589827,-0.553748,0.045131,0.044922,0.161840,0.999954,0.999954,0,0.000327,-0.000153,0.007783,-0.000457,-0.000909,-0.008948,0.520458,0.729500,0.333022,0.483674,0.738011,0.294794,0.325152,0.637396,0.329004,0.380824,0.695587,0.283651,1.841811,2.581574,1.178505,1.711637,2.611691,1.043224,1.171430,2.296353,1.185307,1.371999,2.505999,1.021913,0.282580,0.277569,0,1,4,3.000000,6.000000,0.024558,-0.017626,0.302319,-0.020998,-0.047656,-0.341288,0.011665,-0.000808,0.254513,-0.031502,-0.025122,-0.337130,0.010870,0.000117,0.254585,-0.034810,-0.029181,-0.337532,0.008394,0.002386,0.249780,-0.031140,-0.034156,-0.340501,0.027705,-0.015389,0.267838,-0.047362,-0.025483,-0.339532,0.021696,-0.026559,0.268663,-0.036908,-0.030261,-0.339181,0.019407,-0.030245,0.268752,-0.034388,-0.030621,-0.339226,0.005632,-0.003743,0.226225,-0.007099,-0.031540,-0.263684,0.013956,-0.005475,0.240753,-0.020286,-0.023006,-0.273194,-0.045846,0.003766,0.332796,0.040725,0.105177,0.215990,-0.002034,-0.002568,0.885017,-0.002417,0.088638,-0.046171,0.592523,4.211032,-0.167727,0.643760,3.954731,2.712249,-0.207048,0.038756,1.511155,-0.212983,-0.174784,1.969065,0.050249,-0.215896,-0.794449,1.009981,1.870770,3.071762,-0.750092,1.995910,1.540377,-1.229243,3.270746,2.331318,-0.419417,-1.495907,-1.106976,0.543280,1.305710,2.672864,-0.979220,2.822771,1.594058,-1.656671,4.703711,2.126294,-0.103937,-0.784285,-0.821266,0.820150,1.676627,1.920670,-1.211010,5.715380,1.078398,-2.168344,8.950392,0.899307,-0.012714,-0.796908,-0.697405,0.825196,0.884018,2.706114,-1.250387,5.362587,1.299396,-1.924850,6.943306,1.766783
