frame,time_sec,yaw_est,yaw_raw_ratio,yaw_valid_flag,face_orient_class,mouth_x,mouth_y,mouth_z,mouth_width_3d,mouth_width_2d,normalized_mouth_width,mouth_conf_raw,mouth_conf_adj,mouth_from_estimation,mouth_vx,mouth_vy,mouth_vz,mouth_ax,mouth_ay,mouth_az,dist_leftHand_mouth,dist_rightHand_mouth,dist_hands,dist_nose_leftHand,dist_nose_rightHand,dist_wrists,dist2d_leftHand_mouth,dist2d_rightHand_mouth,dist2d_hands,dist2d_nose_leftHand,dist2d_nose_rightHand,dist2d_wrists,norm_dist_leftHand_mouth,norm_dist_rightHand_mouth,norm_dist_hands,norm_dist_nose_leftHand,norm_dist_nose_rightHand,norm_dist_wrists,norm2d_dist_leftHand_mouth,norm2d_dist_rightHand_mouth,norm2d_dist_hands,norm2d_dist_nose_leftHand,norm2d_dist_nose_rightHand,norm2d_dist_wrists,shoulder_width_3d,shoulder_width_2d,occlusion_flag,velocity_jump_flag,velocity_jump_count,velocity_jump_v_thresh_used,velocity_jump_a_thresh_used,l0_vx,l0_vy,l0_vz,l0_ax,l0_ay,l0_az,l1_vx,l1_vy,l1_vz,l1_ax,l1_ay,l1_az,l2_vx,l2_vy,l2_vz,l2_ax,l2_ay,l2_az,l3_vx,l3_vy,l3_vz,l3_ax,l3_ay,l3_az,l4_vx,l4_vy,l4_vz,l4_ax,l4_ay,l4_az,l5_vx,l5_vy,l5_vz,l5_ax,l5_ay,l5_az,l6_vx,l6_vy,l6_vz,l6_ax,l6_ay,l6_az,l9_vx,l9_vy,l9_vz,l9_ax,l9_ay,l9_az,l10_vx,l10_vy,l10_vz,l10_ax,l10_ay,l10_az,l11_vx,l11_vy,l11_vz,l11_ax,l11_ay,l11_az,l12_vx,l12_vy,l12_vz,l12_ax,l12_ay,l12_az,l13_vx,l13_vy,l13_vz,l13_ax,l13_ay,l13_az,l14_vx,l14_vy,l14_vz,l14_ax,l14_ay,l14_az,l15_vx,l15_vy,l15_vz,l15_ax,l15_ay,l15_az,l16_vx,l16_vy,l16_vz,l16_ax,l16_ay,l16_az,l17_vx,l17_vy,l17_vz,l17_ax,l17_ay,l17_az,l18_vx,l18_vy,l18_vz,l18_ax,l18_ay,l18_az,l19_vx,l19_vy,l19_vz,l19_ax,l19_ay,l19_az,l20_vx,l20_vy,l20_vz,l20_ax,l20_ay,l20_az,l21_vx,l21_vy,l21_vz,l21_ax,l21_ay,l21_az,l22_vx,l22_vy,l22_vz,l22_ax,l22_ay,l22_az
0,0.000000,1.000000,1.111224,1,1,0.504522,0.623949,-0.479012,0.111696,0.025831,0.083496,0.997717,0.997717,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,0.689527,0.309368,0,0,0,3.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.033333,1.000000,1.119013,1,1,0.506134,0.623584,-0.485220,0.108678,0.025505,0.083306,0.997580,0.997580,0,0.001612,-0.000365,-0.006208,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.673892,0.306158,0,0,0,3.000000,6.000000,0.034916,-0.006305,-0.439112,0.034916,-0.006305,-0.439112,0.064262,0.013208,-0.272977,0.064262,0.013208,-0.272977,0.099977,0.010063,-0.275019,0.099977,0.010063,-0.275019,0.115178,0.016210,-0.275583,0.115178,0.016210,-0.275583,0.050075,0.030649,-0.357286,0.050075,0.030649,-0.357286,0.048641,0.035070,-0.358507,0.048641,0.035070,-0.358507,0.047379,0.043535,-0.357420,0.047379,0.043535,-0.357420,0.045145,-0.002931,-0.140827,0.045145,-0.002931,-0.140827,0.051558,-0.018920,-0.231595,0.051558,-0.018920,-0.231595,-0.102366,0.107210,0.798603,-0.102366,0.107210,0.798603,-0.014755,0.028390,0.321639,-0.014755,0.028390,0.321639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.066667,1.000000,1.122069,1,1,0.507193,0.623374,-0.496201,0.107008,0.025290,0.082793,0.997498,0.997498,0,0.001059,-0.000211,-0.010981,-0.000553,0.000154,-0.004773,,,,,,,,,,,,,,,,,,,,,,,,,0.665997,0.305458,0,0,0,3.000000,6.000000,0.021134,-0.003104,-0.510641,-0.013782,0.003201,-0.071529,0.034094,0.014157,-0.362057,-0.030168,0.000949,-0.089080,0.048351,0.010810,-0.363014,-0.051626,0.000747,-0.087995,0.055718,0.013936,-0.363203,-0.059460,-0.002274,-0.087620,0.027787,0.029022,-0.395651,-0.022288,-0.001627,-0.038365,0.027002,0.031826,-0.396797,-0.021639,-0.003244,-0.038290,0.025926,0.037066,-0.395916,-0.021453,-0.006469,-0.038496,0.029420,-0.001801,-0.304466,-0.015725,0.001130,-0.163639,0.034124,-0.010879,-0.354424,-0.017434,0.008041,-0.122829,-0.041403,0.076652,0.371781,0.060963,-0.030558,-0.426822,-0.021758,0.063710,0.116341,-0.007003,0.035320,-0.205298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.100000,1.000000,1.122854,1,1,0.507927,0.623298,-0.505685,0.105433,0.025178,0.082306,0.997535,0.997535,0,0.000734,-0.000075,-0.009485,-0.000325,0.000136,0.001497,,,,,,,,,,,,,,,,,,,,,,,,,0.656593,0.305910,0,0,0,3.000000,6.000000,0.013722,-0.000209,-0.444077,-0.007412,0.002895,0.066564,0.021660,0.018277,-0.317078,-0.012434,0.004120,0.044979,0.029426,0.013761,-0.316796,-0.018925,0.002951,0.046218,0.034136,0.014567,-0.316529,-0.021582,0.000631,0.046674,0.016868,0.035622,-0.346742,-0.010919,0.006600,0.048909,0.016238,0.038718,-0.347688,-0.010764,0.006892,0.049109,0.015359,0.043200,-0.346397,-0.010567,0.006134,0.049519,0.020726,-0.000225,-0.260596,-0.008694,0.001576,0.043870,0.023317,-0.004292,-0.308475,-0.010807,0.006587,0.045949,-0.014275,0.032281,0.476745,0.027128,-0.044371,0.104964,-0.023579,0.069693,0.151542,-0.001821,0.005983,0.035201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.133333,1.000000,1.120576,1,1,0.508470,0.623268,-0.516321,0.104535,0.025125,0.081935,0.997648,0.997648,0,0.000543,-0.000031,-0.010636,-0.000191,0.000045,-0.001152,,,,,,,,,,,,,,,,,,,,,,,,,0.659155,0.306645,0,0,0,3.000000,6.000000,0.009802,0.000249,-0.417690,-0.003920,0.000458,0.026387,0.012299,0.018522,-0.358751,-0.009361,0.000245,-0.041673,0.015028,0.014076,-0.358003,-0.014398,0.000315,-0.041207,0.017059,0.013836,-0.357349,-0.017077,-0.000731,-0.040820,0.008765,0.035990,-0.367611,-0.008103,0.000368,-0.020869,0.008071,0.039574,-0.367903,-0.008167,0.000856,-0.020215,0.007136,0.043835,-0.366789,-0.008223,0.000635,-0.020392,0.015678,0.000027,-0.305429,-0.005048,0.000252,-0.044833,0.016915,-0.001856,-0.332737,-0.006402,0.002436,-0.024262,-0.003101,0.009432,0.033082,0.011174,-0.022849,-0.443663,-0.019297,0.059382,0.108324,0.004282,-0.010311,-0.043218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.166667,1.000000,1.159080,1,1,0.508884,0.620567,-0.515331,0.106130,0.024524,0.079958,0.997634,0.997634,0,0.000414,-0.002700,0.000991,-0.000129,-0.002670,0.011627,,,,,,,,,,,,,,,,,,,,,,,,,0.662545,0.306711,0,0,0,3.000000,6.000000,0.027532,-0.058392,0.157805,0.017730,-0.058641,0.575495,0.049115,-0.025666,0.066774,0.036816,-0.044188,0.425525,0.050272,-0.024821,0.066680,0.035244,-0.038897,0.424683,0.039378,-0.018091,0.066724,0.022319,-0.031927,0.424073,0.059366,-0.027414,0.106319,0.050601,-0.063404,0.473930,0.068483,-0.028774,0.106316,0.060412,-0.068348,0.474219,0.079122,-0.030348,0.105575,0.071986,-0.074183,0.472364,0.006260,-0.063910,0.002918,-0.009418,-0.063937,0.308347,0.018550,-0.098076,0.056514,0.001635,-0.096220,0.389251,0.000522,0.009164,-0.132673,0.003623,-0.000268,-0.165755,-0.000016,0.020691,-0.018895,0.019281,-0.038691,-0.127219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.200000,1.000000,1.180653,1,1,0.509108,0.618221,-0.516203,0.106208,0.024240,0.078986,0.997678,0.997678,0,0.000225,-0.002346,-0.000872,-0.000189,0.000355,-0.001862,,,,,,,,,,,,,,,,,,,,,,,,,0.663677,0.306890,0,0,0,3.000000,6.000000,0.018023,-0.057263,-0.000274,-0.009509,0.001129,-0.158079,0.034996,-0.030980,-0.003644,-0.014119,-0.005314,-0.070418,0.035046,-0.030516,-0.003499,-0.015226,-0.005695,-0.070179,0.028342,-0.024699,-0.003385,-0.011036,-0.006608,-0.070109,0.037504,-0.031045,0.005161,-0.021862,-0.003631,-0.101158,0.041166,-0.031731,0.004662,-0.027317,-0.002957,-0.101654,0.045177,-0.032429,0.004844,-0.033945,-0.002081,-0.100731,0.003936,-0.059885,-0.028369,-0.002324,0.004025,-0.031287,0.009567,-0.080899,-0.023932,-0.008983,0.017177,-0.080446,0.002605,0.000372,-0.047605,0.002083,-0.008792,0.085068,-0.000958,0.015260,-0.012092,-0.000942,-0.005431,0.006803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.233333,1.000000,1.181739,1,1,0.511080,0.615986,-0.529695,0.100285,0.024397,0.078583,0.997738,0.997738,0,0.001971,-0.002235,-0.013493,0.001746,0.000111,-0.012621,,,,,,,,,,,,,,,,,,,,,,,,,0.635779,0.310462,0,0,0,3.000000,6.000000,0.102655,-0.060139,-0.504656,0.084632,-0.002876,-0.504382,0.148353,-0.043428,-0.296109,0.113357,-0.012448,-0.292465,0.144526,-0.030350,-0.296001,0.109480,0.000166,-0.292502,0.134742,-0.016205,-0.295297,0.106400,0.008494,-0.291912,0.110115,-0.054229,-0.423285,0.072611,-0.023184,-0.428446,0.108184,-0.058579,-0.423955,0.067018,-0.026848,-0.428617,0.111211,-0.064783,-0.423108,0.066034,-0.032354,-0.427952,0.062832,-0.054660,-0.312762,0.058896,0.005225,-0.284393,0.055386,-0.079445,-0.496786,0.045819,0.001454,-0.472854,0.036666,0.010350,0.416957,0.034061,0.009978,0.464562,-0.069779,0.022750,-0.592182,-0.068821,0.007490,-0.580090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.266667,1.000000,1.186364,1,1,0.512107,0.614318,-0.533289,0.099421,0.024364,0.077765,0.997773,0.997773,0,0.001027,-0.001669,-0.003594,-0.000944,0.000566,0.009899,,,,,,,,,,,,,,,,,,,,,,,,,0.625327,0.313301,0,0,0,3.000000,6.000000,0.052600,-0.046247,-0.090029,-0.050055,0.013892,0.414627,0.069709,-0.033270,-0.086108,-0.078644,0.010158,0.210001,0.065979,-0.024468,-0.085942,-0.078547,0.005882,0.210059,0.059069,-0.014364,-0.085537,-0.075673,0.001841,0.209760,0.058032,-0.042135,-0.107355,-0.052083,0.012094,0.315930,0.058460,-0.045290,-0.107467,-0.049724,0.013289,0.316488,0.060820,-0.049497,-0.107628,-0.050391,0.015286,0.315480,0.030895,-0.042919,-0.094598,-0.031937,0.011741,0.218164,0.030743,-0.057195,-0.121053,-0.024643,0.022250,0.375733,0.027775,0.001550,0.049158,-0.008891,-0.008800,-0.367799,-0.055142,0.024567,-0.360128,0.014637,0.001817,0.232054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.300000,1.000000,1.190345,1,1,0.514884,0.611820,-0.546023,0.101983,0.025210,0.079989,0.997574,0.997574,0,0.002778,-0.002498,-0.012734,0.001751,-0.000829,-0.009140,,,,,,,,,,,,,,,,,,,,,,,,,0.690961,0.315169,0,0,0,3.000000,6.000000,0.101901,-0.096998,-0.500405,0.049301,-0.050751,-0.410376,0.141309,-0.092482,-0.510119,0.071600,-0.059212,-0.424011,0.136626,-0.075088,-0.509214,0.070647,-0.050620,-0.423272,0.150225,-0.058748,-0.511665,0.091156,-0.044384,-0.426128,0.115789,-0.114279,-0.439539,0.057757,-0.072144,-0.332184,0.110908,-0.121001,-0.437776,0.052448,-0.075711,-0.330309,0.110462,-0.130752,-0.435238,0.049642,-0.081255,-0.327610,0.096636,-0.064784,-0.418451,0.065741,-0.021865,-0.323853,0.070049,-0.085092,-0.345588,0.039306,-0.027897,-0.224535,0.021027,0.022432,-1.193359,-0.006748,0.020882,-1.242517,-0.038002,0.002278,1.018099,0.017140,-0.022289,1.378227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
