frame,time_sec,yaw_est,yaw_raw_ratio,yaw_valid_flag,face_orient_class,mouth_x,mouth_y,mouth_z,mouth_width_3d,mouth_width_2d,normalized_mouth_width,mouth_conf_raw,mouth_conf_adj,mouth_from_estimation,mouth_vx,mouth_vy,mouth_vz,mouth_ax,mouth_ay,mouth_az,dist_leftHand_mouth,dist_rightHand_mouth,dist_hands,dist_nose_leftHand,dist_nose_rightHand,dist_wrists,dist2d_leftHand_mouth,dist2d_rightHand_mouth,dist2d_hands,dist2d_nose_leftHand,dist2d_nose_rightHand,dist2d_wrists,norm_dist_leftHand_mouth,norm_dist_rightHand_mouth,norm_dist_hands,norm_dist_nose_leftHand,norm_dist_nose_rightHand,norm_dist_wrists,norm2d_dist_leftHand_mouth,norm2d_dist_rightHand_mouth,norm2d_dist_hands,norm2d_dist_nose_leftHand,norm2d_dist_nose_rightHand,norm2d_dist_wrists,shoulder_width_3d,shoulder_width_2d,occlusion_flag,velocity_jump_flag,velocity_jump_count,velocity_jump_v_thresh_used,velocity_jump_a_thresh_used,l0_vx,l0_vy,l0_vz,l0_ax,l0_ay,l0_az,l1_vx,l1_vy,l1_vz,l1_ax,l1_ay,l1_az,l2_vx,l2_vy,l2_vz,l2_ax,l2_ay,l2_az,l3_vx,l3_vy,l3_vz,l3_ax,l3_ay,l3_az,l4_vx,l4_vy,l4_vz,l4_ax,l4_ay,l4_az,l5_vx,l5_vy,l5_vz,l5_ax,l5_ay,l5_az,l6_vx,l6_vy,l6_vz,l6_ax,l6_ay,l6_az,l9_vx,l9_vy,l9_vz,l9_ax,l9_ay,l9_az,l10_vx,l10_vy,l10_vz,l10_ax,l10_ay,l10_az,l11_vx,l11_vy,l11_vz,l11_ax,l11_ay,l11_az,l12_vx,l12_vy,l12_vz,l12_ax,l12_ay,l12_az,l13_vx,l13_vy,l13_vz,l13_ax,l13_ay,l13_az,l14_vx,l14_vy,l14_vz,l14_ax,l14_ay,l14_az,l15_vx,l15_vy,l15_vz,l15_ax,l15_ay,l15_az,l16_vx,l16_vy,l16_vz,l16_ax,l16_ay,l16_az,l17_vx,l17_vy,l17_vz,l17_ax,l17_ay,l17_az,l18_vx,l18_vy,l18_vz,l18_ax,l18_ay,l18_az,l19_vx,l19_vy,l19_vz,l19_ax,l19_ay,l19_az,l20_vx,l20_vy,l20_vz,l20_ax,l20_ay,l20_az,l21_vx,l21_vy,l21_vz,l21_ax,l21_ay,l21_az,l22_vx,l22_vy,l22_vz,l22_ax,l22_ay,l22_az
0,0.000000,0.649086,0.824543,1,1,0.478317,0.587734,-1.645965,0.190674,0.190145,,0.725136,0.725136,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7.232704,9.506239,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.033333,1.000000,1.458274,1,1,0.444302,0.506706,-1.115296,0.157924,0.143188,,0.739777,0.739777,0,-0.034015,-0.081027,0.530669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,9,7.232704,9.506239,-1.370755,-2.557635,17.276970,-1.370755,-2.557635,17.276970,-0.291250,-0.926265,15.023518,-0.291250,-0.926265,15.023518,-0.264578,-1.016214,15.031078,-0.264578,-1.016214,15.031078,-0.174270,-0.883749,15.040205,-0.174270,-0.883749,15.040205,-0.328122,-0.569767,16.940010,-0.328122,-0.569767,16.940010,-0.240870,-0.338186,16.944934,-0.240870,-0.338186,16.944934,-0.141769,-0.201345,16.950831,-0.141769,-0.201345,16.950831,-1.407951,-3.042882,14.708029,-1.407951,-3.042882,14.708029,-0.632966,-1.818754,17.132077,-0.632966,-1.818754,17.132077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.066667,1.000000,1.589290,1,1,0.436690,0.497409,-1.100432,0.152561,0.146425,,0.752760,0.752760,0,-0.007612,-0.009298,0.014864,0.026403,0.071729,-0.515804,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,9,7.232704,9.506239,-0.417575,-0.414368,0.335244,0.953180,2.143267,-16.941726,-0.201010,-0.213695,0.501283,0.090240,0.712570,-14.522235,-0.198151,-0.246221,0.501587,0.066427,0.769993,-14.529491,-0.160108,-0.219841,0.502353,0.014162,0.663908,-14.537852,-0.218775,-0.128281,-0.030756,0.109347,0.441486,-16.970766,-0.186950,-0.062913,-0.031689,0.053920,0.275273,-16.976623,-0.147809,-0.017692,-0.032115,-0.006040,0.183653,-16.982946,-0.205357,-0.235162,0.802635,1.202594,2.807720,-13.905394,-0.251334,-0.322715,0.089228,0.381632,1.496039,-17.042849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.100000,1.000000,1.509301,1,1,0.435427,0.493221,-1.101889,0.159625,0.154520,,0.763021,0.763021,0,-0.001262,-0.004187,-0.001457,0.006350,0.005111,-0.016322,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7.232704,9.506239,-0.109650,-0.179704,-0.236406,0.307925,0.234664,-0.571650,-0.114806,-0.124961,0.240694,0.086204,0.088734,-0.260589,-0.095574,-0.129876,0.240963,0.102577,0.116345,-0.260624,-0.068577,-0.131165,0.241785,0.091531,0.088676,-0.260568,-0.175041,-0.095299,0.169766,0.043734,0.032982,0.200522,-0.188706,-0.069497,0.169380,-0.001756,-0.006584,0.201069,-0.232227,-0.088611,0.167981,-0.084418,-0.070919,0.200096,0.012176,-0.013980,-0.001903,0.217533,0.221182,-0.804538,-0.087940,-0.237257,-0.085555,0.163394,0.085458,-0.174783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.133333,1.000000,1.479547,1,1,0.435858,0.496446,-1.079695,0.158589,0.153650,,0.772265,0.772265,0,0.000431,0.003225,0.022193,0.001693,0.007412,0.023651,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7.232704,9.506239,-0.020742,0.017023,0.716897,0.088908,0.196727,0.953303,-0.053576,-0.005445,0.778488,0.061230,0.119516,0.537794,-0.048478,-0.005899,0.778813,0.047096,0.123977,0.537850,-0.042127,-0.016324,0.779840,0.026450,0.114841,0.538055,-0.067114,-0.001681,0.757427,0.107927,0.093618,0.587661,-0.073264,-0.000572,0.756916,0.115442,0.068925,0.587536,-0.062529,0.001621,0.755900,0.169698,0.090232,0.587919,0.013820,0.082752,0.677426,0.001644,0.096732,0.679329,0.012024,0.110716,0.654198,0.099964,0.347973,0.739753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.166667,1.000000,1.489820,1,1,0.437420,0.494498,-1.206948,0.158719,0.156141,,0.781537,0.781537,0,0.001563,-0.001948,-0.127253,0.001132,-0.005173,-0.149446,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7.232704,9.506239,0.116996,0.025749,-4.194113,0.137738,0.008726,-4.911010,0.100352,0.003693,-3.819144,0.153928,0.009138,-4.597632,0.151674,0.031970,-3.822033,0.200152,0.037869,-4.600846,0.128496,0.018695,-3.826139,0.170623,0.035019,-4.605979,0.097563,-0.022408,-4.056573,0.164677,-0.020727,-4.814000,0.130422,-0.017627,-4.057496,0.203686,-0.017055,-4.814412,0.172209,-0.005495,-4.058443,0.234738,-0.007116,-4.814343,0.070278,-0.026647,-3.655872,0.056458,-0.109399,-4.333298,0.023489,-0.090229,-3.979272,0.011465,-0.200945,-4.633470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.200000,1.000000,1.440341,1,1,0.447379,0.495285,-1.371204,0.158259,0.156454,,0.793159,0.793159,0,0.009958,0.000787,-0.164256,0.008395,0.002735,-0.037003,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7.232704,9.506239,0.267944,0.044724,-5.615941,0.150948,0.018975,-1.421828,0.288513,0.052024,-5.090382,0.188161,0.048331,-1.271238,0.291932,0.054275,-5.087196,0.140258,0.022305,-1.265163,0.267917,0.016712,-5.084517,0.139421,-0.001983,-1.258378,0.240735,0.036318,-5.205674,0.143172,0.058726,-1.149101,0.190707,0.010002,-5.212870,0.060285,0.027629,-1.155374,0.189834,0.010634,-5.219615,0.017625,0.016129,-1.161172,0.307788,0.025610,-4.857881,0.237510,0.052257,-1.202009,0.289703,0.021619,-4.997492,0.266214,0.111848,-1.018220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.233333,1.000000,1.457479,1,1,0.449628,0.493690,-1.301829,0.164665,0.154754,,0.802710,0.802710,0,0.002250,-0.001594,0.069376,-0.007708,-0.002381,0.233631,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7.232704,9.506239,0.013871,-0.403718,1.933601,-0.254073,-0.448442,7.549542,0.114856,-0.282232,1.812090,-0.173657,-0.334256,6.902472,0.134497,-0.280375,1.808996,-0.157435,-0.334650,6.896192,0.174739,-0.264241,1.807380,-0.093178,-0.280953,6.891897,0.078959,-0.197308,2.529731,-0.161776,-0.233626,7.735405,0.090796,-0.145299,2.532041,-0.099911,-0.155301,7.744911,0.061739,-0.130222,2.529835,-0.128095,-0.140856,7.749450,0.058992,-0.071880,1.594856,-0.248796,-0.097490,6.452737,0.075976,-0.023789,2.567686,-0.213727,-0.045408,7.565178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.266667,1.000000,1.271447,1,1,0.469670,0.511230,-1.321451,0.165688,0.161593,,0.806308,0.806308,0,0.020042,0.017539,-0.019622,0.017792,0.019134,-0.088998,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7.232704,9.506239,0.849404,0.691127,-0.709766,0.835533,1.094845,-2.643367,0.588906,0.195704,-0.268850,0.474050,0.477936,-2.080940,0.571874,0.215120,-0.268042,0.437377,0.495495,-2.077038,0.524157,0.170599,-0.267116,0.349418,0.434840,-2.074496,0.555106,0.115893,-0.688584,0.476147,0.313201,-3.218315,0.479761,0.051546,-0.692375,0.388965,0.196845,-3.224416,0.431837,0.042727,-0.696402,0.370098,0.172949,-3.226237,0.664674,0.613208,-0.293866,0.605682,0.685088,-1.888722,0.537839,0.439131,-0.883445,0.461863,0.462920,-3.451131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.300000,1.000000,1.178199,1,1,0.480107,0.533895,-1.266110,0.159477,0.157908,,0.818380,0.818380,0,0.010437,0.022666,0.055340,-0.009604,0.005127,0.074962,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7.232704,9.506239,0.260169,0.585063,1.750299,-0.589235,-0.106064,2.460065,0.152916,0.040233,1.883161,-0.435990,-0.155471,2.152011,0.185755,0.055565,1.883286,-0.386119,-0.159555,2.151328,0.185627,0.020303,1.884509,-0.338530,-0.150296,2.151625,0.100908,0.079228,1.536709,-0.454198,-0.036665,2.225293,0.082785,0.089706,1.537517,-0.396976,0.038160,2.229892,0.055448,0.112189,1.540582,-0.376389,0.069462,2.236984,0.369393,0.601106,1.874617,-0.295281,-0.012102,2.168483,0.256844,0.758841,1.445775,-0.280995,0.319710,2.329220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
