threshold,precision,recall,f1,precision_aware
0.0,0.6101694915254238,1.0,0.7578947368421053,0.6670411968743881
0.01,0.6101694915254238,1.0,0.7578947368421053,0.6670411968743881
0.02,0.6101694915254238,1.0,0.7578947368421053,0.6670411968743881
0.03,0.6101694915254238,1.0,0.7578947368421053,0.6670411968743881
0.04,0.6101694915254238,1.0,0.7578947368421053,0.6670411968743881
0.05,0.6101694915254238,1.0,0.7578947368421053,0.6670411968743881
0.06,0.6118980169971672,1.0,0.7592267135325131,0.6683050526173822
0.07,0.6118980169971672,1.0,0.7592267135325131,0.6683050526173822
0.08,0.6118980169971672,1.0,0.7592267135325131,0.6683050526173822
0.09,0.6118980169971672,1.0,0.7592267135325131,0.6683050526173822
0.1,0.6118980169971672,1.0,0.7592267135325131,0.6683050526173822
0.11,0.6136363636363636,1.0,0.7605633802816901,0.6695752259617334
0.12,0.6136363636363636,1.0,0.7605633802816901,0.6695752259617334
0.13,0.6206896551724138,1.0,0.7659574468085106,0.6747200916878047
0.14,0.622478386167147,1.0,0.7673179396092362,0.676022605025389
0.15,0.622478386167147,1.0,0.7673179396092362,0.676022605025389
0.16,0.627906976744186,1.0,0.7714285714285715,0.679970089859709
0.17,0.6352941176470588,1.0,0.7769784172661871,0.6853286140624302
0.18,0.6379821958456974,0.9953703703703703,0.7775768535262206,0.6868521840397595
0.19,0.6398809523809523,0.9953703703703703,0.7789855072463768,0.6882241584234337
0.2,0.641566265060241,0.9861111111111112,0.7773722627737226,0.6885828414212818
0.21,0.6404833836858006,0.9814814814814815,0.7751371115173674,0.6873708553571551
0.22,0.6380368098159509,0.9629629629629629,0.7675276752767528,0.6838647375500457
0.23,0.6417445482866043,0.9537037037037037,0.7672253258845437,0.6856279019677098
0.24,0.6476190476190476,0.9444444444444444,0.768361581920904,0.6889060284448396
0.25,0.6537216828478964,0.9351851851851852,0.7695238095238095,0.6923060143401356
0.26,0.6546052631578947,0.9212962962962963,0.7653846153846153,0.6915060462533764
0.27,0.6543624161073825,0.9027777777777778,0.7587548638132295,0.6893956972567046
0.28,0.660958904109589,0.8935185185185185,0.7598425196850394,0.6930202380193509
0.29,0.6597938144329897,0.8888888888888888,0.757396449704142,0.6917038721867821
0.3,0.657439446366782,0.8796296296296297,0.7524752475247525,0.6890503274998612
0.31,0.6631578947368421,0.875,0.7544910179640718,0.692514282816687
0.32,0.6654804270462633,0.8657407407407407,0.7525150905432596,0.6930827707451541
0.33,0.6654804270462633,0.8657407407407407,0.7525150905432596,0.6930827707451541
0.34,0.6642599277978339,0.8518518518518519,0.7464503042596349,0.6906530852358519
0.35000000000000003,0.663003663003663,0.8379629629629629,0.7402862985685071,0.6881757511314281
0.36,0.6729323308270677,0.8287037037037037,0.7427385892116183,0.693875772236064
0.37,0.6730769230769231,0.8101851851851852,0.7352941176470589,0.6917147268916237
0.38,0.671875,0.7962962962962963,0.7288135593220338,0.6891695978556547
0.39,0.6746031746031746,0.7870370370370371,0.7264957264957265,0.6898383353093498
0.4,0.68,0.7870370370370371,0.7296137339055794,0.6934721502307184
0.41000000000000003,0.6775510204081633,0.7685185185185185,0.720173535791757,0.6894156010006534
0.42,0.6764705882352942,0.7453703703703703,0.7092511013215859,0.6855986545731674
0.43,0.6855895196506551,0.7268518518518519,0.7056179775280899,0.6890681831427989
0.44,0.6964285714285714,0.7222222222222222,0.7090909090909091,0.695529588500603
0.45,0.6986301369863014,0.7083333333333334,0.7034482758620689,0.6949375813108158
0.46,0.6981132075471698,0.6851851851851852,0.6915887850467289,0.6911212693466482
0.47000000000000003,0.7115384615384616,0.6851851851851852,0.6981132075471698,0.6997912230924264
0.48,0.7093596059113301,0.6666666666666666,0.6873508353221957,0.6954730836113683
0.49,0.7216494845360825,0.6481481481481481,0.6829268292682927,0.7002908211075736
0.5,0.7272727272727273,0.6296296296296297,0.674937965260546,0.7007057832735719
0.51,0.7333333333333333,0.6111111111111112,0.6666666666666666,0.7012546967257112
0.52,0.7329545454545454,0.5972222222222222,0.6581632653061225,0.698514282378154
0.53,0.7365269461077845,0.5694444444444444,0.6422976501305483,0.6955407981521013
0.54,0.7469135802469136,0.5601851851851852,0.6402116402116402,0.7001083122459935
0.55,0.7402597402597403,0.5277777777777778,0.6162162162162163,0.6895827650537796
0.56,0.7449664429530202,0.5138888888888888,0.6082191780821918,0.6895370049602121
0.5700000000000001,0.7465753424657534,0.5046296296296297,0.6022099447513812,0.6885386847173356
0.58,0.7518248175182481,0.47685185185185186,0.5835694050991501,0.6855712603479136
0.59,0.7619047619047619,0.4444444444444444,0.5614035087719298,0.6839614636430045
0.6,0.7894736842105263,0.4166666666666667,0.5454545454545454,0.6929612358006714
0.61,0.8073394495412844,0.4074074074074074,0.5415384615384615,0.7007192932912252
0.62,0.8058252427184466,0.38425925925925924,0.5203761755485894,0.6936135040828446
0.63,0.81,0.375,0.5126582278481012,0.6933854984134749
0.64,0.8,0.3333333333333333,0.47058823529411764,0.6757645006472799
