auc,f1,recall,precision,composite,precision_aware,TP,FP,FN,TN,threshold
0.7802603327965648,0.7578947368421053,1.0,0.6101694915254238,0.8834204876119445,0.6885052333746564,216,138,0,0,0.05
0.7802603327965648,0.7605633802816901,1.0,0.6136363636363636,0.88422108064382,0.6910392624620019,216,136,0,2,0.1
0.7802603327965648,0.7659574468085106,1.0,0.6206896551724138,0.8858393006018661,0.6961841281880732,216,132,0,6,0.15
0.7802603327965648,0.7714285714285715,1.0,0.627906976744186,0.8874806379878843,0.7014341263599775,216,128,0,10,0.2
0.7802603327965648,0.7802197802197802,0.9861111111111112,0.6454545454545455,0.8831735561808027,0.7128452733525199,213,117,3,21,0.25
0.7802603327965648,0.7893738140417458,0.9629629629629629,0.6688102893890675,0.8743456922533182,0.7272693554663705,208,103,8,35,0.3
0.7802603327965648,0.7906066536203522,0.9351851851851852,0.6847457627118644,0.8608266552380113,0.7356069440013508,202,93,14,45,0.35
0.7802603327965648,0.7855711422845691,0.9074074074074074,0.6925795053003534,0.8454271129483875,0.7380131618948604,196,87,20,51,0.39999999999999997
0.7802603327965648,0.7900207900207901,0.8796296296296297,0.7169811320754716,0.8328731183803648,0.7515488696032859,190,75,26,63,0.44999999999999996
0.7802603327965648,0.7898089171974523,0.8611111111111112,0.7294117647058823,0.8235502972741042,0.7577006240714899,186,69,30,69,0.49999999999999994
0.7802603327965648,0.7973568281938326,0.8379629629629629,0.7605042016806722,0.8142405964989443,0.7755112158577988,181,57,35,81,0.5499999999999999
0.7802603327965648,0.7954545454545454,0.8101851851851852,0.78125,0.7997810227882691,0.7853134301956766,175,49,41,89,0.6
0.7802603327965648,0.7848699763593381,0.7685185185185185,0.8019323671497585,0.7757723187263736,0.7924792430419936,166,41,50,97,0.65
0.7802603327965648,0.739240506329114,0.6759259259259259,0.8156424581005587,0.7157871814210102,0.7856454475083265,146,33,70,105,0.7
0.7802603327965648,0.6918918918918919,0.5925925925925926,0.8311688311688312,0.6599159304231768,0.7792040497112962,128,26,88,112,0.75
0.7802603327965648,0.6184971098265896,0.49537037037037035,0.823076923076923,0.589286384692475,0.7531396610457515,107,23,109,115,0.7999999999999999
0.7802603327965648,0.511326860841424,0.36574074074074076,0.8494623655913979,0.4923204951821106,0.734181307607439,79,14,137,124,0.85
0.7802603327965648,0.32452830188679244,0.19907407407407407,0.8775510204081632,0.35294759416238775,0.6921860673294322,43,6,173,132,0.9
0.7802603327965648,0.04524886877828054,0.023148148148148147,1.0,0.18120080126687121,0.6696267271927971,5,0,211,138,0.95
