threshold,auc,precision,recall,f1,composite,precision_aware,TP,FP,FN,TN
0.05,0.6494726480101252,0.5627962085308057,0.8683729433272395,0.6829618979151689,0.7689695706401954,0.6161812032419786,475,369,72,151
0.06,0.6494726480101252,0.5702075702075702,0.8537477148080439,0.6837481698389458,0.7618928379577308,0.6201227656574939,467,352,80,168
0.07,0.6494726480101252,0.5735849056603773,0.8336380255941499,0.6795827123695977,0.7505883561099793,0.620561796143093,456,339,91,181
0.08,0.6494726480101252,0.5758754863813229,0.8117001828153565,0.6737481031866465,0.7378690519656973,0.6199567037486805,444,327,103,193
0.09,0.6494726480101252,0.5834445927903872,0.7989031078610603,0.6743827160493827,0.73166089834737,0.6239316408120335,437,312,110,208
0.1,0.6494726480101252,0.5827633378932968,0.7787934186471663,0.6666666666666666,0.7192912389256082,0.6212761985486734,426,305,121,215
0.11,0.6494726480101252,0.585195530726257,0.7659963436928702,0.6634996041171813,0.7119425826836145,0.6215421762003079,419,297,128,223
0.12,0.6494726480101252,0.5880681818181818,0.7568555758683729,0.6618705035971223,0.7068834686153482,0.6224897715902526,414,290,133,230
0.13,0.6494726480101252,0.5922190201729106,0.7513711151736746,0.6623690572119258,0.7042908043524401,0.6247147568520581,411,283,136,237
0.14,0.6494726480101252,0.593841642228739,0.7404021937842779,0.6590724165988608,0.6978173514738223,0.6245370756960529,405,277,142,243
0.15,0.6494726480101252,0.5973053892215568,0.7294332723948812,0.6567901234567901,0.6916482028365027,0.6255842612498406,399,269,148,251
0.16,0.6494726480101252,0.5957120980091883,0.7111517367458866,0.6483333333333333,0.6799703979749684,0.6222505786066193,389,264,158,256
0.17,0.6494726480101252,0.5990639625585024,0.7020109689213894,0.6464646464646465,0.6748394080021137,0.6233659048206702,384,257,163,263
0.18,0.6494726480101252,0.6057692307692307,0.6910420475319927,0.645602049530316,0.6690961682271163,0.6264597598457352,378,246,169,274
0.19,0.6494726480101252,0.6065573770491803,0.676416819012797,0.6395851339671564,0.6599784792985706,0.6250487583167622,370,240,177,280
0.2,0.6494726480101252,0.6053067993366501,0.6672760511882998,0.6347826086956522,0.6539673378048706,0.6229827118790457,365,238,182,282
0.21,0.6494726480101252,0.6057529610829103,0.6544789762340036,0.6291739894551845,0.6458862145555823,0.6215232069800356,358,233,189,287
0.22,0.6494726480101252,0.6068376068376068,0.6489945155393053,0.627208480565371,0.642554331541289,0.6214758771904397,355,230,192,290
0.23,0.6494726480101252,0.6044905008635578,0.6398537477148081,0.6216696269982238,0.6363222915588962,0.6186406681332711,350,229,197,291
0.24,0.6494726480101252,0.6102292768959435,0.6325411334552102,0.6211849192100538,0.6325205720926463,0.6213646438130129,346,221,201,299
0.25,0.6494726480101252,0.6135957066189625,0.6270566727605119,0.620253164556962,0.6294988153493696,0.6227683322785948,343,216,204,304
