threshold,auc,precision,recall,f1,composite,precision_aware,TP,FP,FN,TN
0.75,0.6445928842638167,0.703125,0.24680073126142596,0.36535859269282817,0.36192652029132477,0.5900886546606118,135,57,412,463
0.76,0.6445928842638167,0.7016574585635359,0.23217550274223034,0.3489010989010989,0.3496766578942082,0.584417635804861,127,54,420,466
0.77,0.6445928842638167,0.7005649717514124,0.226691042047532,0.3425414364640884,0.34502652881575585,0.5819634936676961,124,53,423,467
0.78,0.6445928842638167,0.6994219653179191,0.22120658135283364,0.33611111111111114,0.3403552008625135,0.5794628928450563,121,52,426,468
0.79,0.6445928842638167,0.6964285714285714,0.21389396709323583,0.32727272727272727,0.33404737858119943,0.5753146807488672,117,51,430,469
0.8,0.6445928842638167,0.7037037037037037,0.20840950639853748,0.3215796897038082,0.32959723696317456,0.5772443356157576,114,48,433,472
0.81,0.6445928842638167,0.7284768211920529,0.20109689213893966,0.3151862464183381,0.32402289684773455,0.5877128613742912,110,41,437,479
0.82,0.6445928842638167,0.7379310344827587,0.1956124314442413,0.3092485549132948,0.3194993590488724,0.5906586605681311,107,38,440,482
0.83,0.6445928842638167,0.7313432835820896,0.17915904936014626,0.2878120411160059,0.30484171386763825,0.5809338309786098,98,36,449,484
0.84,0.6445928842638167,0.7251908396946565,0.1736745886654479,0.28023598820059,0.2998266676456643,0.5755847931602686,95,36,452,484
0.85,0.6445928842638167,0.7272727272727273,0.16087751371115175,0.2634730538922156,0.28839924987600385,0.5715968566567916,88,33,459,487
0.86,0.6445928842638167,0.7142857142857143,0.14625228519195613,0.24279210925644917,0.27488235222567614,0.5588990667725552,80,32,467,488
0.87,0.6445928842638167,0.7238095238095238,0.13893967093235832,0.2331288343558282,0.26832706262569095,0.5607619890642737,76,29,471,491
0.88,0.6445928842638167,0.7422680412371134,0.1316270566727605,0.2236024844720497,0.26181285053075853,0.5671333428129349,72,25,475,495
0.89,0.6445928842638167,0.7303370786516854,0.11882998171846434,0.20440251572327045,0.24965432242897664,0.5554078708955872,65,24,482,496
0.9,0.6445928842638167,0.7283950617283951,0.10786106032906764,0.18789808917197454,0.23921853376888952,0.5494855344685532,59,22,488,498
0.91,0.6445928842638167,0.746268656716418,0.09140767824497258,0.16286644951140064,0.22348235082866982,0.5509128400643925,50,17,497,503
0.92,0.6445928842638167,0.7288135593220338,0.07861060329067641,0.1419141914191419,0.2107981359238441,0.5358996139395228,43,16,504,504
0.93,0.6445928842638167,0.75,0.0712979890310786,0.1302170283806344,0.20363267988249295,0.5429836853669536,39,13,508,507
0.94,0.6445928842638167,0.75,0.0603290676416819,0.1116751269035533,0.19258564874467027,0.5374211149238294,33,11,514,509
0.95,0.6445928842638167,0.7777777777777778,0.051188299817184646,0.09605488850771869,0.18332919331367126,0.5466239322939679,28,8,519,512
