threshold,auc,precision,recall,f1,composite,precision_aware,TP,FP,FN,TN
0.05,0.6325973843341304,0.5235294117647059,0.9762340036563071,0.6815571155073389,0.8191036133471813,0.5927513174013807,534,486,13,34
0.06,0.6325973843341304,0.5285285285285285,0.9652650822669104,0.6830530401034929,0.8140679300313292,0.5956996531621381,528,471,19,49
0.07,0.6325973843341304,0.532520325203252,0.9579524680073126,0.6845199216198563,0.8108516873564393,0.5981356159544089,524,460,23,60
0.08,0.6325973843341304,0.5360824742268041,0.9506398537477148,0.6855636123928807,0.8075084874585476,0.6002297976980924,520,450,27,70
0.09,0.6325973843341304,0.5375782881002088,0.9414990859232175,0.6843853820598007,0.8025846344463751,0.6006242355348707,515,443,32,77
0.1,0.6325973843341304,0.5403397027600849,0.9305301645338209,0.6836803223640027,0.7968886558429373,0.6017934249560694,509,433,38,87
0.11,0.6325973843341304,0.5431034482758621,0.9213893967093236,0.6833898305084746,0.7922311243740303,0.6030881501572996,504,424,43,96
0.12,0.6325973843341304,0.5448577680525164,0.9104204753199269,0.6817248459958932,0.7862471683255574,0.6034658146918522,498,416,49,104
0.13,0.6325973843341304,0.5441501103752759,0.9012797074954296,0.678596008258775,0.7807381330921734,0.6021733345320965,493,413,54,107
0.14,0.6325973843341304,0.5469798657718121,0.8939670932358318,0.6786953504510757,0.7771116286200647,0.6036180148880548,489,405,58,115
0.15,0.6325973843341304,0.5511363636363636,0.886654478976234,0.6797477224947442,0.7737710331033663,0.6060119754334312,485,395,62,125
0.16,0.6325973843341304,0.5540229885057472,0.8811700182815356,0.6803105151729005,0.771197640559464,0.6076241256715698,482,388,65,132
0.17,0.6325973843341304,0.5571095571095571,0.8738574040219378,0.6804270462633452,0.7675762927567985,0.6092023693006081,478,380,69,140
0.18,0.6325973843341304,0.5594817432273262,0.8683729433272395,0.6805157593123209,0.7648606763241421,0.6104150762741855,475,374,72,146
0.19,0.6325973843341304,0.5634824667472793,0.8519195612431444,0.6783114992721979,0.7559727072700576,0.6117541600221251,466,361,81,159
0.2,0.6325973843341304,0.5646341463414634,0.8464351005484461,0.6773957571324067,0.7529557542807711,0.6120552771772798,463,357,84,163
0.21,0.6325973843341304,0.5677339901477833,0.8427787934186471,0.6784400294334069,0.7514408824061717,0.6139184807707397,461,351,86,169
0.22,0.6325973843341304,0.568407960199005,0.8354661791590493,0.6765358993338267,0.7472133362464988,0.6136842267664766,457,347,90,173
0.23,0.6325973843341304,0.5680100755667506,0.8244972577696527,0.6726323639075317,0.7405578149239119,0.6123142238224609,451,343,96,177
