frame,prob,label,pred
0,0.879771,0,1
1,0.879771,0,1
2,0.879771,0,1
3,0.879771,0,1
4,0.879771,0,1
5,0.879771,0,1
6,0.879771,0,1
7,0.879771,0,1
8,0.879771,0,1
9,0.879771,0,1
10,0.879771,0,1
11,0.879771,0,1
12,0.879771,0,1
13,0.879771,0,1
14,0.879771,0,1
15,0.879771,0,1
16,0.879771,0,1
17,0.879771,0,1
18,0.879771,0,1
19,0.879771,0,1
20,0.879771,0,1
21,0.879771,0,1
22,0.879771,0,1
23,0.879771,0,1
24,0.879771,0,1
25,0.879771,0,1
26,0.879771,0,1
27,0.879771,0,1
28,0.879771,0,1
29,0.879771,0,1
30,0.879771,0,1
31,0.879771,0,1
32,0.879771,0,1
33,0.879771,0,1
34,0.879771,0,1
35,0.879771,0,1
36,0.879771,0,1
37,0.879771,0,1
38,0.879771,0,1
39,0.879771,0,1
40,0.879771,1,1
41,0.879771,1,1
42,0.879771,1,1
43,0.879771,1,1
44,0.879771,1,1
45,0.879771,1,1
46,0.879771,1,1
47,0.879771,1,1
48,0.879771,1,1
49,0.879771,1,1
50,0.879771,1,1
51,0.879771,1,1
52,0.879771,1,1
53,0.879771,1,1
54,0.879771,1,1
55,0.879771,1,1
56,0.879771,1,1
57,0.879771,1,1
58,0.879771,1,1
59,0.879771,1,1
60,0.879771,1,1
61,0.879771,1,1
62,0.879771,1,1
63,0.879771,1,1
64,0.879771,1,1
65,0.879771,1,1
66,0.879771,1,1
67,0.879771,1,1
68,0.879771,1,1
69,0.879771,1,1
70,0.879771,1,1
71,0.879771,1,1
72,0.879771,1,1
73,0.879771,1,1
74,0.879771,1,1
75,0.879771,1,1
76,0.879771,1,1
77,0.879771,1,1
78,0.879771,1,1
79,0.879771,1,1
80,0.883756,1,1
81,0.883756,1,1
82,0.883756,1,1
83,0.883756,1,1
84,0.883756,1,1
85,0.883756,1,1
86,0.883756,1,1
87,0.883756,1,1
88,0.883756,1,1
89,0.883756,1,1
90,0.883756,1,1
91,0.883756,1,1
92,0.883756,1,1
93,0.883756,1,1
94,0.883756,1,1
95,0.883756,1,1
96,0.883756,1,1
97,0.883756,1,1
98,0.883756,1,1
99,0.883756,1,1
100,0.883756,1,1
101,0.883756,1,1
102,0.883756,1,1
103,0.883756,1,1
104,0.883756,1,1
105,0.883756,1,1
106,0.883756,1,1
107,0.883756,1,1
108,0.883756,1,1
109,0.883756,1,1
110,0.883756,1,1
111,0.883756,1,1
112,0.883756,1,1
113,0.883756,1,1
114,0.883756,1,1
115,0.883756,1,1
116,0.883756,1,1
117,0.883756,1,1
118,0.883756,1,1
119,0.883756,1,1
120,0.879942,0,1
121,0.879942,0,1
122,0.879942,0,1
123,0.879942,0,1
124,0.879942,0,1
125,0.879942,0,1
126,0.879942,0,1
127,0.879942,0,1
128,0.879942,0,1
129,0.879942,0,1
130,0.879942,0,1
131,0.879942,0,1
132,0.879942,0,1
133,0.879942,0,1
134,0.879942,0,1
135,0.879942,0,1
136,0.879942,0,1
137,0.879942,0,1
138,0.879942,0,1
139,0.879942,0,1
140,0.879942,0,1
141,0.879942,0,1
142,0.879942,0,1
143,0.879942,0,1
144,0.879942,0,1
145,0.879942,0,1
146,0.879942,0,1
147,0.879942,0,1
148,0.879942,0,1
149,0.879942,0,1
150,0.879942,0,1
151,0.879942,0,1
152,0.879942,0,1
153,0.879942,0,1
154,0.879942,0,1
155,0.879942,0,1
156,0.879942,0,1
157,0.879942,0,1
158,0.879942,0,1
159,0.879942,0,1
160,0.684019,0,1
161,0.684019,0,1
162,0.684019,0,1
163,0.684019,0,1
164,0.684019,0,1
165,0.684019,0,1
166,0.684019,0,1
167,0.684019,0,1
168,0.684019,0,1
169,0.684019,0,1
170,0.684019,0,1
171,0.684019,0,1
172,0.684019,0,1
173,0.684019,0,1
174,0.684019,0,1
175,0.684019,0,1
176,0.684019,0,1
177,0.684019,0,1
178,0.684019,0,1
179,0.684019,0,1
180,0.684019,0,1
181,0.684019,0,1
182,0.684019,0,1
183,0.684019,0,1
184,0.684019,0,1
185,0.684019,0,1
186,0.684019,0,1
187,0.684019,0,1
188,0.684019,0,1
189,0.684019,0,1
190,0.684019,0,1
191,0.684019,0,1
192,0.684019,0,1
193,0.684019,0,1
194,0.684019,0,1
195,0.684019,0,1
196,0.684019,0,1
197,0.684019,0,1
198,0.684019,0,1
199,0.684019,0,1
200,0.627630,1,0
201,0.627630,1,0
202,0.627630,1,0
203,0.627630,1,0
204,0.627630,1,0
205,0.627630,1,0
206,0.627630,1,0
207,0.627630,1,0
208,0.627630,1,0
209,0.627630,1,0
210,0.627630,1,0
211,0.627630,1,0
212,0.627630,1,0
213,0.627630,1,0
214,0.627630,1,0
215,0.627630,1,0
216,0.627630,1,0
217,0.627630,1,0
218,0.627630,1,0
219,0.627630,1,0
220,0.627630,1,0
221,0.627630,1,0
