auc,f1,recall,precision,composite,precision_aware,TP,FP,FN,TN,threshold
0.687583870101986,0.7578947368421053,1.0,0.6101694915254238,0.8648851950730287,0.6699699408357407,216,138,0,0,0.05
0.687583870101986,0.7619047619047619,1.0,0.6153846153846154,0.8660882025918257,0.6737805102841334,216,135,0,3,0.1
0.687583870101986,0.7629233511586453,0.9907407407407407,0.6202898550724638,0.8617641497383611,0.6765387069042227,214,131,2,7,0.15
0.687583870101986,0.7717996289424861,0.9629629629629629,0.6439628482972136,0.8505381441846245,0.6910380868517498,208,115,8,23,0.2
0.687583870101986,0.7609561752988048,0.8842592592592593,0.6678321678321678,0.8079332562396683,0.6997197105261225,191,95,25,43,0.25
0.687583870101986,0.7450110864745011,0.7777777777777778,0.7148936170212766,0.7499089888516364,0.7184669084733858,168,67,48,71,0.3
0.687583870101986,0.6748768472906403,0.6342592592592593,0.7210526315789474,0.657109457837219,0.700506143997063,137,53,79,85,0.35
0.687583870101986,0.5539358600583091,0.4398148148148148,0.7480314960629921,0.5236049394452973,0.677713280069386,95,32,121,106,0.39999999999999997
0.687583870101986,0.4266666666666667,0.2962962962962963,0.7619047619047619,0.41366492216854533,0.6464691549727781,64,20,152,118,0.44999999999999996
0.687583870101986,0.2748091603053435,0.16666666666666666,0.782608695652174,0.3032928554453336,0.6112638699380872,36,10,180,128,0.49999999999999994
0.687583870101986,0.12121212121212122,0.06481481481481481,0.9333333333333333,0.20628781779144095,0.6405470770507002,14,1,202,137,0.5499999999999999
0.687583870101986,0.03636363636363636,0.018518518518518517,1.0,0.15768512418874736,0.6484258649294881,4,0,212,138,0.6
0.687583870101986,0.009216589861751152,0.004629629629629629,1.0,0.14259656579373736,0.6402817509789226,1,0,215,138,0.65
0.687583870101986,0.0,0.0,0.0,0.1375167740203972,0.1375167740203972,0,0,216,138,0.7
0.687583870101986,0.0,0.0,0.0,0.1375167740203972,0.1375167740203972,0,0,216,138,0.75
0.687583870101986,0.0,0.0,0.0,0.1375167740203972,0.1375167740203972,0,0,216,138,0.7999999999999999
0.687583870101986,0.0,0.0,0.0,0.1375167740203972,0.1375167740203972,0,0,216,138,0.85
0.687583870101986,0.0,0.0,0.0,0.1375167740203972,0.1375167740203972,0,0,216,138,0.9
0.687583870101986,0.0,0.0,0.0,0.1375167740203972,0.1375167740203972,0,0,216,138,0.95
