Focal sweep -> epochs=70 batch=16 acc=8 mask_threshold=0.6
Class weights: 1.0:0.75 1.0:0.8 1.0:0.85 0.95:0.8 1.05:0.8 1.1:0.8 0.9:0.8 1.0:1.0
Focal grid (alpha,gamma): 0.22,1.4 0.22,1.6 0.25,1.4 0.25,1.6 0.28,1.4 0.28,1.6 0.32,1.4 0.32,1.6 0.4,1.0 0.35,1.0
# Wed Sep 17 08:29:38 CST 2025 -> class_weight=0.95:0.8, alpha=0.22, gamma_end=1.4 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw04_fg01
# Wed Sep 17 08:30:55 CST 2025 -> class_weight=0.95:0.8, alpha=0.22, gamma_end=1.6 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw04_fg02
# Wed Sep 17 08:32:08 CST 2025 -> class_weight=0.95:0.8, alpha=0.25, gamma_end=1.4 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw04_fg03
# Wed Sep 17 08:33:42 CST 2025 -> class_weight=0.95:0.8, alpha=0.25, gamma_end=1.6 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw04_fg04
# Wed Sep 17 08:35:04 CST 2025 -> class_weight=0.95:0.8, alpha=0.28, gamma_end=1.4 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw04_fg05
# Wed Sep 17 08:36:10 CST 2025 -> class_weight=0.95:0.8, alpha=0.28, gamma_end=1.6 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw04_fg06
# Wed Sep 17 08:37:20 CST 2025 -> class_weight=0.95:0.8, alpha=0.32, gamma_end=1.4 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw04_fg07
# Wed Sep 17 08:38:20 CST 2025 -> class_weight=0.95:0.8, alpha=0.32, gamma_end=1.6 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw04_fg08
# Wed Sep 17 08:38:47 CST 2025 -> class_weight=0.95:0.8, alpha=0.4, gamma_end=1.0 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw04_fg09
# Wed Sep 17 08:39:11 CST 2025 -> class_weight=0.95:0.8, alpha=0.35, gamma_end=1.0 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw04_fg10
# Wed Sep 17 08:40:43 CST 2025 -> class_weight=1.05:0.8, alpha=0.22, gamma_end=1.4 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw05_fg01
# Wed Sep 17 08:42:13 CST 2025 -> class_weight=1.05:0.8, alpha=0.22, gamma_end=1.6 -> /home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw05_fg02
