run_dir,auc,f1,recall,TP,FP,FN,TN,composite,alpha,gamma_start,gamma_end,cw_neg,cw_pos,mask_threshold
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw03_fg09/01,0.7233680227057709,0.5757575757575758,0.5428571428571428,57,36,48,115,0.5888294486969983,0.4,0.0,1.0,1.0,0.85,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw03_fg10/01,0.7202775149795018,0.4713375796178344,0.3523809523809524,37,15,68,136,0.4616472530717269,0.35,0.0,1.0,1.0,0.85,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw04_fg01/01,0.730558183538316,0.5454545454545454,0.45714285714285713,48,23,57,128,0.5383194289154554,0.22,0.0,1.4,0.95,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw04_fg02/01,0.6970040996531064,0.5543478260869565,0.4857142857142857,51,28,54,123,0.5485623106138511,0.22,0.0,1.6,0.95,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw04_fg03/01,0.6857142857142857,0.5527638190954773,0.5238095238095238,55,39,50,112,0.5648767647762623,0.25,0.0,1.4,0.95,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw04_fg04/01,0.7218543046357615,0.5567010309278351,0.5142857142857142,54,35,51,116,0.5685240273483599,0.25,0.0,1.6,0.95,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw04_fg05/01,0.7479028697571745,0.5649717514124294,0.47619047619047616,50,22,55,129,0.5571673374704018,0.28,0.0,1.4,0.95,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw04_fg06/01,0.7371176285083569,0.5414364640883977,0.4666666666666667,49,27,56,124,0.5431877982615241,0.28,0.0,1.6,0.95,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw04_fg07/01,0.7473982970671712,0.5668449197860963,0.5047619047619047,53,29,52,122,0.5719140877302155,0.32,0.0,1.4,0.95,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw04_fg08/01,0.6633238725953958,0.0,0.0,0,0,105,151,0.13266477451907918,0.32,0.0,1.6,0.95,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw04_fg09/01,0.6642699463891516,0.0,0.0,0,0,105,151,0.13285398927783032,0.4,0.0,1.0,0.95,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw04_fg10/01,0.7465152948596657,0.6009852216748769,0.580952380952381,61,37,44,114,0.6200748159505868,0.35,0.0,1.0,0.95,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw05_fg01/01,0.7539577420372122,0.59375,0.5428571428571428,57,30,48,121,0.6003451198360139,0.22,0.0,1.4,1.05,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw05_fg02/01,0.7226742352570167,0.423841059602649,0.3047619047619048,32,14,73,137,0.42406811731315047,0.22,0.0,1.6,1.05,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw05_fg03/01,0.7396404919583727,0.5567010309278351,0.5142857142857142,54,35,51,116,0.5720812648128821,0.25,0.0,1.4,1.05,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw05_fg04/01,0.7016713970356354,0.29850746268656714,0.19047619047619047,20,9,85,142,0.3251246134511925,0.25,0.0,1.6,1.05,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw05_fg05/01,0.6985178177231157,0.47619047619047616,0.38095238095238093,40,23,65,128,0.47303689687795647,0.28,0.0,1.4,1.05,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw05_fg06/01,0.7227373068432672,0.518918918918919,0.45714285714285713,48,32,57,119,0.5287945656157577,0.28,0.0,1.6,1.05,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw05_fg07/01,0.6679280983916744,0.018867924528301886,0.009523809523809525,1,0,104,151,0.14400790179873024,0.32,0.0,1.4,1.05,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw05_fg08/01,0.6967518133081047,0.49473684210526314,0.44761904761904764,47,38,58,113,0.5115809391027237,0.32,0.0,1.6,1.05,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw05_fg09/01,0.7346578366445915,0.640625,0.780952380952381,82,69,23,82,0.7295952578051088,0.4,0.0,1.0,1.05,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw05_fg10/01,0.7425417849258908,0.5227272727272727,0.4380952380952381,46,25,59,126,0.5243741578509791,0.35,0.0,1.0,1.05,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw06_fg01/01,0.7058971933144118,0.3888888888888889,0.26666666666666666,28,11,77,140,0.3911794386628824,0.22,0.0,1.4,1.1,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw06_fg02/01,0.7071586250394197,0.5084745762711864,0.42857142857142855,45,27,60,124,0.5082598121749541,0.22,0.0,1.6,1.1,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw06_fg03/01,0.7303689687795648,0.5280898876404494,0.44761904761904764,47,26,58,125,0.5283102838575716,0.25,0.0,1.4,1.1,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw06_fg04/01,0.6024597918637654,0.10084033613445378,0.05714285714285714,6,8,99,143,0.17931548778451778,0.25,0.0,1.6,1.1,0.8,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_refine/cw06_fg05/01,0.732639545884579,0.5207100591715976,0.41904761904761906,44,20,61,131,0.5122647364522046,0.28,0.0,1.4,1.1,0.8,0.6
