auc,batch_size,composite,f1,focal_gamma,lr,lr_schedule,precision,precision_aware,recall,run
0.6415342427225424,32,0.6334529789527961,0.6204444444444445,,0.0001,,0.6038062283737025,0.6163432960646931,0.6380255941499086,24
0.6487466601040641,48,0.6439967858985005,0.6355475763016158,,0.0001,,0.6243386243386243,0.6325829170806098,0.6471663619744058,25
0.6362009562649418,64,0.6426212071771256,0.6301853486319505,,0.0001,,0.6092150170648464,0.6209033043749967,0.6526508226691042,26
0.6516910420475319,32,0.40158272394881167,0.4075,,0.0001,,0.6442687747035574,0.574722595761285,0.2979890310786106,30
0.6497644494445225,48,0.545117691740349,0.5520728008088979,,0.0001,,0.6176470588235294,0.6043982595433386,0.4990859232175503,31
0.6457565743214738,64,0.5201787915655364,0.5356004250797024,,0.0001,,0.6395939086294417,0.6096283967029263,0.4606946983546618,32
0.6306567290113907,40,0.40879315540413685,0.4211822660098522,0.0,0.0001,cosine,0.6452830188679245,0.575127535039196,0.3126142595978062,35
0.6314372099564056,48,0.43257964586417763,0.44815256257449343,0.0,0.0001,cosine,0.6438356164383562,0.5826510189828072,0.3436928702010969,36
0.6171846435100549,56,0.2957168753230124,0.27566807313642755,0.0,0.0001,cosine,0.5975609756097561,0.5049178384478172,0.17915904936014626,37
0.6139765855716495,64,0.2433067555766805,0.2006079027355623,0.0,9e-05,cosine,0.5945945945945946,0.4802749852322959,0.1206581352833638,38
0.6235374771480804,32,0.2943934326898822,0.27311522048364156,0.0,7e-05,cosine,0.6153846153846154,0.5143343692670163,0.17550274223034734,39
0.6031219237800591,96,0.19614849501503984,0.12987012987012986,0.0,0.0001,cosine,0.5797101449275363,0.44944049618081894,0.07312614259597806,40
0.6641084235691183,40,0.5297539442128107,0.5491891891891892,0.0,0.0001,cosine,0.671957671957672,0.6335572774494165,0.4643510054844607,41
0.6541625650400786,48,0.530493835841185,0.5491452991452992,0.0,0.0001,cosine,0.6606683804627249,0.6259102929829679,0.46983546617915906,42
0.6620376880888763,56,0.5409888557029823,0.5575501583949314,0.0,0.0001,cosine,0.66,0.6296725851362547,0.4826325411334552,43
0.6593903810997046,64,0.5249731908790819,0.5394456289978679,0.0,9e-05,cosine,0.6470588235294118,0.6172411766840072,0.4625228519195612,44
0.6578962171283926,32,0.5147913270651896,0.5308775731310943,0.0,7e-05,cosine,0.651595744680851,0.6166403877054323,0.44789762340036565,45
0.6542434256785262,96,0.5407456953665521,0.5527950310559007,0.0,0.0001,cosine,0.6372315035799523,0.6153029462424515,0.48811700182815354,46
