run_dir,auc,f1,recall,TP,FP,FN,TN,composite,alpha,gamma_start,gamma_end,cw_neg,cw_pos,mask_threshold
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw04_fg05/01,0.7308104698833175,0.17094017094017094,0.09523809523809523,10,2,95,149,0.2450631928777624,0.1,0.0,1.0,1.2,1.0,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw04_fg06/01,0.6556291390728477,0.0,0.0,0,0,105,151,0.13112582781456955,0.1,0.0,1.5,1.2,1.0,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw04_fg07/01,0.7017975402081362,0.5251396648044693,0.44761904761904764,47,27,58,124,0.5217109312924918,0.4,0.0,1.0,1.2,1.0,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw04_fg08/01,0.7127719962157048,0.5435897435897435,0.5047619047619047,53,37,52,114,0.5580122747010163,0.4,0.0,1.5,1.2,1.0,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw05_fg01/01,0.7306212551245664,0.5573770491803278,0.4857142857142857,51,27,54,124,0.5561945086361545,0.25,0.0,1.5,0.8,1.2,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw05_fg02/01,0.7198990854619994,0.3916083916083916,0.26666666666666666,28,10,77,141,0.3947956679082507,0.25,0.0,2.0,0.8,1.2,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw05_fg03/01,0.7197729422894985,0.410958904109589,0.2857142857142857,30,11,75,140,0.41009940254791927,0.2,0.0,1.5,0.8,1.2,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw05_fg04/01,0.6589088615578682,0.0,0.0,0,0,105,151,0.13178177231157365,0.2,0.0,2.0,0.8,1.2,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw05_fg05/01,0.7161147902869757,0.29457364341085274,0.18095238095238095,19,5,86,146,0.3220712415568414,0.1,0.0,1.0,0.8,1.2,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw05_fg06/01,0.6458530432040366,0.0,0.0,0,0,105,151,0.12917060864080732,0.1,0.0,1.5,0.8,1.2,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw05_fg07/01,0.736486912645853,0.5979381443298969,0.5523809523809524,58,31,47,120,0.6028693020186159,0.4,0.0,1.0,0.8,1.2,0.6
/home/user/projects/train/model/long_window/CNN_BiLSTM/result_focal_sweep/cw05_fg08/01,0.7283506780195522,0.5963302752293578,0.6190476190476191,65,48,40,103,0.6340930276965273,0.4,0.0,1.5,0.8,1.2,0.6
