auc,f1,recall,precision,composite,precision_aware,TP,FP,FN,TN,threshold
0.731196323134729,0.7578947368421053,1.0,0.6101694915254238,0.8736076856795774,0.6786924314422893,216,138,0,0,0.05
0.731196323134729,0.7578947368421053,1.0,0.6101694915254238,0.8736076856795774,0.6786924314422893,216,138,0,0,0.1
0.731196323134729,0.7578947368421053,1.0,0.6101694915254238,0.8736076856795774,0.6786924314422893,216,138,0,0,0.15
0.731196323134729,0.7578947368421053,1.0,0.6101694915254238,0.8736076856795774,0.6786924314422893,216,138,0,0,0.2
0.731196323134729,0.7578947368421053,1.0,0.6101694915254238,0.8736076856795774,0.6786924314422893,216,138,0,0,0.25
0.731196323134729,0.7578947368421053,1.0,0.6101694915254238,0.8736076856795774,0.6786924314422893,216,138,0,0,0.3
0.731196323134729,0.7578947368421053,1.0,0.6101694915254238,0.8736076856795774,0.6786924314422893,216,138,0,0,0.35
0.731196323134729,0.7578947368421053,1.0,0.6101694915254238,0.8736076856795774,0.6786924314422893,216,138,0,0,0.39999999999999997
0.731196323134729,0.7619047619047619,1.0,0.6153846153846154,0.8748106931983743,0.682503000890682,216,135,0,3,0.44999999999999996
0.731196323134729,0.7723132969034608,0.9814814814814815,0.6366366366366366,0.8686739944387248,0.6962515720163024,212,121,4,17,0.49999999999999994
0.731196323134729,0.7895791583166333,0.9120370370370371,0.696113074204947,0.8391315306404543,0.7311695492244092,197,86,19,52,0.5499999999999999
0.731196323134729,0.7551487414187643,0.7638888888888888,0.746606334841629,0.7547283314970196,0.7460870544733896,165,56,51,82,0.6
0.731196323134729,0.6028169014084507,0.49537037037037035,0.7697841726618705,0.5747695202346662,0.7119764213804163,107,32,109,106,0.65
0.731196323134729,0.3914590747330961,0.25462962962962965,0.8461538461538461,0.39099180186168947,0.6867539101237977,55,10,161,128,0.7
0.731196323134729,0.0881057268722467,0.046296296296296294,0.9090909090909091,0.19581913083676797,0.6272164372340743,10,1,206,137,0.75
0.731196323134729,0.009216589861751152,0.004629629629629629,1.0,0.15131905640028598,0.6490042415854712,1,0,215,138,0.7999999999999999
0.731196323134729,0.0,0.0,0.0,0.1462392646269458,0.1462392646269458,0,0,216,138,0.85
0.731196323134729,0.0,0.0,0.0,0.1462392646269458,0.1462392646269458,0,0,216,138,0.9
0.731196323134729,0.0,0.0,0.0,0.1462392646269458,0.1462392646269458,0,0,216,138,0.95
