threshold,auc,precision,recall,f1,composite,precision_aware,TP,FP,FN,TN
0.05,0.6554703979749684,0.5555555555555556,0.9140767824497258,0.691085003455425,0.795457971856484,0.6161973584093989,500,400,47,120
0.06,0.6554703979749684,0.5592255125284739,0.8976234003656307,0.6891228070175439,0.7866426218830722,0.6174436779644938,491,387,56,133
0.07,0.6554703979749684,0.5635939323220537,0.8829981718464351,0.688034188034188,0.7790034219284676,0.619301302166277,483,374,64,146
0.08,0.6554703979749684,0.5685339690107271,0.8720292504570384,0.6883116883116883,0.7736022113170193,0.6218545705938636,477,362,70,158
0.09,0.6554703979749684,0.5646341463414634,0.8464351005484461,0.6773957571324067,0.7575303570089387,0.6166298799054475,463,357,84,163
0.1,0.6554703979749684,0.5658056580565806,0.8409506398537477,0.6764705882352942,0.7545105759924557,0.6169380850938722,460,353,87,167
0.11,0.6554703979749684,0.5683814303638645,0.8281535648994516,0.6741071428571429,0.7474030049018623,0.6175169376340688,453,344,94,176
0.12,0.6554703979749684,0.5727040816326531,0.8208409506398537,0.6746806912096168,0.7439187622778056,0.6198503277742053,449,335,98,185
0.13,0.6554703979749684,0.5797665369649806,0.8171846435100548,0.6783004552352049,0.7431765379205826,0.6244674846480454,447,324,100,196
0.14,0.6554703979749684,0.583224115334207,0.8135283363802559,0.6793893129770993,0.7416750416782514,0.626522931155227,445,318,102,202
0.15,0.6554703979749684,0.5879194630872483,0.8007312614259597,0.6780185758513931,0.7348652830633915,0.6284593838940358,438,307,109,213
0.16,0.6554703979749684,0.5900962861072903,0.7842778793418648,0.673469387755102,0.7252738355924566,0.6281830389751695,429,298,118,222
0.17,0.6554703979749684,0.5902777777777778,0.7769652650822669,0.6708760852407262,0.720839537708345,0.6274957940561003,425,295,122,225
0.18,0.6554703979749684,0.5914893617021276,0.7623400365630713,0.6661341853035144,0.7121043534675837,0.6266790160371118,417,288,130,232
0.19,0.6554703979749684,0.5951008645533141,0.7550274223034735,0.6655922643029815,0.7082854700376249,0.6283221911625452,413,281,134,239
0.2,0.6554703979749684,0.6002928257686676,0.7495429616087751,0.6666666666666666,0.7058655603993813,0.6312404924793276,410,273,137,247
0.21,0.6554703979749684,0.6047197640117994,0.7495429616087751,0.6693877551020408,0.7066818869299936,0.6342702881315057,410,268,137,252
0.22,0.6554703979749684,0.6047548291233283,0.7440585009140768,0.6672131147540984,0.7032872644782615,0.6336354285828874,407,266,140,254
0.23,0.6554703979749684,0.6024096385542169,0.7312614259597806,0.6606110652353427,0.6949081121454868,0.630482218442705,400,264,147,256
0.24,0.6554703979749684,0.6021341463414634,0.7221206581352834,0.656691604322527,0.6891618899593934,0.6291686340624836,395,261,152,259
0.25,0.6554703979749684,0.6027820710973725,0.7129798903107861,0.6532663316582915,0.6835639242478742,0.6284650146411674,390,257,157,263
0.26,0.6554703979749684,0.602803738317757,0.7074954296160878,0.6509671993271657,0.6801319542011872,0.627786108552022,387,255,160,265
0.27,0.6554703979749684,0.6028257456828885,0.7020109689213894,0.6486486486486487,0.676694158650283,0.6271015470310326,384,253,163,267
0.28,0.6554703979749684,0.606687898089172,0.696526508226691,0.6485106382978724,0.6739105251977009,0.6289912201289414,381,247,166,273
0.29,0.6554703979749684,0.6061093247588425,0.6892138939670932,0.6449957228400343,0.6691997434305506,0.6276474588264251,377,245,170,275
0.3,0.6554703979749684,0.6065040650406504,0.6819012797074955,0.6419965576592083,0.664643686746504,0.6269450794130813,373,242,174,278
0.31,0.6554703979749684,0.6052631578947368,0.6727605118829981,0.6372294372294373,0.6586431667053239,0.6248944897111932,368,240,179,280
0.32,0.6554703979749684,0.6059602649006622,0.6691042047531993,0.635968722849696,0.6564367988265021,0.6248648289002336,366,238,181,282
0.33,0.6554703979749684,0.6073825503355704,0.6617915904936015,0.6334208223972003,0.6520161215609546,0.6248116014819389,362,234,185,286
0.34,0.6554703979749684,0.6081081081081081,0.6581352833638026,0.6321334503950834,0.6498017563954199,0.6247881687675727,360,232,187,288
0.35,0.6554703979749684,0.6044520547945206,0.6453382084095064,0.6242263483642794,0.6410310883090307,0.6205880115015379,353,231,194,289
0.36,0.6554703979749684,0.6089965397923875,0.643510054844607,0.6257777777777778,0.6405824403506306,0.6233256828245208,352,226,195,294
0.37,0.6554703979749684,0.6090750436300174,0.6380255941499086,0.6232142857142857,0.6370711623842338,0.622595887124288,349,224,198,296
0.38,0.6554703979749684,0.6094570928196147,0.6361974405850092,0.6225402504472272,0.6359548750216664,0.6225847011389691,348,223,199,297
0.39,0.6554703979749684,0.6091549295774648,0.6325411334552102,0.6206278026905829,0.6335529871297736,0.621859885190901,346,222,201,298
0.4,0.6554703979749684,0.6120996441281139,0.6288848263254113,0.6203787195671776,0.6316501086278525,0.6232575175292039,344,218,203,302
0.41,0.6554703979749684,0.6159420289855072,0.6215722120658135,0.618744313011829,0.6275034795314491,0.6246883879912959,340,212,207,308
0.42,0.6554703979749684,0.6167883211678832,0.6179159049360147,0.617351598173516,0.6252575115150558,0.6246937196309901,338,210,209,310
0.43,0.6554703979749684,0.6166666666666667,0.6087751371115173,0.6126954921803128,0.6192902958048463,0.623236060582421,333,207,214,313
0.44,0.6554703979749684,0.6161048689138576,0.6014625228519196,0.6086956521739131,0.6144340366731273,0.6217552097040964,329,205,218,315
0.45,0.6554703979749684,0.6169811320754717,0.5978062157221207,0.6072423398328691,0.6121698894059148,0.6217573475825903,327,203,220,317
0.46,0.6554703979749684,0.6183206106870229,0.5923217550274223,0.6050420168067226,0.6087675621507216,0.621766989980522,324,200,223,320
0.47,0.6554703979749684,0.6173076923076923,0.5868372943327239,0.6016869728209935,0.6050188186076537,0.6202540175951379,321,199,226,321
0.48,0.6554703979749684,0.6171875,0.5776965265082267,0.5967894239848914,0.5989791700445745,0.6187246567904612,316,196,231,324
0.49,0.6554703979749684,0.6195219123505976,0.5685557586837294,0.5929456625357483,0.5932556576975829,0.6187387345310169,311,191,236,329
0.5,0.6554703979749684,0.6267748478701826,0.5648994515539305,0.5942307692307692,0.5918130361411897,0.6227507342993157,309,184,238,336
0.51,0.6554703979749684,0.6296296296296297,0.5594149908592322,0.5924491771539206,0.588536328170786,0.6236436475559848,306,180,241,340
0.52,0.6554703979749684,0.6307053941908713,0.5557586837294333,0.5908649173955296,0.5862328966783692,0.6237062519090882,304,178,243,342
0.53,0.6554703979749684,0.6289308176100629,0.5484460694698354,0.5859375,0.5810983643299115,0.6213407384000251,300,177,247,343
0.54,0.6554703979749684,0.6286919831223629,0.5447897623400365,0.5837414299706171,0.5786113897561971,0.6205625001473603,298,176,249,344
0.55,0.6554703979749684,0.6297872340425532,0.5411334552102377,0.5821042281219272,0.5762920756366907,0.6206189650528484,296,174,251,346
0.56,0.6554703979749684,0.6279569892473118,0.5338208409506399,0.5770750988142292,0.5711270297145824,0.6181951038629183,292,173,255,347
0.57,0.6554703979749684,0.6247288503253796,0.526508226691042,0.5714285714285714,0.5657767643690861,0.6148870761862548,288,173,259,347
0.58,0.6554703979749684,0.6277533039647577,0.5210237659963437,0.5694305694305695,0.5624351334223363,0.6157999024065435,285,169,262,351
0.59,0.6554703979749684,0.6302895322939867,0.5173674588665448,0.5682730923694779,0.5602597367391094,0.6167207734528304,283,166,264,354
0.6,0.6554703979749684,0.6334841628959276,0.5118829981718465,0.5662285136501517,0.5569041327759625,0.6177047151380031,280,162,267,358
0.61,0.6554703979749684,0.6395348837209303,0.5027422303473492,0.5629477993858751,0.5513495345844308,0.6197458612712214,275,155,272,365
0.62,0.6554703979749684,0.6423529411764706,0.4990859232175503,0.5617283950617284,0.5491555597222875,0.6207890687017474,273,152,274,368
0.63,0.6554703979749684,0.6421800947867299,0.4954296160877514,0.5593395252837977,0.5466107452240088,0.6199859845734979,271,151,276,369
0.64,0.6554703979749684,0.6466346153846154,0.49177330895795246,0.5586708203530634,0.544581980179889,0.6220126333932203,269,147,278,373
0.65,0.6554703979749684,0.6480582524271845,0.48811700182815354,0.556830031282586,0.5422015898938463,0.6221722151933617,267,145,280,375
0.66,0.6554703979749684,0.6435643564356436,0.4753199268738574,0.5467928496319664,0.5327918979215123,0.6169141127024054,260,144,287,376
0.67,0.6554703979749684,0.6432160804020101,0.4680073126142596,0.5417989417989418,0.527637418441806,0.6152418023356813,256,142,291,378
0.68,0.6554703979749684,0.6452442159383034,0.45886654478976235,0.5363247863247863,0.5214247878873108,0.6146136234615813,251,138,296,382
0.69,0.6554703979749684,0.6695156695156695,0.4296160877513711,0.5233853006681515,0.5029177136711247,0.6228675045532739,235,116,312,404
0.7,0.6554703979749684,0.672463768115942,0.42413162705667273,0.5201793721973094,0.49921370478252286,0.6233797753121575,232,113,315,407
0.71,0.6554703979749684,0.6706948640483383,0.40585009140767825,0.5056947608200456,0.4857275535448465,0.6181499398651766,222,109,325,411
0.72,0.6554703979749684,0.675,0.39488117001828155,0.4982698961937716,0.47801563346226594,0.6180750484531252,216,104,331,416
0.73,0.6554703979749684,0.6752411575562701,0.38391224862888484,0.48951048951048953,0.469903350762583,0.6155678052262756,210,101,337,419
0.74,0.6554703979749684,0.6655518394648829,0.36380255941499084,0.47044917257683216,0.45413011107553874,0.6050047511004848,199,100,348,420
0.75,0.6554703979749684,0.6749116607773852,0.3491773308957952,0.4602409638554217,0.44375503419951784,0.6066221991403128,191,92,356,428
0.76,0.6554703979749684,0.6788321167883211,0.340036563071298,0.4531059683313033,0.4370441516300337,0.6064419284885452,186,88,361,432
0.77,0.6554703979749684,0.6814814814814815,0.33638025594149906,0.4504283965728274,0.43441272653759144,0.6069633393075826,184,86,363,434
0.78,0.6554703979749684,0.676923076923077,0.3217550274223035,0.436183395291202,0.42282661189350607,0.6004106366438928,176,84,371,436
